team,elo
CLE,1704.3114515075326
DEN,1697.6032557717215
OKC,1681.3535356738792
NYK,1657.9530134312106
BOS,1618.7346746157011
HOU,1608.8945428372733
LAC,1598.4448325843534
GSW,1592.0909405603334
MEM,1585.8084688999413
SAC,1570.854325605925
MIN,1558.490013086303
LAL,1557.8032979826733
MIL,1557.603038476556
ATL,1535.7514965007786
PHX,1494.4619129927846
ORL,1487.4582394573165
DAL,1483.7925351158158
DET,1466.2898112060611
SAS,1459.6426227096258
IND,1447.4040453446182
MIA,1435.6540422363673
CHI,1425.387380805497
PHI,1408.4017081833915
NOP,1380.0106520460836
TOR,1361.3825844628307
POR,1360.6622312270565
UTA,1354.4992746010316
BKN,1346.5870280040485
CHA,1307.4760222211894
WAS,1255.1930218520902
