season_year,game_date,gameId,teamTricode,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,total_minutes,players_used,fg_pct,three_pct,ft_pct,efg_pct,ts_pct,team_id,date
2010-11,2010-10-26,21000001,BOS,32,69,8,16,16,25,8,34,42,25,6,4,18,19,88,40,240.0,12,0.463768115942029,0.5,0.64,0.5217391304347826,0.55,BOS,2010-10-26
2010-11,2010-10-26,21000001,MIA,27,74,8,20,18,25,11,28,39,15,10,6,17,21,80,-40,240.0,12,0.36486486486486486,0.4,0.72,0.4189189189189189,0.47058823529411764,MIA,2010-10-26
2010-11,2010-10-26,21000002,PHX,36,74,9,19,11,16,7,23,30,15,3,4,19,19,92,-70,240.0,12,0.4864864864864865,0.47368421052631576,0.6875,0.5472972972972973,0.5676209279368213,PHX,2010-10-26
2010-11,2010-10-26,21000002,POR,43,93,10,20,10,15,18,30,48,31,11,2,12,22,106,70,240.0,12,0.46236559139784944,0.5,0.6666666666666666,0.5161290322580645,0.532128514056225,POR,2010-10-26
2010-11,2010-10-26,21000003,HOU,38,91,8,20,26,28,16,37,53,25,6,7,20,25,110,-10,239.98333333333332,12,0.4175824175824176,0.4,0.9285714285714286,0.46153846153846156,0.532326751838947,HOU,2010-10-26
2010-11,2010-10-26,21000003,LAL,40,96,9,21,23,28,14,30,44,21,11,4,12,24,112,10,240.0,12,0.4166666666666667,0.42857142857142855,0.8214285714285714,0.4635416666666667,0.5169867060561301,LAL,2010-10-26
2010-11,2010-10-27,21000004,BOS,34,72,3,12,16,21,6,32,38,24,8,1,19,24,87,-40,240.0,12,0.4722222222222222,0.25,0.7619047619047619,0.4930555555555556,0.5354505169867061,BOS,2010-10-27
2010-11,2010-10-27,21000004,CLE,36,81,6,20,17,21,8,29,37,24,5,4,14,20,95,40,240.0,12,0.4444444444444444,0.3,0.8095238095238095,0.48148148148148145,0.5263741134751774,CLE,2010-10-27
2010-11,2010-10-27,21000005,DET,37,83,8,19,16,30,10,27,37,21,7,3,6,19,98,-15,239.98333333333335,12,0.4457831325301205,0.42105263157894735,0.5333333333333333,0.4939759036144578,0.5093555093555093,DET,2010-10-27
2010-11,2010-10-27,21000005,NJN,39,80,6,14,17,24,9,35,44,17,4,4,11,23,101,15,240.01666666666665,12,0.4875,0.42857142857142855,0.7083333333333334,0.525,0.5576413427561837,BKN,2010-10-27
2010-11,2010-10-27,21000006,MIA,33,69,8,16,23,31,5,32,37,15,8,6,16,18,97,50,240.0,12,0.4782608695652174,0.5,0.7419354838709677,0.5362318840579711,0.5868828654404646,MIA,2010-10-27
2010-11,2010-10-27,21000006,PHI,36,83,7,18,8,11,10,28,38,24,10,4,16,22,87,-50,240.01666666666665,12,0.43373493975903615,0.3888888888888889,0.7272727272727273,0.4759036144578313,0.49521857923497264,PHI,2010-10-27
