team_id,season,OFF_RATING,DEF_RATING,NET_RATING,EFG_PCT,TS_PCT,PACE,AST_PCT,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
ATL,1996-97,106.4,100.3,6.2,0.498,0.542,88.54,0.554,0.334,0.67,0.505,0.168,0.446,0.36,0.763,41.1,19.0,15.0,8.5,5.2,94.8,5.4,0.31,0.472,0.26,0.173,0.33
BOS,1996-97,102.9,110.1,-7.2,0.474,0.52,96.78,0.584,0.329,0.658,0.482,0.167,0.44,0.351,0.75,40.0,21.9,16.4,9.9,3.8,100.6,-7.3,0.316,0.539,0.337,0.18,0.342
CHA,1996-97,109.1,107.1,2.1,0.518,0.562,90.04,0.676,0.316,0.661,0.495,0.162,0.471,0.428,0.777,39.1,24.6,14.7,7.3,4.3,98.9,1.9,0.313,0.496,0.279,0.154,0.339
CHI,1996-97,112.4,100.7,11.8,0.511,0.547,91.5,0.654,0.374,0.67,0.524,0.147,0.473,0.373,0.747,45.1,26.1,13.5,8.7,4.0,103.1,10.8,0.267,0.471,0.266,0.172,0.33
CLE,1996-97,102.7,100.8,1.9,0.493,0.531,84.31,0.634,0.322,0.681,0.499,0.17,0.453,0.376,0.723,37.4,20.9,14.5,8.0,3.8,87.5,1.8,0.297,0.482,0.379,0.191,0.319
DAL,1996-97,99.5,106.0,-6.5,0.469,0.509,90.65,0.591,0.332,0.65,0.488,0.177,0.436,0.326,0.717,40.3,20.3,16.1,8.0,4.3,90.6,-6.4,0.297,0.5,0.305,0.171,0.35
DEN,1996-97,103.1,109.7,-6.6,0.486,0.53,93.67,0.644,0.324,0.666,0.496,0.175,0.439,0.372,0.761,42.0,23.0,16.6,6.1,5.9,97.8,-6.3,0.298,0.501,0.275,0.136,0.334
DET,1996-97,108.5,102.6,5.9,0.512,0.554,86.09,0.55,0.302,0.675,0.492,0.146,0.464,0.388,0.745,38.4,19.0,12.7,7.7,3.5,94.2,5.2,0.327,0.487,0.268,0.168,0.325
GSW,1996-97,105.3,110.3,-5.0,0.493,0.543,93.58,0.608,0.347,0.648,0.497,0.182,0.456,0.353,0.778,40.8,22.2,17.2,7.5,4.4,99.6,-4.7,0.332,0.518,0.312,0.166,0.352
HOU,1996-97,107.5,102.8,4.7,0.52,0.56,92.73,0.663,0.318,0.692,0.514,0.178,0.468,0.365,0.755,42.6,24.5,16.6,8.4,4.2,100.6,4.5,0.307,0.481,0.261,0.153,0.308
