Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nickeil Alexander-Walker,38:22,.622,.538,.385,.538,0.0,13.2,5.8,23.6,2.8,0.0,0.0,19.8,138,119,5.1
Onyeka Okongwu,37:43,.481,.500,.286,.429,10.4,16.7,13.2,8.4,0.0,0.0,10.7,11.7,112,124,-7.5
Jalen Johnson,36:34,.613,.548,.524,.286,0.0,20.7,9.1,35.5,1.5,2.9,7.8,33.1,121,118,13.7
CJ McCollum,33:44,.492,.475,.500,.150,2.9,15.0,8.2,12.6,0.0,0.0,0.0,29.9,105,125,-2.3
Dyson Daniels,32:14,.375,.375,.125,.000,6.1,15.7,10.3,25.2,3.3,3.2,11.1,13.2,101,116,-0.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jonathan Kuminga,18:03,.222,.000,.400,.800,5.4,7.0,6.1,15.6,0.0,5.8,0.0,17.7,76,125,-9.2
Zaccharie Risacher,13:46,.676,.625,.750,.250,7.1,9.2,8.0,0.0,0.0,0.0,0.0,15.2,141,127,-3.4
Gabe Vincent,12:26,.375,.375,1.000,.000,0.0,0.0,0.0,12.8,0.0,0.0,0.0,15.2,88,130,-9.1
Mouhamed Gueye,10:17,.500,.500,.667,.000,9.5,0.0,5.4,0.0,5.2,10.1,0.0,13.8,114,114,4.0
Corey Kispert,6:51,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,134,130,-1.5
Buddy Hield,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Caleb Houstan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Christian Koloko,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.523,.477,.483,.276,20.4,65.8,40.2,67.6,6.7,8.7,3.9,100.0,113.7,121.5,
