Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jayson Tatum,36:36,.458,.375,.333,.417,0.0,32.1,18.1,23.8,0.0,0.0,6.6,37.2,107,110,-2.0
Derrick White,34:14,.329,.231,.308,.385,7.4,5.7,6.4,20.7,0.0,0.0,16.5,23.8,86,119,-13.6
Sam Hauser,29:00,.714,.714,.714,.000,4.4,6.8,5.7,10.5,0.0,0.0,12.5,12.4,135,119,1.4
Baylor Scheierman,28:09,.500,.500,1.000,.000,13.5,10.4,11.8,9.4,0.0,0.0,25.0,6.4,124,117,-2.1
Neemias Queta,27:35,.868,1.000,.000,1.000,0.0,39.1,22.0,25.2,0.0,3.9,51.0,9.6,104,104,4.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Payton Pritchard,34:33,.727,.696,.478,.174,11.0,11.3,11.2,27.9,0.0,0.0,16.8,38.6,126,117,11.5
Jordan Walsh,27:28,.833,.833,.333,.000,9.2,3.6,6.0,5.1,0.0,11.7,0.0,4.9,187,112,5.7
Luka Garza,15:03,.935,.900,.400,.400,16.8,13.0,14.7,25.3,0.0,0.0,0.0,17.5,202,116,17.8
Hugo GonzÃ¡lez,7:22,1.500,1.500,1.000,.000,0.0,26.6,15.0,0.0,0.0,0.0,0.0,6.1,300,111,9.9
Charles Bassey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ron Harper Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Max Shulga,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Amari Williams,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.598,.556,.432,.284,34.2,79.6,59.8,68.4,0.0,8.9,14.9,100.0,121.5,113.7,
