Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Nickeil Alexander-Walker,38:22,6,13,.462,2,5,.400,6,7,.857,0,4,4,5,2,0,0,4,20,18.0,-8
Onyeka Okongwu,37:43,3,7,.429,1,2,.500,1,3,.333,4,5,9,2,0,0,1,5,8,6.2,+5
Jalen Johnson,36:34,9,21,.429,5,11,.455,6,6,1.000,0,6,6,6,1,1,2,0,29,23.6,+6
CJ McCollum,33:44,8,20,.400,3,10,.300,2,3,.667,1,4,5,2,0,0,0,3,21,11.9,-2
Dyson Daniels,32:14,3,8,.375,0,1,.000,0,0,,2,4,6,5,2,1,1,2,6,8.6,+11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jonathan Kuminga,18:03,0,5,.000,0,2,.000,3,4,.750,1,1,2,2,0,1,0,1,3,1.8,-12
Zaccharie Risacher,13:46,2,4,.500,1,3,.333,1,1,1.000,1,1,2,0,0,0,0,3,6,3.8,-17
Gabe Vincent,12:26,1,4,.250,1,4,.250,0,0,,0,0,0,1,0,0,0,1,3,0.9,0
Mouhamed Gueye,10:17,1,3,.333,1,2,.500,0,0,,1,0,1,0,1,1,0,1,3,3.3,-12
Corey Kispert,6:51,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,1.6,-6
Buddy Hield,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Caleb Houstan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Christian Koloko,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,34,87,.391,15,42,.357,19,24,.792,10,25,35,23,6,4,4,21,102,,
