Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jayson Tatum,36:36,8,24,.333,2,8,.250,8,10,.800,0,12,12,5,0,0,2,1,26,16.3,+1
Derrick White,34:14,3,13,.231,0,4,.000,4,5,.800,2,2,4,5,0,0,3,5,10,2.2,-4
Sam Hauser,29:00,4,7,.571,2,5,.400,0,0,,1,2,3,2,0,0,1,2,10,7.6,-3
Baylor Scheierman,28:09,1,3,.333,1,3,.333,0,0,,3,3,6,2,0,0,1,2,3,3.9,-13
Neemias Queta,27:35,2,2,1.000,0,0,,1,2,.500,0,11,11,5,0,1,3,3,5,7.3,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Payton Pritchard,34:33,13,23,.565,6,11,.545,4,4,1.000,3,4,7,4,0,0,5,2,36,25.4,+26
Jordan Walsh,27:28,2,3,.667,1,1,1.000,0,0,,2,1,3,1,0,3,0,2,5,7.4,+3
Luka Garza,15:03,4,5,.800,1,2,.500,2,2,1.000,2,2,4,2,0,0,0,2,11,11.7,+10
Hugo GonzÃ¡lez,7:22,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,1,3,2.9,+10
Charles Bassey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ron Harper Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Max Shulga,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Amari Williams,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,81,.469,14,35,.400,19,23,.826,13,39,52,26,0,4,16,20,109,,
