1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Atlanta,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Boston
12:00.0,Jump ball: O. Okongwu vs. N. Queta (B. Scheierman gains possession),Jump ball: O. Okongwu vs. N. Queta (B. Scheierman gains possession),Jump ball: O. Okongwu vs. N. Queta (B. Scheierman gains possession),Jump ball: O. Okongwu vs. N. Queta (B. Scheierman gains possession),Jump ball: O. Okongwu vs. N. Queta (B. Scheierman gains possession)
11:44.0,,,0-2,+2,N. Queta makes 2-pt hook shot from 8 ft (assist by J. Tatum)
11:28.0,Def 3 sec tech foul by Team,,0-2,,
11:28.0,N. Alexander-Walker makes technical free throw,+1,1-2,,
11:16.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by O. Okongwu),+3,4-2,,
10:58.0,,,4-2,,Personal foul by O. Okongwu (drawn by N. Queta)
10:52.0,,,4-4,+2,J. Tatum makes 2-pt jump shot from 14 ft (assist by D. White)
10:38.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Daniels),+3,7-4,,
10:23.0,,,7-4,,J. Tatum misses 2-pt layup from 3 ft
10:22.0,Defensive rebound by J. Johnson,,7-4,,
10:14.0,D. Daniels misses 2-pt hook shot from 7 ft,,7-4,,
10:10.0,,,7-4,,Defensive rebound by B. Scheierman
10:06.0,,,7-7,+3,J. Tatum makes 3-pt jump shot from 25 ft (assist by B. Scheierman)
9:55.0,C. McCollum makes 2-pt jump shot from 17 ft,+2,9-7,,
9:55.0,Shooting foul by B. Scheierman (drawn by C. McCollum),,9-7,,
9:55.0,C. McCollum makes free throw 1 of 1,+1,10-7,,
9:41.0,,,10-7,,D. White misses 2-pt jump shot from 16 ft
9:38.0,Defensive rebound by C. McCollum,,10-7,,
9:29.0,J. Johnson misses 3-pt jump shot from 25 ft,,10-7,,
9:27.0,,,10-7,,Defensive rebound by J. Tatum
9:20.0,,,10-7,,Offensive foul by J. Tatum (drawn by N. Alexander-Walker)
9:20.0,,,10-7,,Turnover by J. Tatum (offensive foul)
9:09.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by O. Okongwu),+3,13-7,,
8:42.0,,,13-7,,B. Scheierman misses 3-pt jump shot from 25 ft
8:38.0,Defensive rebound by N. Alexander-Walker,,13-7,,
8:28.0,O. Okongwu misses 2-pt hook shot from 7 ft,,13-7,,
8:25.0,,,13-7,,Defensive rebound by N. Queta
8:21.0,,,13-7,,S. Hauser misses 3-pt jump shot from 25 ft
8:18.0,Defensive rebound by O. Okongwu,,13-7,,
8:11.0,J. Johnson misses 2-pt layup from 3 ft (block by N. Queta),,13-7,,
8:11.0,,,13-7,,Defensive rebound by B. Scheierman
8:06.0,,,13-7,,S. Hauser misses 3-pt jump shot from 25 ft
8:02.0,Defensive rebound by C. McCollum,,13-7,,
7:54.0,N. Alexander-Walker misses 2-pt jump shot from 13 ft,,13-7,,
7:52.0,,,13-7,,Defensive rebound by N. Queta
7:40.0,,,13-7,,B. Scheierman misses 3-pt jump shot from 25 ft
7:38.0,Defensive rebound by C. McCollum,,13-7,,
7:27.0,N. Alexander-Walker makes 3-pt jump shot from 27 ft (assist by J. Johnson),+3,16-7,,
7:27.0,,,16-7,,Boston full timeout
7:11.0,,,16-9,+2,S. Hauser makes 2-pt jump shot from 12 ft (assist by N. Queta)
6:57.0,D. Daniels misses 3-pt jump shot from 25 ft,,16-9,,
6:56.0,,,16-9,,Defensive rebound by D. White
6:48.0,,,16-9,,Turnover by D. White (out of bounds lost ball)
6:48.0,G. Vincent enters the game for C. McCollum,,16-9,,
6:38.0,D. Daniels misses 2-pt jump shot from 5 ft,,16-9,,
6:35.0,,,16-9,,Defensive rebound by J. Tatum
6:23.0,,,16-9,,J. Tatum misses 3-pt jump shot from 26 ft
6:21.0,Defensive rebound by N. Alexander-Walker,,16-9,,
6:08.0,Shooting foul by D. White (drawn by J. Johnson),,16-9,,
6:08.0,J. Johnson makes free throw 1 of 2,+1,17-9,,
6:08.0,J. Kuminga enters the game for N. Alexander-Walker,,17-9,,
6:08.0,,,17-9,,L. Garza enters the game for S. Hauser
6:08.0,,,17-9,,H. GonzÃ¡lez PeÃ±a enters the game for N. Queta
6:08.0,,,17-9,,P. Pritchard enters the game for B. Scheierman
6:08.0,,,17-9,,J. Walsh enters the game for J. Tatum
6:08.0,J. Johnson makes free throw 2 of 2,+1,18-9,,
5:52.0,,,18-9,,D. White misses 2-pt jump shot from 12 ft
5:48.0,Defensive rebound by O. Okongwu,,18-9,,
5:45.0,J. Johnson makes 2-pt layup from 1 ft (assist by D. Daniels),+2,20-9,,
5:23.0,,,20-9,,L. Garza misses 3-pt jump shot from 27 ft
5:19.0,Defensive rebound by D. Daniels,,20-9,,
5:09.0,J. Kuminga misses 2-pt hook shot from 4 ft,,20-9,,
5:07.0,,,20-9,,Defensive rebound by L. Garza
4:56.0,,,20-9,,Offensive foul by P. Pritchard (drawn by G. Vincent)
4:56.0,,,20-9,,Turnover by P. Pritchard (offensive foul)
4:42.0,J. Johnson makes 2-pt jump shot from 13 ft,+2,22-9,,
4:22.0,,,22-9,,D. White misses 2-pt jump shot from 8 ft
4:20.0,Defensive rebound by O. Okongwu,,22-9,,
4:05.0,G. Vincent makes 3-pt jump shot from 26 ft (assist by D. Daniels),+3,25-9,,
4:03.0,,,25-9,,Boston full timeout
4:03.0,N. Alexander-Walker enters the game for D. Daniels,,25-9,,
4:03.0,M. Gueye enters the game for O. Okongwu,,25-9,,
3:49.0,,,25-9,,Personal foul by M. Gueye (drawn by L. Garza)
3:39.0,,,25-9,,P. Pritchard misses 2-pt jump shot from 8 ft
3:34.0,,,25-9,,Offensive rebound by L. Garza
3:32.0,,,25-12,+3,H. GonzÃ¡lez PeÃ±a makes 3-pt jump shot from 26 ft (assist by D. White)
3:17.0,Turnover by J. Johnson (traveling),,25-12,,
3:17.0,Z. Risacher enters the game for J. Johnson,,25-12,,
3:00.0,,,25-14,+2,L. Garza makes 2-pt layup from 2 ft (assist by D. White)
2:48.0,M. Gueye misses 3-pt jump shot from 23 ft,,25-14,,
2:45.0,,,25-14,,Defensive rebound by L. Garza
2:36.0,,,25-14,,Shooting foul by Z. Risacher (drawn by D. White)
2:36.0,,,25-14,,D. White misses free throw 1 of 2
2:36.0,,,25-14,,Offensive rebound by Team
2:36.0,,,25-15,+1,D. White makes free throw 2 of 2
2:27.0,G. Vincent misses 3-pt jump shot from 24 ft,,25-15,,
2:25.0,Offensive rebound by J. Kuminga,,25-15,,
2:22.0,J. Kuminga misses 2-pt layup from 6 ft (block by J. Walsh),,25-15,,
2:20.0,,,25-15,,Defensive rebound by H. GonzÃ¡lez PeÃ±a
2:02.0,,,25-17,+2,D. White makes 2-pt layup from 1 ft (assist by P. Pritchard)
1:42.0,Z. Risacher misses 3-pt jump shot from 24 ft,,25-17,,
1:38.0,,,25-17,,Defensive rebound by H. GonzÃ¡lez PeÃ±a
1:23.0,,,25-19,+2,P. Pritchard makes 2-pt jump shot from 16 ft (assist by L. Garza)
0:58.0,Shooting foul by H. GonzÃ¡lez PeÃ±a (drawn by J. Kuminga),,25-19,,
0:58.0,J. Kuminga makes free throw 1 of 2,+1,26-19,,
0:58.0,C. McCollum enters the game for G. Vincent,,26-19,,
0:58.0,,,26-19,,J. Tatum enters the game for D. White
0:58.0,J. Kuminga makes free throw 2 of 2,+1,27-19,,
0:51.0,,,27-22,+3,P. Pritchard makes 3-pt jump shot from 25 ft
0:43.0,Shooting foul by L. Garza (drawn by N. Alexander-Walker),,27-22,,
0:43.0,N. Alexander-Walker makes free throw 1 of 2,+1,28-22,,
0:43.0,N. Alexander-Walker makes free throw 2 of 2,+1,29-22,,
0:31.0,,,29-24,+2,L. Garza makes 2-pt layup from 2 ft (assist by P. Pritchard)
0:13.0,C. McCollum misses 3-pt jump shot from 28 ft,,29-24,,
0:10.0,,,29-24,,Defensive rebound by Team
0:10.0,D. Daniels enters the game for C. McCollum,,29-24,,
0:00.0,,,29-26,+2,P. Pritchard makes 2-pt layup from 3 ft
0:00.0,,,29-26,,Instant Replay (Request: Ruling Stands)
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Atlanta,,Score,,Boston
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:47.0,M. Gueye makes 3-pt jump shot from 26 ft (assist by J. Kuminga),+3,32-26,,
11:36.0,,,32-28,+2,P. Pritchard makes 2-pt layup from 3 ft (assist by L. Garza)
11:36.0,Violation by Team (def goaltending),,32-28,,
11:24.0,C. McCollum makes 2-pt jump shot from 7 ft,+2,34-28,,
10:59.0,,,34-28,,P. Pritchard misses 2-pt jump shot from 8 ft (block by M. Gueye)
10:55.0,Defensive rebound by J. Kuminga,,34-28,,
10:49.0,M. Gueye misses 2-pt jump shot from 9 ft,,34-28,,
10:47.0,,,34-28,,Defensive rebound by J. Tatum
10:42.0,,,34-28,,J. Tatum misses 2-pt layup from 3 ft
10:41.0,,,34-28,,Offensive rebound by Team
10:41.0,Loose ball foul by Z. Risacher (drawn by J. Tatum),,34-28,,
10:41.0,Atlanta full timeout,,34-28,,
10:41.0,Instant Replay (Challenge: Ruling Stands),,34-28,,
10:33.0,,,34-28,,J. Tatum misses 2-pt jump shot from 12 ft
10:33.0,Defensive rebound by Team,,34-28,,
10:33.0,,,34-28,,Loose ball foul by J. Walsh (drawn by Z. Risacher)
10:23.0,C. Kispert makes 3-pt jump shot from 28 ft (assist by C. McCollum),+3,37-28,,
10:02.0,,,37-28,,J. Tatum misses 2-pt layup from 4 ft (block by J. Kuminga)
10:01.0,,,37-28,,Offensive rebound by L. Garza
10:01.0,,,37-28,,Shooting foul by C. Kispert (drawn by L. Garza)
10:01.0,,,37-29,+1,L. Garza makes free throw 1 of 2
10:01.0,,,37-30,+1,L. Garza makes free throw 2 of 2
9:49.0,J. Kuminga misses 2-pt hook shot from 4 ft,,37-30,,
9:47.0,,,37-30,,Defensive rebound by J. Tatum
9:38.0,,,37-30,,Turnover by P. Pritchard (step out of bounds)
9:24.0,C. McCollum misses 2-pt layup from 3 ft (block by J. Walsh),,37-30,,
9:21.0,Offensive rebound by M. Gueye,,37-30,,
9:19.0,C. Kispert misses 3-pt jump shot from 25 ft,,37-30,,
9:17.0,,,37-30,,Defensive rebound by J. Tatum
9:10.0,,,37-33,+3,P. Pritchard makes 3-pt jump shot from 25 ft (assist by J. Tatum)
9:08.0,Atlanta full timeout,,37-33,,
9:08.0,J. Johnson enters the game for M. Gueye,,37-33,,
9:08.0,O. Okongwu enters the game for J. Kuminga,,37-33,,
9:08.0,,,37-33,,N. Queta enters the game for L. Garza
8:53.0,J. Johnson misses 2-pt jump shot from 14 ft,,37-33,,
8:53.0,,,37-33,,Defensive rebound by Team
8:27.0,,,37-35,+2,P. Pritchard makes 2-pt layup from 4 ft (assist by J. Walsh)
8:27.0,,,37-35,,B. Scheierman enters the game for J. Tatum
8:07.0,C. McCollum misses 3-pt jump shot from 24 ft,,37-35,,
8:05.0,,,37-35,,Defensive rebound by S. Hauser
7:41.0,,,37-37,+2,S. Hauser makes 2-pt jump shot from 12 ft
7:31.0,Z. Risacher makes 2-pt layup from 4 ft (assist by J. Johnson),+2,39-37,,
7:31.0,Shooting foul by N. Queta (drawn by Z. Risacher),,39-37,,
7:31.0,,,39-37,,D. White enters the game for J. Walsh
7:31.0,Z. Risacher makes free throw 1 of 1,+1,40-37,,
7:19.0,,,40-40,+3,P. Pritchard makes 3-pt jump shot from 28 ft (assist by N. Queta)
7:01.0,J. Johnson misses 2-pt jump shot from 8 ft,,40-40,,
6:57.0,,,40-40,,Defensive rebound by N. Queta
6:48.0,,,40-40,,Turnover by D. White (traveling)
6:48.0,N. Alexander-Walker enters the game for C. McCollum,,40-40,,
6:48.0,D. Daniels enters the game for Z. Risacher,,40-40,,
6:26.0,N. Alexander-Walker misses 3-pt jump shot from 28 ft,,40-40,,
6:24.0,,,40-40,,Defensive rebound by P. Pritchard
6:16.0,,,40-40,,P. Pritchard misses 2-pt layup from 4 ft
6:14.0,Defensive rebound by O. Okongwu,,40-40,,
6:09.0,O. Okongwu misses 3-pt jump shot from 26 ft,,40-40,,
6:06.0,,,40-40,,Defensive rebound by P. Pritchard
5:55.0,,,40-43,+3,S. Hauser makes 3-pt jump shot from 24 ft (assist by B. Scheierman)
5:33.0,J. Johnson makes 2-pt jump shot from 14 ft,+2,42-43,,
5:20.0,,,42-46,+3,B. Scheierman makes 3-pt jump shot from 26 ft (assist by P. Pritchard)
5:09.0,Shooting foul by N. Queta (drawn by O. Okongwu),,42-46,,
5:09.0,O. Okongwu misses free throw 1 of 2,,42-46,,
5:09.0,Offensive rebound by Team,,42-46,,
5:09.0,C. McCollum enters the game for C. Kispert,,42-46,,
5:09.0,,,42-46,,J. Tatum enters the game for P. Pritchard
5:09.0,,,42-46,,J. Walsh enters the game for N. Queta
5:09.0,O. Okongwu makes free throw 2 of 2,+1,43-46,,
4:53.0,,,43-46,,J. Tatum misses 2-pt jump shot from 13 ft
4:50.0,Defensive rebound by O. Okongwu,,43-46,,
4:41.0,O. Okongwu makes 3-pt jump shot from 25 ft (assist by C. McCollum),+3,46-46,,
4:30.0,,,46-46,,Offensive foul by S. Hauser (drawn by N. Alexander-Walker)
4:30.0,,,46-46,,Turnover by S. Hauser (offensive foul)
4:18.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by N. Alexander-Walker),+3,49-46,,
4:05.0,,,49-46,,Personal foul by N. Alexander-Walker (drawn by J. Tatum)
3:52.0,,,49-48,+2,D. White makes 2-pt jump shot from 14 ft
3:42.0,D. Daniels makes 2-pt layup from 2 ft (assist by J. Johnson),+2,51-48,,
3:24.0,,,51-50,+2,J. Walsh makes 2-pt dunk from 2 ft (assist by J. Tatum)
3:04.0,N. Alexander-Walker makes 3-pt jump shot from 23 ft (assist by D. Daniels),+3,54-50,,
2:43.0,,,54-50,,J. Tatum misses 2-pt jump shot from 11 ft
2:39.0,Defensive rebound by D. Daniels,,54-50,,
2:35.0,N. Alexander-Walker makes 2-pt layup from 1 ft (assist by J. Johnson),+2,56-50,,
2:20.0,,,56-50,,Personal foul by O. Okongwu (drawn by J. Tatum)
2:09.0,,,56-50,,D. White misses 2-pt layup from 4 ft (block by D. Daniels)
2:07.0,,,56-50,,Offensive rebound by D. White
2:07.0,,,56-50,,D. White misses 2-pt jump shot from 19 ft
2:06.0,,,56-50,,Offensive rebound by Team
2:06.0,,,56-50,,Turnover by Team (shot clock)
1:46.0,J. Johnson misses 2-pt jump shot from 14 ft,,56-50,,
1:43.0,,,56-50,,Defensive rebound by J. Tatum
1:37.0,,,56-53,+3,J. Walsh makes 3-pt jump shot from 26 ft (assist by S. Hauser)
1:28.0,Personal foul by J. Walsh (drawn by O. Okongwu),,56-53,,
1:28.0,,,56-53,,P. Pritchard enters the game for S. Hauser
1:17.0,C. McCollum misses 2-pt jump shot from 6 ft,,56-53,,
1:15.0,,,56-53,,Defensive rebound by J. Tatum
1:10.0,,,56-53,,J. Tatum misses 3-pt jump shot from 25 ft
1:06.0,,,56-53,,Offensive rebound by B. Scheierman
1:06.0,,,56-53,,Turnover by B. Scheierman (bad pass; steal by N. Alexander-Walker)
1:02.0,C. McCollum makes 2-pt layup from 1 ft (assist by N. Alexander-Walker),+2,58-53,,
0:54.0,,,58-55,+2,P. Pritchard makes 2-pt layup from 3 ft
0:48.0,Turnover by D. Daniels (traveling),,58-55,,
0:37.0,,,58-55,,J. Tatum misses 3-pt jump shot from 28 ft
0:33.0,Defensive rebound by N. Alexander-Walker,,58-55,,
0:18.0,Personal foul by B. Scheierman (drawn by J. Johnson),,58-55,,
0:18.0,J. Johnson makes free throw 1 of 2,+1,59-55,,
0:18.0,M. Gueye enters the game for O. Okongwu,,59-55,,
0:18.0,J. Johnson makes free throw 2 of 2,+1,60-55,,
0:00.0,,,60-55,,J. Walsh misses 2-pt dunk from 4 ft (block by J. Johnson)
0:00.0,,,60-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,Atlanta,,Score,,Boston
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:41.0,C. McCollum makes 2-pt jump shot from 15 ft,+2,62-55,,
11:23.0,,,62-57,+2,J. Tatum makes 2-pt layup from 3 ft (assist by N. Queta)
11:23.0,,,62-57,,Shooting foul by C. McCollum (drawn by J. Tatum)
11:23.0,,,62-58,+1,J. Tatum makes free throw 1 of 1
11:06.0,Turnover by J. Johnson (traveling),,62-58,,
10:52.0,,,62-60,+2,J. Tatum makes 2-pt jump shot from 12 ft (assist by N. Queta)
10:43.0,Offensive foul by O. Okongwu (drawn by B. Scheierman),,62-60,,
10:43.0,Turnover by O. Okongwu (offensive foul),,62-60,,
10:25.0,,,62-60,,Turnover by J. Tatum (lost ball; steal by D. Daniels)
10:20.0,N. Alexander-Walker makes 2-pt layup from 1 ft (assist by J. Johnson),+2,64-60,,
9:59.0,,,64-60,,D. White misses 2-pt jump shot from 22 ft
9:57.0,Defensive rebound by J. Johnson,,64-60,,
9:42.0,D. Daniels makes 2-pt layup from 4 ft (assist by N. Alexander-Walker),+2,66-60,,
9:19.0,,,66-60,,Personal foul by D. Daniels (drawn by J. Tatum)
9:11.0,,,66-60,,S. Hauser misses 3-pt jump shot from 26 ft
9:07.0,,,66-60,,Offensive rebound by B. Scheierman
9:06.0,,,66-60,,D. White misses 3-pt jump shot from 26 ft
9:04.0,Defensive rebound by D. Daniels,,66-60,,
8:56.0,O. Okongwu misses 2-pt layup from 5 ft,,66-60,,
8:56.0,,,66-60,,Defensive rebound by Team
8:39.0,,,66-60,,J. Tatum misses 3-pt jump shot from 27 ft
8:34.0,Defensive rebound by N. Alexander-Walker,,66-60,,
8:30.0,N. Alexander-Walker makes 2-pt layup at rim,+2,68-60,,
8:29.0,,,68-60,,Boston full timeout
8:29.0,,,68-60,,P. Pritchard enters the game for B. Scheierman
8:15.0,,,68-63,+3,S. Hauser makes 3-pt jump shot from 25 ft (assist by N. Queta)
8:01.0,J. Johnson misses 3-pt jump shot from 27 ft,,68-63,,
7:58.0,,,68-63,,Defensive rebound by N. Queta
7:54.0,,,68-66,+3,P. Pritchard makes 3-pt jump shot from 26 ft (assist by D. White)
7:37.0,J. Johnson misses 3-pt jump shot from 26 ft,,68-66,,
