style,tip
top:246px;left:87px;,"1st quarter, 11:16.0 remaining<br>Jalen Johnson made 3-pointer from 26 ft<br>Atlanta now leads 4-2"
top:253px;left:105px;,"1st quarter, 10:38.0 remaining<br>Jalen Johnson made 3-pointer from 26 ft<br>Atlanta now leads 7-4"
top:95px;left:269px;,"1st quarter, 10:14.0 remaining<br>Dyson Daniels missed 2-pointer from 7 ft<br>Atlanta leads 7-4"
top:157px;left:348px;,"1st quarter, 9:55.0 remaining<br>CJ McCollum made 2-pointer from 17 ft<br>Atlanta now leads 9-7"
top:236px;left:389px;,"1st quarter, 9:29.0 remaining<br>Jalen Johnson missed 3-pointer from 25 ft<br>Atlanta leads 10-7"
top:262px;left:137px;,"1st quarter, 9:09.0 remaining<br>CJ McCollum made 3-pointer from 25 ft<br>Atlanta now leads 13-7"
top:93px;left:264px;,"1st quarter, 8:28.0 remaining<br>Onyeka Okongwu missed 2-pointer from 7 ft<br>Atlanta leads 13-7"
top:47px;left:268px;,"1st quarter, 8:11.0 remaining<br>Jalen Johnson missed 2-pointer from 3 ft<br>Atlanta leads 13-7"
top:44px;left:367px;,"1st quarter, 7:54.0 remaining<br>Nickeil Alexander-Walker missed 2-pointer from 13 ft<br>Atlanta leads 13-7"
top:274px;left:366px;,"1st quarter, 7:27.0 remaining<br>Nickeil Alexander-Walker made 3-pointer from 27 ft<br>Atlanta now leads 16-7"
top:136px;left:465px;,"1st quarter, 6:57.0 remaining<br>Dyson Daniels missed 3-pointer from 25 ft<br>Atlanta leads 16-9"
top:54px;left:198px;,"1st quarter, 6:38.0 remaining<br>Dyson Daniels missed 2-pointer from 5 ft<br>Atlanta leads 16-9"
top:37px;left:241px;,"1st quarter, 5:45.0 remaining<br>Jalen Johnson made 2-pointer from 1 ft<br>Atlanta now leads 20-9"
top:57px;left:210px;,"1st quarter, 5:09.0 remaining<br>Jonathan Kuminga missed 2-pointer from 4 ft<br>Atlanta leads 20-9"
top:75px;left:358px;,"1st quarter, 4:42.0 remaining<br>Jalen Johnson made 2-pointer from 13 ft<br>Atlanta now leads 22-9"
top:196px;left:45px;,"1st quarter, 4:05.0 remaining<br>Gabe Vincent made 3-pointer from 26 ft<br>Atlanta now leads 25-9"
top:47px;left:7px;,"1st quarter, 2:48.0 remaining<br>Mouhamed Gueye missed 3-pointer from 23 ft<br>Atlanta leads 25-14"
top:227px;left:105px;,"1st quarter, 2:27.0 remaining<br>Gabe Vincent missed 3-pointer from 24 ft<br>Atlanta leads 25-15"
top:38px;left:176px;,"1st quarter, 2:22.0 remaining<br>Jonathan Kuminga missed 2-pointer from 6 ft<br>Atlanta leads 25-15"
top:213px;left:397px;,"1st quarter, 1:42.0 remaining<br>Zaccharie Risacher missed 3-pointer from 24 ft<br>Atlanta leads 25-17"
top:253px;left:405px;,"1st quarter, 0:13.0 remaining<br>CJ McCollum missed 3-pointer from 28 ft<br>Atlanta leads 29-24"
top:277px;left:306px;,"2nd quarter, 11:47.0 remaining<br>Mouhamed Gueye made 3-pointer from 26 ft<br>Atlanta now leads 32-26"
top:96px;left:244px;,"2nd quarter, 11:24.0 remaining<br>CJ McCollum made 2-pointer from 7 ft<br>Atlanta now leads 34-28"
top:33px;left:154px;,"2nd quarter, 10:49.0 remaining<br>Mouhamed Gueye missed 2-pointer from 9 ft<br>Atlanta leads 34-28"
top:279px;left:117px;,"2nd quarter, 10:23.0 remaining<br>Corey Kispert made 3-pointer from 28 ft<br>Atlanta now leads 37-28"
top:62px;left:258px;,"2nd quarter, 9:49.0 remaining<br>Jonathan Kuminga missed 2-pointer from 4 ft<br>Atlanta leads 37-30"
top:62px;left:227px;,"2nd quarter, 9:24.0 remaining<br>CJ McCollum missed 2-pointer from 3 ft<br>Atlanta leads 37-30"
top:264px;left:150px;,"2nd quarter, 9:19.0 remaining<br>Corey Kispert missed 3-pointer from 25 ft<br>Atlanta leads 37-30"
top:152px;left:303px;,"2nd quarter, 8:53.0 remaining<br>Jalen Johnson missed 2-pointer from 14 ft<br>Atlanta leads 37-33"
top:41px;left:4px;,"2nd quarter, 8:07.0 remaining<br>CJ McCollum missed 3-pointer from 24 ft<br>Atlanta leads 37-35"
top:34px;left:202px;,"2nd quarter, 7:31.0 remaining<br>Zaccharie Risacher made 2-pointer from 4 ft<br>Atlanta now leads 39-37"
top:67px;left:173px;,"2nd quarter, 7:01.0 remaining<br>Jalen Johnson missed 2-pointer from 8 ft<br>Atlanta tied 40-40"
top:303px;left:279px;,"2nd quarter, 6:26.0 remaining<br>Nickeil Alexander-Walker missed 3-pointer from 28 ft<br>Atlanta tied 40-40"
top:279px;left:330px;,"2nd quarter, 6:09.0 remaining<br>Onyeka Okongwu missed 3-pointer from 26 ft<br>Atlanta tied 40-40"
top:158px;left:295px;,"2nd quarter, 5:33.0 remaining<br>Jalen Johnson made 2-pointer from 14 ft<br>Atlanta now trails 42-43"
top:244px;left:116px;,"2nd quarter, 4:41.0 remaining<br>Onyeka Okongwu made 3-pointer from 25 ft<br>Atlanta now tied 46-46"
top:239px;left:77px;,"2nd quarter, 4:18.0 remaining<br>Jalen Johnson made 3-pointer from 26 ft<br>Atlanta now leads 49-46"
top:52px;left:237px;,"2nd quarter, 3:42.0 remaining<br>Dyson Daniels made 2-pointer from 2 ft<br>Atlanta now leads 51-48"
top:83px;left:12px;,"2nd quarter, 3:04.0 remaining<br>Nickeil Alexander-Walker made 3-pointer from 23 ft<br>Atlanta now leads 54-50"
top:37px;left:244px;,"2nd quarter, 2:35.0 remaining<br>Nickeil Alexander-Walker made 2-pointer from 1 ft<br>Atlanta now leads 56-50"
top:158px;left:301px;,"2nd quarter, 1:46.0 remaining<br>Jalen Johnson missed 2-pointer from 14 ft<br>Atlanta leads 56-50"
top:59px;left:293px;,"2nd quarter, 1:17.0 remaining<br>CJ McCollum missed 2-pointer from 6 ft<br>Atlanta leads 56-53"
top:41px;left:249px;,"2nd quarter, 1:02.0 remaining<br>CJ McCollum made 2-pointer from 1 ft<br>Atlanta now leads 58-53"
top:167px;left:294px;,"3rd quarter, 11:41.0 remaining<br>CJ McCollum made 2-pointer from 15 ft<br>Atlanta now leads 62-55"
top:37px;left:229px;,"3rd quarter, 10:20.0 remaining<br>Nickeil Alexander-Walker made 2-pointer from 1 ft<br>Atlanta now leads 64-60"
top:38px;left:205px;,"3rd quarter, 9:42.0 remaining<br>Dyson Daniels made 2-pointer from 4 ft<br>Atlanta now leads 66-60"
top:41px;left:289px;,"3rd quarter, 8:56.0 remaining<br>Onyeka Okongwu missed 2-pointer from 5 ft<br>Atlanta leads 66-60"
top:29px;left:239px;,"3rd quarter, 8:30.0 remaining<br>Nickeil Alexander-Walker made 2-pointer from 0 ft<br>Atlanta now leads 68-60"
top:284px;left:155px;,"3rd quarter, 8:01.0 remaining<br>Jalen Johnson missed 3-pointer from 27 ft<br>Atlanta leads 68-63"
top:206px;left:52px;,"3rd quarter, 7:37.0 remaining<br>Jalen Johnson missed 3-pointer from 26 ft<br>Atlanta leads 68-66"
top:189px;left:140px;,"3rd quarter, 7:08.0 remaining<br>Nickeil Alexander-Walker missed 2-pointer from 19 ft<br>Atlanta trails 68-69"
top:279px;left:130px;,"3rd quarter, 6:35.0 remaining<br>CJ McCollum missed 3-pointer from 27 ft<br>Atlanta trails 68-69"
top:113px;left:247px;,"3rd quarter, 6:07.0 remaining<br>CJ McCollum missed 2-pointer from 8 ft<br>Atlanta trails 68-69"
top:46px;left:258px;,"3rd quarter, 6:04.0 remaining<br>Dyson Daniels made 2-pointer from 2 ft<br>Atlanta now leads 70-69"
top:284px;left:345px;,"3rd quarter, 5:29.0 remaining<br>CJ McCollum missed 3-pointer from 28 ft<br>Atlanta trails 70-72"
top:34px;left:270px;,"3rd quarter, 4:58.0 remaining<br>Jalen Johnson missed 2-pointer from 3 ft<br>Atlanta trails 70-72"
top:43px;left:260px;,"3rd quarter, 4:17.0 remaining<br>Jalen Johnson made 2-pointer from 2 ft<br>Atlanta now trails 72-75"
top:231px;left:384px;,"3rd quarter, 3:44.0 remaining<br>Gabe Vincent missed 3-pointer from 25 ft<br>Atlanta trails 72-78"
top:72px;left:258px;,"3rd quarter, 3:34.0 remaining<br>Nickeil Alexander-Walker missed 2-pointer from 5 ft<br>Atlanta trails 72-78"
top:58px;left:9px;,"3rd quarter, 2:27.0 remaining<br>Zaccharie Risacher made 3-pointer from 23 ft<br>Atlanta now trails 76-80"
top:187px;left:16px;,"3rd quarter, 1:30.0 remaining<br>Zaccharie Risacher missed 3-pointer from 27 ft<br>Atlanta trails 78-82"
top:44px;left:466px;,"3rd quarter, 0:55.0 remaining<br>Gabe Vincent missed 3-pointer from 23 ft<br>Atlanta trails 78-84"
top:189px;left:52px;,"3rd quarter, 0:29.0 remaining<br>CJ McCollum made 3-pointer from 25 ft<br>Atlanta now trails 82-85"
top:72px;left:245px;,"4th quarter, 11:28.0 remaining<br>CJ McCollum missed 2-pointer from 4 ft<br>Atlanta trails 82-89"
top:88px;left:283px;,"4th quarter, 11:02.0 remaining<br>Onyeka Okongwu missed 2-pointer from 7 ft<br>Atlanta trails 82-89"
top:283px;left:287px;,"4th quarter, 10:31.0 remaining<br>CJ McCollum missed 3-pointer from 26 ft<br>Atlanta trails 82-89"
top:43px;left:263px;,"4th quarter, 9:55.0 remaining<br>CJ McCollum made 2-pointer from 3 ft<br>Atlanta now trails 84-91"
top:254px;left:369px;,"4th quarter, 9:27.0 remaining<br>Jonathan Kuminga missed 3-pointer from 26 ft<br>Atlanta trails 84-93"
top:91px;left:240px;,"4th quarter, 8:58.0 remaining<br>Dyson Daniels missed 2-pointer from 6 ft<br>Atlanta trails 84-95"
top:28px;left:15px;,"4th quarter, 8:20.0 remaining<br>Jonathan Kuminga missed 3-pointer from 23 ft<br>Atlanta trails 84-95"
top:44px;left:265px;,"4th quarter, 7:53.0 remaining<br>Onyeka Okongwu made 2-pointer from 3 ft<br>Atlanta now trails 86-95"
top:315px;left:182px;,"4th quarter, 7:15.0 remaining<br>Nickeil Alexander-Walker missed 3-pointer from 29 ft<br>Atlanta trails 86-97"
top:263px;left:375px;,"4th quarter, 6:41.0 remaining<br>Jalen Johnson made 3-pointer from 27 ft<br>Atlanta now trails 89-97"
top:270px;left:135px;,"4th quarter, 6:07.0 remaining<br>Jalen Johnson made 3-pointer from 26 ft<br>Atlanta now trails 92-100"
top:290px;left:331px;,"4th quarter, 5:23.0 remaining<br>Jalen Johnson missed 3-pointer from 28 ft<br>Atlanta trails 92-100"
top:73px;left:473px;,"4th quarter, 5:05.0 remaining<br>CJ McCollum made 3-pointer from 24 ft<br>Atlanta now trails 95-100"
top:48px;left:197px;,"4th quarter, 4:25.0 remaining<br>Nickeil Alexander-Walker missed 2-pointer from 5 ft<br>Atlanta trails 95-101"
top:254px;left:400px;,"4th quarter, 3:39.0 remaining<br>CJ McCollum missed 3-pointer from 28 ft<br>Atlanta trails 97-101"
top:95px;left:177px;,"4th quarter, 2:41.0 remaining<br>Nickeil Alexander-Walker made 2-pointer from 9 ft<br>Atlanta now trails 99-103"
top:139px;left:254px;,"4th quarter, 1:38.0 remaining<br>CJ McCollum missed 2-pointer from 11 ft<br>Atlanta trails 99-104"
top:260px;left:104px;,"4th quarter, 0:53.0 remaining<br>Jalen Johnson missed 3-pointer from 27 ft<br>Atlanta trails 99-107"
top:30px;left:240px;,"4th quarter, 0:49.0 remaining<br>Onyeka Okongwu made 2-pointer from 0 ft<br>Atlanta now trails 101-107"
top:233px;left:82px;,"4th quarter, 0:36.0 remaining<br>Nickeil Alexander-Walker missed 3-pointer from 26 ft<br>Atlanta trails 101-109"
top:30px;left:240px;,"4th quarter, 0:31.0 remaining<br>Dyson Daniels missed 2-pointer from 0 ft<br>Atlanta trails 101-109"
top:264px;left:138px;,"4th quarter, 0:29.0 remaining<br>Jalen Johnson missed 3-pointer from 26 ft<br>Atlanta trails 101-109"
top:136px;left:458px;,"4th quarter, 0:23.0 remaining<br>CJ McCollum missed 3-pointer from 24 ft<br>Atlanta trails 101-109"
top:72px;left:194px;,"4th quarter, 0:19.0 remaining<br>Jalen Johnson missed 2-pointer from 6 ft<br>Atlanta trails 101-109"
