style,tip
top:113px;left:243px;,"1st quarter, 11:44.0 remaining<br>Neemias Queta made 2-pointer from 8 ft<br>Boston now leads 2-0"
top:158px;left:184px;,"1st quarter, 10:52.0 remaining<br>Jayson Tatum made 2-pointer from 14 ft<br>Boston now tied 4-4"
top:46px;left:268px;,"1st quarter, 10:23.0 remaining<br>Jayson Tatum missed 2-pointer from 3 ft<br>Boston trails 4-7"
top:264px;left:326px;,"1st quarter, 10:06.0 remaining<br>Jayson Tatum made 3-pointer from 25 ft<br>Boston now tied 7-7"
top:179px;left:189px;,"1st quarter, 9:41.0 remaining<br>Derrick White missed 2-pointer from 16 ft<br>Boston trails 7-10"
top:258px;left:353px;,"1st quarter, 8:42.0 remaining<br>Baylor Scheierman missed 3-pointer from 25 ft<br>Boston trails 7-13"
top:223px;left:393px;,"1st quarter, 8:21.0 remaining<br>Sam Hauser missed 3-pointer from 25 ft<br>Boston trails 7-13"
top:211px;left:408px;,"1st quarter, 8:06.0 remaining<br>Sam Hauser missed 3-pointer from 25 ft<br>Boston trails 7-13"
top:146px;left:13px;,"1st quarter, 7:40.0 remaining<br>Baylor Scheierman missed 3-pointer from 25 ft<br>Boston trails 7-13"
top:95px;left:135px;,"1st quarter, 7:11.0 remaining<br>Sam Hauser made 2-pointer from 12 ft<br>Boston now trails 9-16"
top:259px;left:122px;,"1st quarter, 6:23.0 remaining<br>Jayson Tatum missed 3-pointer from 26 ft<br>Boston trails 9-16"
top:131px;left:176px;,"1st quarter, 5:52.0 remaining<br>Derrick White missed 2-pointer from 12 ft<br>Boston trails 9-18"
top:285px;left:152px;,"1st quarter, 5:23.0 remaining<br>Luka Garza missed 3-pointer from 27 ft<br>Boston trails 9-20"
top:68px;left:312px;,"1st quarter, 4:22.0 remaining<br>Derrick White missed 2-pointer from 8 ft<br>Boston trails 9-22"
top:64px;left:315px;,"1st quarter, 3:39.0 remaining<br>Payton Pritchard missed 2-pointer from 8 ft<br>Boston trails 9-25"
top:184px;left:32px;,"1st quarter, 3:32.0 remaining<br>Hugo GonzÃ¡lez made 3-pointer from 26 ft<br>Boston now trails 12-25"
top:32px;left:263px;,"1st quarter, 3:00.0 remaining<br>Luka Garza made 2-pointer from 2 ft<br>Boston now trails 14-25"
top:36px;left:240px;,"1st quarter, 2:02.0 remaining<br>Derrick White made 2-pointer from 1 ft<br>Boston now trails 17-25"
top:90px;left:97px;,"1st quarter, 1:23.0 remaining<br>Payton Pritchard made 2-pointer from 16 ft<br>Boston now trails 19-25"
top:226px;left:80px;,"1st quarter, 0:51.0 remaining<br>Payton Pritchard made 3-pointer from 25 ft<br>Boston now trails 22-27"
top:46px;left:226px;,"1st quarter, 0:31.0 remaining<br>Luka Garza made 2-pointer from 2 ft<br>Boston now trails 24-29"
top:58px;left:247px;,"1st quarter, 0:00.0 remaining<br>Payton Pritchard made 2-pointer from 3 ft<br>Boston now trails 26-29"
top:47px;left:270px;,"2nd quarter, 11:36.0 remaining<br>Payton Pritchard made 2-pointer from 3 ft<br>Boston now trails 28-32"
top:108px;left:215px;,"2nd quarter, 10:59.0 remaining<br>Payton Pritchard missed 2-pointer from 8 ft<br>Boston trails 28-34"
top:59px;left:244px;,"2nd quarter, 10:42.0 remaining<br>Jayson Tatum missed 2-pointer from 3 ft<br>Boston trails 28-34"
top:60px;left:120px;,"2nd quarter, 10:33.0 remaining<br>Jayson Tatum missed 2-pointer from 12 ft<br>Boston trails 28-34"
top:46px;left:205px;,"2nd quarter, 10:02.0 remaining<br>Jayson Tatum missed 2-pointer from 4 ft<br>Boston trails 28-37"
top:216px;left:408px;,"2nd quarter, 9:10.0 remaining<br>Payton Pritchard made 3-pointer from 25 ft<br>Boston now trails 33-37"
top:51px;left:210px;,"2nd quarter, 8:27.0 remaining<br>Payton Pritchard made 2-pointer from 4 ft<br>Boston now trails 35-37"
top:141px;left:192px;,"2nd quarter, 7:41.0 remaining<br>Sam Hauser made 2-pointer from 12 ft<br>Boston now tied 37-37"
top:298px;left:322px;,"2nd quarter, 7:19.0 remaining<br>Payton Pritchard made 3-pointer from 28 ft<br>Boston now tied 40-40"
top:42px;left:202px;,"2nd quarter, 6:16.0 remaining<br>Payton Pritchard missed 2-pointer from 4 ft<br>Boston tied 40-40"
top:191px;left:57px;,"2nd quarter, 5:55.0 remaining<br>Sam Hauser made 3-pointer from 24 ft<br>Boston now leads 43-40"
top:215px;left:60px;,"2nd quarter, 5:20.0 remaining<br>Baylor Scheierman made 3-pointer from 26 ft<br>Boston now leads 46-42"
top:156px;left:273px;,"2nd quarter, 4:53.0 remaining<br>Jayson Tatum missed 2-pointer from 13 ft<br>Boston leads 46-43"
top:143px;left:314px;,"2nd quarter, 3:52.0 remaining<br>Derrick White made 2-pointer from 14 ft<br>Boston now trails 48-49"
top:44px;left:231px;,"2nd quarter, 3:24.0 remaining<br>Jordan Walsh made 2-pointer from 2 ft<br>Boston now trails 50-51"
top:137px;left:276px;,"2nd quarter, 2:43.0 remaining<br>Jayson Tatum missed 2-pointer from 11 ft<br>Boston trails 50-54"
top:43px;left:201px;,"2nd quarter, 2:09.0 remaining<br>Derrick White missed 2-pointer from 4 ft<br>Boston trails 50-56"
top:59px;left:52px;,"2nd quarter, 2:07.0 remaining<br>Derrick White missed 2-pointer from 19 ft<br>Boston trails 50-56"
top:159px;left:461px;,"2nd quarter, 1:37.0 remaining<br>Jordan Walsh made 3-pointer from 26 ft<br>Boston now trails 53-56"
top:234px;left:87px;,"2nd quarter, 1:10.0 remaining<br>Jayson Tatum missed 3-pointer from 25 ft<br>Boston trails 53-56"
