Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyler Herro,31:22,.396,.346,.308,.154,3.1,7.5,5.0,22.6,0.0,0.0,6.7,18.9,98,141,-8.4
Bam Adebayo,30:41,.400,.250,.571,.571,3.1,57.2,27.5,13.3,1.4,2.8,10.2,25.3,89,129,-4.0
Norman Powell,25:27,.663,.600,.500,.300,0.0,13.8,6.2,12.3,0.0,3.4,0.0,17.7,141,137,1.1
Davion Mitchell,24:02,.167,.167,.667,.000,4.0,14.6,8.8,21.0,0.0,0.0,40.0,16.5,50,140,-18.3
Andrew Wiggins,19:58,.888,.900,.600,.800,0.0,5.9,2.6,0.0,0.0,4.3,0.0,13.5,171,137,4.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Pelle Larsson,25:44,.753,.500,.500,1.500,7.5,4.5,6.1,25.7,1.7,0.0,31.1,14.9,130,137,0.7
Jaime Jaquez Jr.,21:14,.744,.769,.385,.077,0.0,11.0,5.0,34.5,0.0,4.0,18.2,30.8,112,137,3.5
Kel'el Ware,20:43,.643,.600,.400,.200,13.9,28.3,20.4,8.2,2.1,0.0,0.0,20.9,143,133,5.7
Kasparas JakuÄionis,19:28,.810,.667,.833,1.000,9.9,6.0,8.1,7.6,0.0,0.0,0.0,17.6,177,141,5.1
Simone Fontecchio,9:54,.761,.714,.571,.286,9.7,11.8,10.7,0.0,4.4,0.0,0.0,31.6,151,130,18.5
Myron Gardner,6:48,.387,.333,.667,.667,0.0,0.0,0.0,21.4,6.5,0.0,0.0,22.7,95,126,-7.3
Keshad Johnson,4:39,.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,123,142,-6.6
Nikola JoviÄ,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dru Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.594,.522,.505,.418,22.0,82.9,49.5,62.5,4.6,7.1,10.8,100.0,117.2,136.5,
