Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Tyler Herro,31:22,4,13,.308,1,4,.250,2,2,1.000,1,2,3,5,0,0,1,3,11,6.1,-23
Bam Adebayo,30:41,3,14,.214,1,8,.125,7,8,.875,1,15,16,3,1,1,2,0,14,12.0,-18
Norman Powell,25:27,5,10,.500,2,5,.400,3,3,1.000,0,3,3,2,0,1,0,3,15,11.8,-12
Davion Mitchell,24:02,1,6,.167,0,4,.000,0,0,,1,3,4,4,0,0,4,2,2,-2.2,-22
Andrew Wiggins,19:58,3,5,.600,3,3,1.000,3,4,.750,0,1,1,0,0,1,0,2,12,9.5,-15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Pelle Larsson,25:44,2,4,.500,0,2,.000,6,6,1.000,2,1,3,5,1,0,3,1,10,10.8,-10
Jaime Jaquez Jr.,21:14,9,13,.692,2,5,.400,0,1,.000,0,2,2,3,0,1,3,4,20,12.9,-7
Kel'el Ware,20:43,5,10,.500,2,4,.500,2,2,1.000,3,5,8,1,1,0,0,1,14,13.9,-6
Kasparas JakuÄionis,19:28,3,6,.500,2,5,.400,6,6,1.000,2,1,3,1,0,0,0,3,14,12.2,+7
Simone Fontecchio,9:54,4,7,.571,2,4,.500,2,2,1.000,1,1,2,0,1,0,0,0,12,10.7,-6
Myron Gardner,6:48,1,3,.333,0,2,.000,1,2,.500,0,0,0,1,1,0,0,3,3,1.4,+1
Keshad Johnson,4:39,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,0.6,+6
Nikola JoviÄ,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dru Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,91,.440,15,46,.326,33,38,.868,11,34,45,25,5,4,13,22,128,,
