1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Miami,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Cleveland
12:00.0,Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession)
11:42.0,,,0-2,+2,J. Allen makes 2-pt hook shot from 9 ft (assist by E. Mobley)
11:20.0,D. Mitchell misses 3-pt jump shot from 25 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by J. Allen
11:12.0,,,0-2,,Shooting foul by D. Mitchell (drawn by J. Harden)
11:12.0,,,0-3,+1,J. Harden makes free throw 1 of 3
11:12.0,,,0-4,+1,J. Harden makes free throw 2 of 3
11:12.0,,,0-5,+1,J. Harden makes free throw 3 of 3
11:05.0,Personal foul by D. Mitchell (drawn by N. Powell),,0-5,,
10:54.0,B. Adebayo misses 3-pt jump shot from 26 ft,,0-5,,
10:51.0,,,0-5,,Defensive rebound by E. Mobley
10:34.0,,,0-5,,D. Mitchell misses 2-pt jump shot from 18 ft (block by A. Wiggins)
10:30.0,,,0-5,,Offensive rebound by D. Mitchell
10:29.0,,,0-8,+3,S. Merrill makes 3-pt jump shot from 25 ft (assist by D. Mitchell)
10:23.0,N. Powell makes 2-pt layup from 1 ft,+2,2-8,,
10:11.0,,,2-10,+2,J. Allen makes 2-pt dunk at rim (assist by S. Merrill)
10:07.0,Turnover by D. Mitchell (bad pass; steal by J. Harden),,2-10,,
10:04.0,,,2-10,,Personal foul by N. Powell (drawn by E. Mobley)
9:54.0,,,2-13,+3,E. Mobley makes 3-pt jump shot from 25 ft (assist by J. Harden)
9:37.0,Turnover by D. Mitchell (bad pass),,2-13,,
9:28.0,,,2-15,+2,D. Mitchell makes 2-pt jump shot from 14 ft (assist by J. Harden)
9:28.0,Miami full timeout,,2-15,,
9:14.0,N. Powell makes 3-pt jump shot from 27 ft (assist by T. Herro),+3,5-15,,
8:48.0,,,5-15,,S. Merrill misses 3-pt jump shot from 26 ft
8:47.0,,,5-15,,Offensive rebound by J. Allen
8:47.0,,,5-15,,Shooting foul by N. Powell (drawn by J. Allen)
8:47.0,,,5-16,+1,J. Allen makes free throw 1 of 2
8:47.0,,,5-17,+1,J. Allen makes free throw 2 of 2
8:35.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by D. Mitchell),+3,8-17,,
8:17.0,,,8-17,,D. Mitchell misses 2-pt jump shot from 9 ft
8:14.0,Defensive rebound by B. Adebayo,,8-17,,
8:06.0,T. Herro misses 2-pt jump shot from 12 ft,,8-17,,
8:04.0,,,8-17,,Defensive rebound by E. Mobley
7:57.0,,,8-19,+2,J. Allen makes 2-pt layup from 1 ft (assist by J. Harden)
7:41.0,A. Wiggins misses 2-pt jump shot from 14 ft,,8-19,,
7:39.0,,,8-19,,Defensive rebound by J. Allen
7:31.0,,,8-21,+2,E. Mobley makes 2-pt dunk from 1 ft (assist by D. Mitchell)
