style,tip
top:280px;left:197px;,"1st quarter, 11:20.0 remaining<br>Davion Mitchell missed 3-pointer from 25 ft<br>Miami trails 0-2"
top:272px;left:348px;,"1st quarter, 10:54.0 remaining<br>Bam Adebayo missed 3-pointer from 26 ft<br>Miami trails 0-5"
top:38px;left:246px;,"1st quarter, 10:23.0 remaining<br>Norman Powell made 2-pointer from 1 ft<br>Miami now trails 2-8"
top:269px;left:358px;,"1st quarter, 9:14.0 remaining<br>Norman Powell made 3-pointer from 27 ft<br>Miami now trails 5-15"
top:183px;left:455px;,"1st quarter, 8:35.0 remaining<br>Andrew Wiggins made 3-pointer from 26 ft<br>Miami now trails 8-17"
top:134px;left:300px;,"1st quarter, 8:06.0 remaining<br>Tyler Herro missed 2-pointer from 12 ft<br>Miami trails 8-17"
top:160px;left:288px;,"1st quarter, 7:41.0 remaining<br>Andrew Wiggins missed 2-pointer from 14 ft<br>Miami trails 8-19"
top:262px;left:82px;,"1st quarter, 7:14.0 remaining<br>Norman Powell missed 3-pointer from 28 ft<br>Miami trails 8-21"
top:162px;left:303px;,"1st quarter, 6:53.0 remaining<br>Tyler Herro missed 2-pointer from 15 ft<br>Miami trails 8-21"
top:31px;left:240px;,"1st quarter, 6:50.0 remaining<br>Bam Adebayo missed 2-pointer from 0 ft<br>Miami trails 8-21"
top:180px;left:212px;,"1st quarter, 6:08.0 remaining<br>Bam Adebayo missed 2-pointer from 15 ft<br>Miami trails 10-21"
top:34px;left:251px;,"1st quarter, 5:37.0 remaining<br>Davion Mitchell made 2-pointer from 1 ft<br>Miami now trails 12-21"
top:91px;left:207px;,"1st quarter, 4:51.0 remaining<br>Kel'el Ware missed 2-pointer from 7 ft<br>Miami trails 12-21"
top:34px;left:238px;,"1st quarter, 4:48.0 remaining<br>Pelle Larsson made 2-pointer from 0 ft<br>Miami now trails 14-21"
top:52px;left:189px;,"1st quarter, 4:20.0 remaining<br>Norman Powell missed 2-pointer from 6 ft<br>Miami trails 14-24"
top:83px;left:189px;,"1st quarter, 3:59.0 remaining<br>Jaime Jaquez Jr. made 2-pointer from 7 ft<br>Miami now trails 16-27"
top:139px;left:17px;,"1st quarter, 3:15.0 remaining<br>Pelle Larsson missed 3-pointer from 25 ft<br>Miami trails 16-29"
top:88px;left:257px;,"1st quarter, 3:04.0 remaining<br>Pelle Larsson made 2-pointer from 6 ft<br>Miami now trails 18-29"
top:179px;left:306px;,"1st quarter, 2:43.0 remaining<br>Tyler Herro missed 2-pointer from 16 ft<br>Miami trails 18-32"
top:31px;left:240px;,"1st quarter, 2:37.0 remaining<br>Kasparas JakuÄionis made 2-pointer from 0 ft<br>Miami now trails 20-32"
top:23px;left:236px;,"1st quarter, 2:25.0 remaining<br>Jaime Jaquez Jr. made 2-pointer from 1 ft<br>Miami now trails 22-32"
top:157px;left:468px;,"1st quarter, 1:24.0 remaining<br>Tyler Herro missed 3-pointer from 26 ft<br>Miami trails 22-34"
top:255px;left:403px;,"1st quarter, 1:03.0 remaining<br>Kel'el Ware made 3-pointer from 28 ft<br>Miami now trails 25-37"
top:63px;left:346px;,"1st quarter, 0:13.0 remaining<br>Jaime Jaquez Jr. made 2-pointer from 11 ft<br>Miami now trails 27-40"
top:29px;left:237px;,"2nd quarter, 11:44.0 remaining<br>Tyler Herro made 2-pointer from 0 ft<br>Miami now trails 29-40"
top:32px;left:9px;,"2nd quarter, 11:16.0 remaining<br>Kel'el Ware made 3-pointer from 23 ft<br>Miami now trails 32-42"
top:62px;left:318px;,"2nd quarter, 10:43.0 remaining<br>Jaime Jaquez Jr. missed 2-pointer from 8 ft<br>Miami trails 32-42"
top:159px;left:253px;,"2nd quarter, 10:20.0 remaining<br>Bam Adebayo made 2-pointer from 13 ft<br>Miami now trails 34-42"
top:246px;left:397px;,"2nd quarter, 9:36.0 remaining<br>Bam Adebayo missed 3-pointer from 27 ft<br>Miami trails 34-44"
top:159px;left:27px;,"2nd quarter, 9:03.0 remaining<br>Jaime Jaquez Jr. missed 3-pointer from 25 ft<br>Miami trails 34-44"
top:28px;left:231px;,"2nd quarter, 8:20.0 remaining<br>Bam Adebayo made 2-pointer from 1 ft<br>Miami now trails 36-50"
top:198px;left:447px;,"2nd quarter, 7:44.0 remaining<br>Bam Adebayo missed 3-pointer from 27 ft<br>Miami trails 36-55"
top:39px;left:209px;,"2nd quarter, 7:16.0 remaining<br>Andrew Wiggins missed 2-pointer from 3 ft<br>Miami trails 36-55"
top:139px;left:15px;,"2nd quarter, 6:50.0 remaining<br>Simone Fontecchio missed 3-pointer from 25 ft<br>Miami trails 36-55"
top:203px;left:449px;,"2nd quarter, 6:23.0 remaining<br>Norman Powell missed 3-pointer from 27 ft<br>Miami trails 36-55"
top:44px;left:321px;,"2nd quarter, 5:33.0 remaining<br>Bam Adebayo missed 2-pointer from 8 ft<br>Miami trails 36-58"
