Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Elijah Harkless,41:12,.335,.313,.563,.063,0.0,9.5,5.0,4.8,2.2,5.0,5.7,17.9,72,128,-11.2
Cody Williams,30:20,.703,.643,.000,.500,0.0,0.0,0.0,28.6,3.0,0.0,5.5,25.2,145,131,5.4
Ace Bailey,27:29,.536,.536,.500,.000,4.0,21.4,13.1,4.3,0.0,0.0,12.5,24.7,95,131,-12.7
Brice Sensabaugh,25:29,.732,.688,.750,.250,0.0,15.4,8.1,24.9,3.6,0.0,25.3,19.7,119,125,3.4
Kyle Filipowski,24:49,.666,.676,.353,.235,0.0,31.6,16.6,30.5,0.0,0.0,5.1,33.7,130,127,5.8
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
John Konchar,30:13,.800,.800,.100,.000,10.8,16.2,13.7,7.9,1.5,6.8,0.0,14.0,168,126,6.7
Kennedy Chandler,29:26,.735,.800,.400,.200,0.0,3.3,1.8,27.5,1.6,0.0,8.4,17.1,141,134,1.1
Bez Mbeng,18:37,.000,.000,.000,.000,5.9,5.3,5.5,4.9,4.9,0.0,0.0,4.5,68,125,-8.8
Oscar Tshiebwe,12:25,.846,.750,.000,.750,35.1,39.4,37.4,28.0,0.0,0.0,15.8,21.6,166,124,10.8
Isaiah Collier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kevin Love,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Svi Mykhailiuk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.624,.605,.347,.200,20.5,69.4,46.2,64.2,9.5,8.5,8.8,100.0,123.0,128.7,
