Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jamal Murray,39:22,9,18,.500,5,10,.500,8,8,1.000,0,6,6,14,0,0,1,1,31,32.2,+8
Nikola JokiÄ,38:36,13,16,.813,2,2,1.000,5,8,.625,4,11,15,12,1,0,7,0,33,34.3,+13
Aaron Gordon,30:54,6,12,.500,0,4,.000,5,6,.833,2,5,7,1,1,1,1,2,17,14.1,+15
Cameron Johnson,26:10,4,11,.364,4,11,.364,0,0,,1,3,4,0,1,0,1,3,12,6.3,-3
Christian Braun,21:41,3,8,.375,1,3,.333,0,0,,2,0,2,0,0,1,0,1,7,4.3,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Tim Hardaway Jr.,28:20,5,12,.417,5,12,.417,6,7,.857,0,0,0,0,1,0,0,2,21,14.4,+25
Peyton Watson,20:58,2,10,.200,1,2,.500,2,3,.667,1,4,5,4,0,2,4,4,7,0.9,-2
Bruce Brown,15:12,3,5,.600,1,2,.500,0,0,,1,2,3,1,0,0,0,0,7,6.7,-5
Spencer Jones,13:39,0,1,.000,0,1,.000,0,0,,3,3,6,0,1,0,0,3,0,2.1,-8
Julian Strawther,5:08,0,2,.000,0,1,.000,0,0,,1,1,2,2,0,0,0,1,0,0.6,-4
DaRon Holmes,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Zeke Nnaji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Pickett,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jonas ValanÄiÅ«nas,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,95,.474,19,48,.396,26,32,.813,15,35,50,34,5,4,15,17,135,,
