Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Elijah Harkless,41:12,4,16,.250,2,9,.222,1,1,1.000,0,4,4,2,2,2,1,3,11,5.2,-9
Cody Williams,30:20,9,14,.643,0,0,,6,7,.857,0,0,0,7,2,0,1,3,24,22.1,-1
Ace Bailey,27:29,7,14,.500,1,7,.143,0,0,,1,6,7,1,0,0,2,5,15,7.2,-12
Brice Sensabaugh,25:29,4,8,.500,3,6,.500,2,2,1.000,0,4,4,6,2,0,3,2,13,12.6,+6
Kyle Filipowski,24:49,11,17,.647,1,6,.167,2,4,.500,0,8,8,5,0,0,1,3,25,20.4,+15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
John Konchar,30:13,8,10,.800,0,1,.000,0,0,,3,5,8,2,1,2,0,0,16,19.6,-4
Kennedy Chandler,29:26,7,10,.700,2,4,.500,0,2,.000,0,1,1,7,1,0,1,2,16,15.4,-10
Bez Mbeng,18:37,0,2,.000,0,0,,0,0,,1,1,2,1,2,0,0,4,0,0.7,-16
Oscar Tshiebwe,12:25,3,4,.750,0,0,,3,3,1.000,4,5,9,3,0,0,1,2,9,12.0,+1
Isaiah Collier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kevin Love,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Svi Mykhailiuk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,53,95,.558,9,33,.273,14,19,.737,9,34,43,34,10,4,10,24,129,,
