1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Utah,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Denver
12:00.0,Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession)
11:50.0,,,0-0,,C. Braun misses 2-pt dunk from 3 ft (block by E. Harkless)
11:48.0,Defensive rebound by K. Filipowski,,0-0,,
11:43.0,B. Sensabaugh misses 3-pt jump shot from 24 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by C. Johnson
11:33.0,,,0-0,,A. Gordon misses 2-pt jump shot from 11 ft (block by E. Harkless)
11:32.0,,,0-0,,Offensive rebound by A. Gordon
11:30.0,,,0-0,,C. Johnson misses 3-pt jump shot from 27 ft
11:26.0,Defensive rebound by E. Harkless,,0-0,,
11:18.0,A. Bailey makes 2-pt jump shot from 20 ft (assist by K. Filipowski),+2,2-0,,
11:03.0,,,2-0,,Shooting foul by A. Bailey (drawn by J. Murray)
11:03.0,,,2-1,+1,J. Murray makes free throw 1 of 2
11:03.0,,,2-2,+1,J. Murray makes free throw 2 of 2
10:51.0,K. Filipowski makes 2-pt jump shot from 8 ft,+2,4-2,,
10:37.0,,,4-2,,Turnover by N. JokiÄ (lost ball; steal by B. Sensabaugh)
10:33.0,K. Filipowski makes 2-pt dunk from 2 ft (assist by B. Sensabaugh),+2,6-2,,
10:21.0,,,6-2,,A. Gordon misses 2-pt layup from 2 ft
10:20.0,Defensive rebound by K. Filipowski,,6-2,,
10:16.0,C. Williams makes 2-pt dunk from 1 ft (assist by K. Filipowski),+2,8-2,,
10:16.0,,,8-2,,Denver full timeout
9:59.0,,,8-4,+2,J. Murray makes 2-pt jump shot from 14 ft
9:48.0,K. Filipowski misses 3-pt jump shot from 26 ft,,8-4,,
9:46.0,,,8-4,,Defensive rebound by J. Murray
9:29.0,,,8-6,+2,J. Murray makes 2-pt layup from 3 ft (assist by N. JokiÄ)
9:19.0,A. Bailey makes 2-pt dunk from 1 ft (assist by K. Filipowski),+2,10-6,,
9:03.0,,,10-6,,C. Johnson misses 3-pt jump shot from 23 ft
9:00.0,,,10-6,,Offensive rebound by C. Braun
8:57.0,,,10-6,,A. Gordon misses 3-pt jump shot from 25 ft
8:51.0,Defensive rebound by A. Bailey,,10-6,,
8:46.0,K. Filipowski makes 2-pt layup from 4 ft (assist by B. Sensabaugh),+2,12-6,,
8:38.0,,,12-6,,Shooting foul by B. Sensabaugh (drawn by N. JokiÄ)
8:38.0,,,12-7,+1,N. JokiÄ makes free throw 1 of 2
8:38.0,,,12-8,+1,N. JokiÄ makes free throw 2 of 2
8:18.0,K. Filipowski misses 3-pt jump shot from 23 ft,,12-8,,
8:14.0,,,12-8,,Defensive rebound by J. Murray
8:07.0,,,12-11,+3,C. Braun makes 3-pt jump shot from 23 ft (assist by N. JokiÄ)
7:57.0,C. Williams misses 2-pt layup from 3 ft,,12-11,,
7:56.0,,,12-11,,Defensive rebound by N. JokiÄ
7:52.0,,,12-11,,C. Braun misses 2-pt layup from 3 ft
7:47.0,Defensive rebound by B. Sensabaugh,,12-11,,
7:45.0,C. Williams makes 2-pt layup from 1 ft (assist by B. Sensabaugh),+2,14-11,,
7:31.0,,,14-13,+2,A. Gordon makes 2-pt layup from 1 ft (assist by N. JokiÄ)
7:22.0,K. Filipowski makes 2-pt layup from 3 ft (assist by C. Williams),+2,16-13,,
7:17.0,,,16-15,+2,C. Braun makes 2-pt layup from 1 ft (assist by J. Murray)
7:16.0,Utah full timeout,,16-15,,
7:16.0,,,16-15,,T. Hardaway enters the game for C. Johnson
7:05.0,A. Bailey misses 3-pt jump shot from 26 ft,,16-15,,
7:01.0,,,16-15,,Defensive rebound by N. JokiÄ
6:57.0,,,16-15,,Personal foul by A. Bailey (drawn by A. Gordon)
6:48.0,,,16-15,,J. Murray misses 2-pt jump shot from 18 ft
6:47.0,,,16-15,,Offensive rebound by C. Braun
6:47.0,,,16-15,,C. Braun misses 2-pt layup at rim
6:45.0,,,16-15,,Offensive rebound by N. JokiÄ
6:45.0,,,16-17,+2,N. JokiÄ makes 2-pt layup at rim
6:32.0,B. Sensabaugh makes 2-pt jump shot from 11 ft,+2,18-17,,
6:14.0,,,18-17,,C. Braun misses 3-pt jump shot from 25 ft
6:10.0,,,18-17,,Offensive rebound by A. Gordon
6:09.0,,,18-17,,T. Hardaway misses 3-pt jump shot from 26 ft
6:09.0,Defensive rebound by K. Filipowski,,18-17,,
6:01.0,C. Williams misses 2-pt layup from 3 ft,,18-17,,
6:01.0,,,18-17,,Defensive rebound by N. JokiÄ
5:51.0,,,18-17,,A. Gordon misses 3-pt jump shot from 25 ft
5:48.0,Defensive rebound by A. Bailey,,18-17,,
5:45.0,K. Filipowski misses 3-pt jump shot from 22 ft,,18-17,,
5:42.0,,,18-17,,Defensive rebound by J. Murray
5:32.0,,,18-19,+2,A. Gordon makes 2-pt layup from 2 ft (assist by J. Murray)
5:18.0,Turnover by B. Sensabaugh (bad pass; steal by T. Hardaway),,18-19,,
