style,tip
top:29px;left:268px;,"1st quarter, 11:50.0 remaining<br>Christian Braun missed 2-pointer from 3 ft<br>Denver tied 0-0"
top:141px;left:217px;,"1st quarter, 11:33.0 remaining<br>Aaron Gordon missed 2-pointer from 11 ft<br>Denver tied 0-0"
top:291px;left:155px;,"1st quarter, 11:30.0 remaining<br>Cameron Johnson missed 3-pointer from 27 ft<br>Denver tied 0-0"
top:49px;left:253px;,"1st quarter, 10:21.0 remaining<br>Aaron Gordon missed 2-pointer from 2 ft<br>Denver trails 2-6"
top:49px;left:383px;,"1st quarter, 9:59.0 remaining<br>Jamal Murray made 2-pointer from 14 ft<br>Denver now trails 4-8"
top:57px;left:238px;,"1st quarter, 9:29.0 remaining<br>Jamal Murray made 2-pointer from 3 ft<br>Denver now trails 6-8"
top:59px;left:464px;,"1st quarter, 9:03.0 remaining<br>Cameron Johnson missed 3-pointer from 23 ft<br>Denver trails 6-10"
top:263px;left:161px;,"1st quarter, 8:57.0 remaining<br>Aaron Gordon missed 3-pointer from 25 ft<br>Denver trails 6-10"
top:63px;left:469px;,"1st quarter, 8:07.0 remaining<br>Christian Braun made 3-pointer from 23 ft<br>Denver now trails 11-12"
top:62px;left:244px;,"1st quarter, 7:52.0 remaining<br>Christian Braun missed 2-pointer from 3 ft<br>Denver trails 11-12"
top:42px;left:235px;,"1st quarter, 7:31.0 remaining<br>Aaron Gordon made 2-pointer from 1 ft<br>Denver now trails 13-14"
top:23px;left:231px;,"1st quarter, 7:17.0 remaining<br>Christian Braun made 2-pointer from 1 ft<br>Denver now trails 15-16"
top:180px;left:140px;,"1st quarter, 6:48.0 remaining<br>Jamal Murray missed 2-pointer from 18 ft<br>Denver trails 15-16"
top:31px;left:240px;,"1st quarter, 6:47.0 remaining<br>Christian Braun missed 2-pointer from 0 ft<br>Denver trails 15-16"
top:31px;left:240px;,"1st quarter, 6:45.0 remaining<br>Nikola JokiÄ made 2-pointer from 0 ft<br>Denver now leads 17-16"
top:252px;left:365px;,"1st quarter, 6:14.0 remaining<br>Christian Braun missed 3-pointer from 25 ft<br>Denver trails 17-18"
top:190px;left:439px;,"1st quarter, 6:09.0 remaining<br>Tim Hardaway Jr. missed 3-pointer from 26 ft<br>Denver trails 17-18"
top:208px;left:69px;,"1st quarter, 5:51.0 remaining<br>Aaron Gordon missed 3-pointer from 25 ft<br>Denver trails 17-18"
top:38px;left:219px;,"1st quarter, 5:32.0 remaining<br>Aaron Gordon made 2-pointer from 2 ft<br>Denver now leads 19-18"
top:42px;left:237px;,"1st quarter, 5:14.0 remaining<br>Christian Braun made 2-pointer from 1 ft<br>Denver now leads 21-18"
