style,tip
top:189px;left:426px;,"1st quarter, 11:43.0 remaining<br>Brice Sensabaugh missed 3-pointer from 24 ft<br>Utah tied 0-0"
top:210px;left:315px;,"1st quarter, 11:18.0 remaining<br>Ace Bailey made 2-pointer from 20 ft<br>Utah now leads 2-0"
top:108px;left:253px;,"1st quarter, 10:51.0 remaining<br>Kyle Filipowski made 2-pointer from 8 ft<br>Utah now leads 4-2"
top:47px;left:248px;,"1st quarter, 10:33.0 remaining<br>Kyle Filipowski made 2-pointer from 2 ft<br>Utah now leads 6-2"
top:37px;left:239px;,"1st quarter, 10:16.0 remaining<br>Cody Williams made 2-pointer from 1 ft<br>Utah now leads 8-2"
top:282px;left:307px;,"1st quarter, 9:48.0 remaining<br>Kyle Filipowski missed 3-pointer from 26 ft<br>Utah leads 8-4"
top:41px;left:232px;,"1st quarter, 9:19.0 remaining<br>Ace Bailey made 2-pointer from 1 ft<br>Utah now leads 10-6"
top:46px;left:207px;,"1st quarter, 8:46.0 remaining<br>Kyle Filipowski made 2-pointer from 4 ft<br>Utah now leads 12-6"
top:47px;left:7px;,"1st quarter, 8:18.0 remaining<br>Kyle Filipowski missed 3-pointer from 23 ft<br>Utah leads 12-8"
top:48px;left:259px;,"1st quarter, 7:57.0 remaining<br>Cody Williams missed 2-pointer from 3 ft<br>Utah leads 12-11"
top:38px;left:228px;,"1st quarter, 7:45.0 remaining<br>Cody Williams made 2-pointer from 1 ft<br>Utah now leads 14-11"
top:31px;left:208px;,"1st quarter, 7:22.0 remaining<br>Kyle Filipowski made 2-pointer from 3 ft<br>Utah now leads 16-13"
top:283px;left:292px;,"1st quarter, 7:05.0 remaining<br>Ace Bailey missed 3-pointer from 26 ft<br>Utah leads 16-15"
top:128px;left:197px;,"1st quarter, 6:32.0 remaining<br>Brice Sensabaugh made 2-pointer from 11 ft<br>Utah now leads 18-17"
top:32px;left:215px;,"1st quarter, 6:01.0 remaining<br>Cody Williams missed 2-pointer from 3 ft<br>Utah leads 18-17"
top:52px;left:463px;,"1st quarter, 5:45.0 remaining<br>Kyle Filipowski missed 3-pointer from 22 ft<br>Utah leads 18-17"
top:285px;left:343px;,"1st quarter, 4:54.0 remaining<br>Brice Sensabaugh missed 3-pointer from 28 ft<br>Utah trails 18-21"
top:32px;left:252px;,"1st quarter, 4:05.0 remaining<br>Oscar Tshiebwe missed 2-pointer from 1 ft<br>Utah trails 20-24"
top:124px;left:304px;,"1st quarter, 3:33.0 remaining<br>Brice Sensabaugh missed 2-pointer from 11 ft<br>Utah trails 20-26"
top:46px;left:258px;,"1st quarter, 2:58.0 remaining<br>Oscar Tshiebwe made 2-pointer from 2 ft<br>Utah now trails 22-26"
top:287px;left:265px;,"1st quarter, 2:23.0 remaining<br>Elijah Harkless missed 3-pointer from 26 ft<br>Utah trails 22-28"
top:31px;left:222px;,"1st quarter, 2:09.0 remaining<br>Oscar Tshiebwe made 2-pointer from 2 ft<br>Utah now trails 24-28"
top:33px;left:10px;,"1st quarter, 1:35.0 remaining<br>Elijah Harkless missed 3-pointer from 23 ft<br>Utah trails 24-30"
top:137px;left:353px;,"1st quarter, 1:12.0 remaining<br>Cody Williams missed 2-pointer from 16 ft<br>Utah trails 24-33"
top:42px;left:224px;,"2nd quarter, 11:46.0 remaining<br>John Konchar made 2-pointer from 2 ft<br>Utah now trails 28-37"
top:70px;left:224px;,"2nd quarter, 11:06.0 remaining<br>Elijah Harkless missed 2-pointer from 4 ft<br>Utah trails 28-37"
top:126px;left:252px;,"2nd quarter, 10:36.0 remaining<br>John Konchar made 2-pointer from 10 ft<br>Utah now trails 30-37"
top:113px;left:254px;,"2nd quarter, 10:04.0 remaining<br>Kyle Filipowski missed 2-pointer from 8 ft<br>Utah trails 30-40"
top:38px;left:237px;,"2nd quarter, 9:56.0 remaining<br>John Konchar made 2-pointer from 1 ft<br>Utah now trails 32-40"
top:41px;left:259px;,"2nd quarter, 9:34.0 remaining<br>Elijah Harkless missed 2-pointer from 2 ft<br>Utah trails 32-40"
top:113px;left:249px;,"2nd quarter, 9:24.0 remaining<br>John Konchar made 2-pointer from 8 ft<br>Utah now trails 34-40"
top:51px;left:231px;,"2nd quarter, 8:42.0 remaining<br>Kyle Filipowski made 2-pointer from 2 ft<br>Utah now trails 36-43"
top:44px;left:211px;,"2nd quarter, 7:40.0 remaining<br>John Konchar missed 2-pointer from 3 ft<br>Utah trails 36-43"
