Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Gui Santos,33:21,.846,.792,.417,.750,6.9,7.4,7.1,17.7,0.0,0.0,5.9,22.1,168,128,5.1
Brandin Podziemski,33:18,.666,.577,.615,.615,3.4,33.3,17.8,28.5,2.8,0.0,15.4,25.4,130,119,3.4
Draymond Green,32:11,.615,.625,.750,.500,0.0,15.3,7.4,36.4,1.5,5.6,38.1,10.6,122,118,1.8
Kristaps PorziÅÄ£is,28:49,.697,.676,.647,.412,7.9,25.6,16.5,17.2,0.0,0.0,0.0,30.2,146,126,7.1
Will Richard,24:31,.800,.800,.800,.000,9.3,0.0,4.8,10.3,0.0,0.0,0.0,8.8,174,129,-1.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
LJ Cryer,27:18,.462,.462,.769,.000,0.0,9.0,4.3,9.5,0.0,0.0,0.0,20.7,101,128,-10.1
Gary Payton II,24:55,.609,.636,.091,.273,4.6,19.8,11.9,12.6,1.9,3.6,14.0,24.9,108,119,-6.1
Pat Spencer,24:53,.658,.611,.222,.222,4.6,19.8,11.9,11.2,1.9,0.0,16.8,20.7,116,122,-6.1
Omer Yurtseven,7:49,,,,,0.0,47.2,22.7,0.0,0.0,0.0,100.0,5.6,0,123,-15.9
Malevy Leons,2:56,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0,129,-26.1
Team Totals,240,.664,.629,.518,.365,21.4,87.2,53.1,72.7,4.9,5.7,10.8,100.0,128.5,123.6,
