Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Leaky Black,42:01,.222,.222,.333,.000,5.9,16.3,11.3,9.6,1.1,0.0,0.0,9.3,86,129,-9.8
Bub Carrington,25:48,.800,.800,.500,.000,0.0,8.9,4.6,24.0,0.0,0.0,23.1,21.9,124,134,-0.1
Alex Sarr,22:32,.368,.350,.400,.200,10.9,35.5,23.7,14.7,0.0,5.2,8.4,22.9,92,125,-11.9
Tre Johnson,22:09,.500,.500,.455,.000,0.0,5.2,2.7,0.0,0.0,0.0,8.3,23.6,86,134,-14.9
Bilal Coulibaly,19:04,.622,.625,.563,.125,6.5,30.0,18.6,16.9,0.0,6.1,0.0,38.5,124,126,8.4
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Will Riley,29:11,.826,.792,.417,.250,0.0,19.6,10.2,22.3,3.2,0.0,7.0,21.3,157,123,8.7
Justin Champagnie,25:20,.375,.375,.500,.000,0.0,9.0,4.7,12.8,0.0,0.0,20.0,17.2,75,133,-14.5
Anthony Gill,24:59,.778,.778,.111,.000,0.0,4.6,2.4,15.8,3.8,4.7,10.0,17.4,142,123,5.8
Jaden Hardy,12:00,1.190,1.200,1.000,.400,0.0,0.0,0.0,0.0,0.0,0.0,14.5,24.9,171,135,14.4
Sharife Cooper,10:48,.788,.750,.000,.250,0.0,10.6,5.5,48.5,0.0,0.0,18.4,21.9,148,133,4.0
Jamir Watkins,6:08,1.500,1.500,1.000,.000,0.0,55.9,29.0,0.0,0.0,0.0,0.0,7.1,300,124,9.1
Tristan Vukcevic,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.634,.621,.442,.105,12.8,78.6,46.9,58.0,4.9,7.3,10.0,100.0,123.6,128.5,
