Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Gui Santos,33:21,8,12,.667,3,5,.600,8,9,.889,2,2,4,4,0,0,1,2,27,24.4,+5
Brandin Podziemski,33:18,6,13,.462,3,8,.375,7,8,.875,1,9,10,7,2,0,3,1,22,21.8,+7
Draymond Green,32:11,2,4,.500,1,3,.333,1,2,.500,0,4,4,10,1,2,3,2,6,10.4,+4
Kristaps PorziÅÄ£is,28:49,9,17,.529,5,11,.455,5,7,.714,2,6,8,3,0,0,0,0,28,24.2,+5
Will Richard,24:31,3,5,.600,2,4,.500,0,0,,2,0,2,2,0,0,0,1,8,8.1,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
LJ Cryer,27:18,4,13,.308,4,10,.400,0,0,,0,2,2,2,0,0,0,1,12,6.1,+11
Gary Payton II,24:55,7,11,.636,0,1,.000,1,3,.333,1,4,5,2,1,1,2,3,15,11.1,+4
Pat Spencer,24:53,5,9,.556,1,2,.500,2,2,1.000,1,4,5,2,1,0,2,2,13,10.2,+3
Omer Yurtseven,7:49,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,2,0,-0.9,-4
Malevy Leons,2:56,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
Team Totals,240,44,85,.518,19,44,.432,24,31,.774,9,34,43,32,5,3,12,14,131,,
