Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Leaky Black,42:01,2,9,.222,0,3,.000,0,0,,2,6,8,4,1,0,0,3,4,4.3,-8
Bub Carrington,25:48,6,10,.600,4,5,.800,0,0,,0,2,2,5,0,0,3,2,16,11.7,-5
Alex Sarr,22:32,3,10,.300,1,4,.250,1,2,.500,2,7,9,3,0,1,1,6,8,4.7,-8
Tre Johnson,22:09,5,11,.455,1,5,.200,0,0,,0,1,1,0,0,0,1,2,11,3.8,-11
Bilal Coulibaly,19:04,8,16,.500,4,9,.444,1,2,.500,1,5,6,2,0,1,0,0,21,16.9,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Will Riley,29:11,8,12,.667,3,5,.600,3,3,1.000,0,5,5,5,2,0,1,4,22,21.2,+6
Justin Champagnie,25:20,3,8,.375,0,4,.000,0,0,,0,2,2,3,0,0,2,3,6,1.1,+6
Anthony Gill,24:59,7,9,.778,0,1,.000,0,0,,0,1,1,3,2,1,1,0,14,14.6,0
Jaden Hardy,12:00,4,5,.800,4,5,.800,2,2,1.000,0,0,0,0,0,0,1,2,14,10.3,-7
Sharife Cooper,10:48,3,4,.750,0,0,,1,1,1.000,0,1,1,4,0,0,1,1,7,7.1,+8
Jamir Watkins,6:08,1,1,1.000,1,1,1.000,0,0,,0,3,3,0,0,0,0,0,3,3.6,+1
Tristan Vukcevic,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,50,95,.526,18,42,.429,8,10,.800,5,33,38,29,5,3,11,23,126,,
