style,tip
top:260px;left:381px;,"1st quarter, 11:27.0 remaining<br>Kristaps PorziÅÄ£is made 3-pointer from 27 ft<br>Golden State now leads 3-2"
top:27px;left:238px;,"1st quarter, 11:04.0 remaining<br>Kristaps PorziÅÄ£is made 2-pointer from 0 ft<br>Golden State now leads 5-2"
top:237px;left:426px;,"1st quarter, 10:42.0 remaining<br>Kristaps PorziÅÄ£is missed 3-pointer from 28 ft<br>Golden State leads 5-2"
top:58px;left:240px;,"1st quarter, 10:07.0 remaining<br>Kristaps PorziÅÄ£is missed 2-pointer from 3 ft<br>Golden State leads 5-4"
top:312px;left:238px;,"1st quarter, 10:03.0 remaining<br>Kristaps PorziÅÄ£is made 3-pointer from 28 ft<br>Golden State now leads 8-4"
top:293px;left:232px;,"1st quarter, 9:37.0 remaining<br>Brandin Podziemski missed 3-pointer from 26 ft<br>Golden State leads 8-4"
top:139px;left:471px;,"1st quarter, 9:22.0 remaining<br>Will Richard missed 3-pointer from 26 ft<br>Golden State leads 8-4"
top:158px;left:20px;,"1st quarter, 9:17.0 remaining<br>Kristaps PorziÅÄ£is made 3-pointer from 25 ft<br>Golden State now leads 11-4"
top:119px;left:140px;,"1st quarter, 8:51.0 remaining<br>Brandin Podziemski made 2-pointer from 13 ft<br>Golden State now leads 13-4"
top:55px;left:232px;,"1st quarter, 8:30.0 remaining<br>Brandin Podziemski missed 2-pointer from 3 ft<br>Golden State leads 13-4"
top:263px;left:390px;,"1st quarter, 8:14.0 remaining<br>LJ Cryer missed 3-pointer from 28 ft<br>Golden State leads 13-4"
top:135px;left:263px;,"1st quarter, 7:53.0 remaining<br>Brandin Podziemski missed 2-pointer from 11 ft<br>Golden State leads 13-4"
top:91px;left:133px;,"1st quarter, 7:42.0 remaining<br>Kristaps PorziÅÄ£is missed 2-pointer from 12 ft<br>Golden State leads 13-4"
top:208px;left:35px;,"1st quarter, 7:38.0 remaining<br>Brandin Podziemski missed 3-pointer from 27 ft<br>Golden State leads 13-4"
top:49px;left:226px;,"1st quarter, 7:22.0 remaining<br>Will Richard made 2-pointer from 2 ft<br>Golden State now leads 15-4"
top:323px;left:218px;,"1st quarter, 6:40.0 remaining<br>Kristaps PorziÅÄ£is missed 3-pointer from 29 ft<br>Golden State leads 15-6"
top:50px;left:12px;,"1st quarter, 6:06.0 remaining<br>Pat Spencer made 3-pointer from 23 ft<br>Golden State now leads 18-6"
top:29px;left:240px;,"1st quarter, 5:23.0 remaining<br>Pat Spencer missed 2-pointer from 0 ft<br>Golden State leads 18-6"
top:273px;left:342px;,"1st quarter, 5:01.0 remaining<br>LJ Cryer made 3-pointer from 26 ft<br>Golden State now leads 21-7"
top:50px;left:262px;,"1st quarter, 4:14.0 remaining<br>Gary Payton II missed 2-pointer from 3 ft<br>Golden State leads 22-8"
top:129px;left:252px;,"1st quarter, 3:54.0 remaining<br>Pat Spencer made 2-pointer from 10 ft<br>Golden State now leads 24-11"
top:37px;left:231px;,"1st quarter, 3:21.0 remaining<br>Gary Payton II made 2-pointer from 1 ft<br>Golden State now leads 26-13"
top:45px;left:254px;,"1st quarter, 2:44.0 remaining<br>Gui Santos made 2-pointer from 2 ft<br>Golden State now leads 28-15"
top:263px;left:119px;,"1st quarter, 2:15.0 remaining<br>Brandin Podziemski missed 3-pointer from 26 ft<br>Golden State leads 28-17"
top:227px;left:418px;,"1st quarter, 1:51.0 remaining<br>Gui Santos made 3-pointer from 26 ft<br>Golden State now leads 31-17"
top:47px;left:231px;,"1st quarter, 1:19.0 remaining<br>Pat Spencer made 2-pointer from 2 ft<br>Golden State now leads 33-19"
top:70px;left:473px;,"1st quarter, 0:44.0 remaining<br>Will Richard made 3-pointer from 24 ft<br>Golden State now leads 36-22"
top:283px;left:139px;,"1st quarter, 0:03.0 remaining<br>LJ Cryer missed 3-pointer from 27 ft<br>Golden State leads 38-25"
top:35px;left:241px;,"2nd quarter, 11:09.0 remaining<br>Gary Payton II missed 2-pointer from 1 ft<br>Golden State leads 38-28"
top:175px;left:238px;,"2nd quarter, 10:38.0 remaining<br>Pat Spencer made 2-pointer from 15 ft<br>Golden State now leads 40-30"
top:29px;left:327px;,"2nd quarter, 10:10.0 remaining<br>Pat Spencer missed 2-pointer from 9 ft<br>Golden State leads 40-32"
top:37px;left:228px;,"2nd quarter, 10:09.0 remaining<br>Gui Santos made 2-pointer from 1 ft<br>Golden State now leads 42-32"
top:45px;left:230px;,"2nd quarter, 9:35.0 remaining<br>Gui Santos made 2-pointer from 2 ft<br>Golden State now leads 44-34"
top:49px;left:226px;,"2nd quarter, 8:59.0 remaining<br>Gary Payton II made 2-pointer from 2 ft<br>Golden State now leads 46-36"
top:248px;left:394px;,"2nd quarter, 7:59.0 remaining<br>LJ Cryer missed 3-pointer from 27 ft<br>Golden State leads 46-40"
top:224px;left:421px;,"2nd quarter, 7:32.0 remaining<br>Gui Santos made 3-pointer from 27 ft<br>Golden State now leads 49-40"
