style,tip
top:161px;left:348px;,"1st quarter, 11:43.0 remaining<br>Bub Carrington made 2-pointer from 17 ft<br>Washington now leads 2-0"
top:116px;left:286px;,"1st quarter, 10:52.0 remaining<br>Tre Johnson missed 2-pointer from 10 ft<br>Washington trails 2-5"
top:88px;left:273px;,"1st quarter, 10:34.0 remaining<br>Bub Carrington missed 2-pointer from 7 ft<br>Washington trails 2-5"
top:85px;left:343px;,"1st quarter, 10:26.0 remaining<br>Alex Sarr made 2-pointer from 12 ft<br>Washington now trails 4-5"
top:269px;left:370px;,"1st quarter, 9:46.0 remaining<br>Alex Sarr missed 3-pointer from 27 ft<br>Washington trails 4-8"
top:56px;left:229px;,"1st quarter, 9:27.0 remaining<br>Bilal Coulibaly missed 2-pointer from 3 ft<br>Washington trails 4-8"
top:154px;left:247px;,"1st quarter, 9:05.0 remaining<br>Tre Johnson missed 2-pointer from 12 ft<br>Washington trails 4-11"
top:293px;left:282px;,"1st quarter, 8:41.0 remaining<br>Bilal Coulibaly missed 3-pointer from 27 ft<br>Washington trails 4-13"
top:199px;left:51px;,"1st quarter, 8:04.0 remaining<br>Bilal Coulibaly missed 3-pointer from 25 ft<br>Washington trails 4-13"
top:233px;left:67px;,"1st quarter, 7:31.0 remaining<br>Alex Sarr missed 3-pointer from 27 ft<br>Washington trails 4-13"
top:241px;left:62px;,"1st quarter, 7:11.0 remaining<br>Tre Johnson missed 3-pointer from 28 ft<br>Washington trails 4-15"
top:126px;left:253px;,"1st quarter, 7:03.0 remaining<br>Tre Johnson made 2-pointer from 10 ft<br>Washington now trails 6-15"
top:262px;left:374px;,"1st quarter, 6:27.0 remaining<br>Bilal Coulibaly missed 3-pointer from 27 ft<br>Washington trails 6-15"
top:110px;left:60px;,"1st quarter, 5:42.0 remaining<br>Bilal Coulibaly missed 2-pointer from 20 ft<br>Washington trails 6-18"
top:48px;left:10px;,"1st quarter, 4:51.0 remaining<br>Leaky Black missed 3-pointer from 23 ft<br>Washington trails 7-21"
top:198px;left:22px;,"1st quarter, 4:08.0 remaining<br>Bub Carrington made 3-pointer from 27 ft<br>Washington now trails 11-22"
top:38px;left:232px;,"1st quarter, 3:39.0 remaining<br>Alex Sarr made 2-pointer from 1 ft<br>Washington now trails 13-24"
top:47px;left:228px;,"1st quarter, 3:07.0 remaining<br>Anthony Gill made 2-pointer from 2 ft<br>Washington now trails 15-26"
top:47px;left:249px;,"1st quarter, 2:26.0 remaining<br>Anthony Gill made 2-pointer from 2 ft<br>Washington now trails 17-28"
top:313px;left:233px;,"1st quarter, 2:05.0 remaining<br>Justin Champagnie missed 3-pointer from 28 ft<br>Washington trails 17-28"
top:30px;left:212px;,"1st quarter, 1:33.0 remaining<br>Bub Carrington made 2-pointer from 3 ft<br>Washington now trails 19-31"
top:273px;left:103px;,"1st quarter, 1:07.0 remaining<br>Bub Carrington made 3-pointer from 28 ft<br>Washington now trails 22-33"
top:194px;left:367px;,"1st quarter, 0:37.0 remaining<br>Bub Carrington missed 2-pointer from 21 ft<br>Washington trails 22-36"
top:47px;left:222px;,"1st quarter, 0:11.0 remaining<br>Sharife Cooper made 2-pointer from 2 ft<br>Washington now trails 24-38"
top:263px;left:405px;,"2nd quarter, 11:21.0 remaining<br>Jamir Watkins made 3-pointer from 29 ft<br>Washington now trails 28-38"
top:52px;left:237px;,"2nd quarter, 11:01.0 remaining<br>Justin Champagnie made 2-pointer from 2 ft<br>Washington now trails 30-38"
top:49px;left:224px;,"2nd quarter, 10:26.0 remaining<br>Justin Champagnie made 2-pointer from 2 ft<br>Washington now trails 32-40"
top:33px;left:240px;,"2nd quarter, 9:50.0 remaining<br>Will Riley made 2-pointer from 0 ft<br>Washington now trails 34-42"
top:74px;left:289px;,"2nd quarter, 9:20.0 remaining<br>Leaky Black missed 2-pointer from 7 ft<br>Washington trails 34-44"
top:41px;left:248px;,"2nd quarter, 9:07.0 remaining<br>Will Riley made 2-pointer from 1 ft<br>Washington now trails 36-44"
top:35px;left:223px;,"2nd quarter, 8:42.0 remaining<br>Anthony Gill made 2-pointer from 2 ft<br>Washington now trails 38-46"
top:46px;left:222px;,"2nd quarter, 8:21.0 remaining<br>Leaky Black made 2-pointer from 2 ft<br>Washington now trails 40-46"
top:228px;left:44px;,"2nd quarter, 7:43.0 remaining<br>Justin Champagnie missed 3-pointer from 28 ft<br>Washington trails 40-46"
top:268px;left:359px;,"2nd quarter, 7:15.0 remaining<br>Alex Sarr missed 3-pointer from 27 ft<br>Washington trails 40-49"
top:52px;left:0px;,"2nd quarter, 6:22.0 remaining<br>Leaky Black missed 3-pointer from 24 ft<br>Washington trails 40-52"
top:217px;left:54px;,"2nd quarter, 5:58.0 remaining<br>Will Riley missed 3-pointer from 26 ft<br>Washington trails 40-52"
top:61px;left:7px;,"2nd quarter, 5:33.0 remaining<br>Will Riley made 3-pointer from 23 ft<br>Washington now trails 43-52"
top:292px;left:317px;,"2nd quarter, 5:03.0 remaining<br>Alex Sarr made 3-pointer from 27 ft<br>Washington now trails 46-54"
top:128px;left:200px;,"2nd quarter, 4:32.0 remaining<br>Bilal Coulibaly made 2-pointer from 11 ft<br>Washington now trails 48-57"
top:107px;left:292px;,"2nd quarter, 4:05.0 remaining<br>Bilal Coulibaly made 2-pointer from 9 ft<br>Washington now trails 50-60"
top:49px;left:253px;,"2nd quarter, 3:36.0 remaining<br>Alex Sarr missed 2-pointer from 2 ft<br>Washington trails 50-62"
top:133px;left:195px;,"2nd quarter, 3:11.0 remaining<br>Tre Johnson made 2-pointer from 11 ft<br>Washington now trails 52-65"
top:49px;left:161px;,"2nd quarter, 2:13.0 remaining<br>Tre Johnson made 2-pointer from 8 ft<br>Washington now trails 54-67"
top:308px;left:340px;,"2nd quarter, 1:25.0 remaining<br>Tre Johnson missed 3-pointer from 30 ft<br>Washington trails 54-69"
top:292px;left:164px;,"2nd quarter, 1:20.0 remaining<br>Bilal Coulibaly made 3-pointer from 27 ft<br>Washington now trails 57-69"
top:235px;left:54px;,"2nd quarter, 0:46.0 remaining<br>Tre Johnson missed 3-pointer from 28 ft<br>Washington trails 57-69"
top:83px;left:258px;,"2nd quarter, 0:41.0 remaining<br>Alex Sarr missed 2-pointer from 6 ft<br>Washington trails 57-69"
top:283px;left:252px;,"2nd quarter, 0:21.0 remaining<br>Bilal Coulibaly made 3-pointer from 25 ft<br>Washington now trails 60-70"
top:317px;left:338px;,"2nd quarter, 0:02.0 remaining<br>Bilal Coulibaly missed 3-pointer from 30 ft<br>Washington trails 60-72"
top:80px;left:207px;,"3rd quarter, 11:14.0 remaining<br>Bilal Coulibaly made 2-pointer from 6 ft<br>Washington now trails 62-73"
top:194px;left:37px;,"3rd quarter, 10:55.0 remaining<br>Bilal Coulibaly made 3-pointer from 26 ft<br>Washington now trails 65-73"
top:278px;left:134px;,"3rd quarter, 10:31.0 remaining<br>Leaky Black missed 3-pointer from 27 ft<br>Washington trails 65-76"
top:40px;left:253px;,"3rd quarter, 10:00.0 remaining<br>Bilal Coulibaly made 2-pointer from 2 ft<br>Washington now trails 67-76"
top:224px;left:58px;,"3rd quarter, 9:37.0 remaining<br>Bilal Coulibaly made 3-pointer from 27 ft<br>Washington now trails 70-76"
