Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Aaron Nesmith,35:24,.874,.857,.357,.143,3.4,16.0,10.4,9.2,1.3,0.0,25.2,23.7,116,113,4.2
Pascal Siakam,32:44,.310,.250,.188,.250,0.0,17.3,9.7,11.8,1.5,0.0,22.0,29.4,60,112,-17.9
Andrew Nembhard,32:14,.454,.385,.538,.231,3.7,0.0,1.6,40.2,1.5,2.4,12.3,21.4,115,118,-1.2
Jay Huff,20:19,.307,.375,.750,.500,0.0,13.9,7.8,23.3,0.0,3.8,29.1,14.3,73,115,-3.1
Jarace Walker,4:23,.833,.833,.333,.000,0.0,21.5,12.0,51.9,0.0,0.0,0.0,28.9,161,114,26.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kobe Brown,26:49,.619,.563,.500,.250,8.9,7.0,7.9,15.0,3.6,2.9,10.1,15.6,131,110,6.4
Obi Toppin,22:54,.909,.909,.636,.000,15.7,20.5,18.4,32.0,0.0,0.0,8.3,22.1,163,114,18.4
Ben Sheppard,18:34,.333,.333,.667,.000,0.0,15.2,8.5,0.0,0.0,0.0,25.0,9.1,49,116,-13.3
Micah Potter,15:55,.732,.750,.375,.250,15.1,29.6,23.2,0.0,0.0,4.9,10.1,26.2,126,107,7.2
T.J. McConnell,13:28,1.000,1.000,.000,.000,0.0,21.0,11.8,27.1,0.0,0.0,0.0,3.1,222,114,-0.4
Quenton Jackson,13:08,.700,.700,.200,.000,9.1,7.2,8.0,34.2,0.0,0.0,28.6,22.5,112,120,1.2
Jalen Slawson,4:08,.000,.000,.000,.000,0.0,0.0,0.0,27.0,11.5,0.0,0.0,10.2,65,97,6.3
Kam Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Taelon Peter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ethan Thompson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.604,.586,.414,.172,25.0,68.6,49.5,79.1,6.0,6.5,17.6,100.0,112.1,113.1,
