Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Darius Garland,34:33,.723,.684,.579,.211,0.0,0.0,0.0,25.6,0.0,0.0,16.2,28.7,129,122,6.1
Kawhi Leonard,34:32,.521,.519,.231,.077,5.5,20.8,12.2,24.2,4.1,0.0,0.0,31.2,122,108,9.1
Brook Lopez,33:14,.699,.682,.545,.091,5.7,25.3,14.3,17.9,0.0,5.7,8.0,15.0,146,113,7.5
Derrick Jones Jr.,25:47,.286,.286,.143,.000,7.3,4.7,6.1,15.0,1.8,3.7,12.5,12.4,86,114,-6.6
John Collins,19:52,.417,.417,.167,.000,14.2,18.1,15.9,6.7,4.8,0.0,0.0,12.1,121,107,0.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bennedict Mathurin,29:15,.582,.313,.375,1.875,6.4,20.5,12.6,4.4,1.6,0.0,12.0,22.7,121,114,-0.6
Kris Dunn,20:37,.167,.167,.333,.000,4.6,11.6,7.7,6.0,4.6,0.0,0.0,11.7,62,109,-7.7
Nicolas Batum,14:29,.300,.300,.800,.000,0.0,41.4,18.2,0.0,6.6,0.0,0.0,13.8,72,98,-1.0
Isaiah Jackson,14:27,.694,1.000,.000,1.000,19.5,8.3,14.6,0.0,0.0,0.0,41.0,13.5,90,120,-13.3
Jordan Miller,13:14,.342,.333,.000,.500,7.1,0.0,4.0,10.7,3.6,7.1,12.0,25.2,78,109,-7.0
Bogdan BogdanoviÄ,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Cam Christie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Sean Pedulla,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kobe Sanders,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.528,.495,.354,.281,31.4,75.0,50.5,48.8,11.9,7.8,10.0,100.0,113.1,112.1,
