Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Aaron Nesmith,35:24,10,14,.714,4,5,.800,2,2,1.000,1,6,7,2,1,0,5,5,26,18.1,-11
Pascal Siakam,32:44,4,16,.250,0,3,.000,3,4,.750,0,6,6,3,1,0,5,3,11,-0.3,-6
Andrew Nembhard,32:14,4,13,.308,2,7,.286,3,3,1.000,1,0,1,10,1,1,2,5,13,10.9,+8
Jay Huff,20:19,1,4,.250,1,3,.333,0,2,.000,0,3,3,4,0,1,2,1,3,1.8,-6
Jarace Walker,4:23,2,3,.667,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,5,4.7,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Kobe Brown,26:49,4,8,.500,1,4,.250,2,2,1.000,2,2,4,3,2,1,1,1,11,12.4,+5
Obi Toppin,22:54,8,11,.727,4,7,.571,0,0,,3,5,8,4,0,0,1,3,20,19.7,+6
Ben Sheppard,18:34,1,3,.333,0,2,.000,0,0,,0,3,3,0,0,0,1,3,2,-1.0,-13
Micah Potter,15:55,5,8,.625,2,3,.667,1,2,.500,2,5,7,0,0,1,1,2,13,10.8,+6
T.J. McConnell,13:28,1,1,1.000,0,0,,0,0,,0,3,3,3,0,0,0,0,2,4.7,-2
Quenton Jackson,13:08,3,5,.600,1,1,1.000,0,0,,1,1,2,3,0,0,2,1,7,5.4,+4
Jalen Slawson,4:08,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,0,0,1.0,-2
Kam Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Taelon Peter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ethan Thompson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,87,.494,16,36,.444,11,15,.733,10,35,45,34,6,4,20,24,113,,
