Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Darius Garland,34:33,10,19,.526,6,11,.545,4,4,1.000,0,0,0,5,0,0,4,1,30,19.8,+2
Kawhi Leonard,34:32,13,26,.500,1,6,.167,1,2,.500,2,6,8,4,3,0,0,2,28,22.8,+17
Brook Lopez,33:14,6,11,.545,3,6,.500,1,1,1.000,2,7,9,4,0,2,1,3,16,16.2,+10
Derrick Jones Jr.,25:47,2,7,.286,0,1,.000,0,0,,2,1,3,3,1,1,1,4,4,2.8,-5
John Collins,19:52,2,6,.333,1,1,1.000,0,0,,3,3,6,1,2,0,0,2,5,6.5,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Bennedict Mathurin,29:15,2,8,.250,1,3,.333,12,15,.800,2,5,7,1,1,0,2,1,17,13.2,+2
Kris Dunn,20:37,1,6,.167,0,2,.000,0,0,,1,2,3,1,2,0,0,1,2,1.8,-3
Nicolas Batum,14:29,1,5,.200,1,4,.250,0,0,,0,5,5,0,2,0,0,0,3,3.4,-3
Isaiah Jackson,14:27,2,2,1.000,0,0,,0,2,.000,3,1,4,0,0,0,2,3,4,1.8,-6
Jordan Miller,13:14,2,6,.333,0,0,,1,3,.333,1,0,1,1,1,1,1,2,5,2.1,-2
Bogdan BogdanoviÄ,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Cam Christie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Sean Pedulla,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kobe Sanders,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,96,.427,13,34,.382,19,27,.704,16,30,46,20,12,4,12,19,114,,
