1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,LA Clippers,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Indiana
12:00.0,Jump ball: B. Lopez vs. J. Huff (D. Jones gains possession),Jump ball: B. Lopez vs. J. Huff (D. Jones gains possession),Jump ball: B. Lopez vs. J. Huff (D. Jones gains possession),Jump ball: B. Lopez vs. J. Huff (D. Jones gains possession),Jump ball: B. Lopez vs. J. Huff (D. Jones gains possession)
11:39.0,B. Lopez misses 2-pt jump shot from 3 ft,,0-0,,
11:36.0,Offensive rebound by D. Jones,,0-0,,
11:36.0,D. Jones misses 2-pt layup at rim,,0-0,,
11:36.0,Offensive rebound by J. Collins,,0-0,,
11:32.0,D. Garland makes 3-pt jump shot from 25 ft (assist by J. Collins),+3,3-0,,
11:14.0,,,3-3,+3,A. Nembhard makes 3-pt jump shot from 28 ft (assist by J. Huff)
10:57.0,J. Collins makes 2-pt jump shot from 17 ft (assist by D. Jones),+2,5-3,,
10:49.0,,,5-3,,Personal foul by K. Leonard (drawn by A. Nesmith)
10:39.0,,,5-3,,A. Nembhard misses 3-pt jump shot from 32 ft
10:36.0,Defensive rebound by J. Collins,,5-3,,
10:26.0,K. Leonard misses 2-pt jump shot from 4 ft,,5-3,,
10:25.0,,,5-3,,Defensive rebound by A. Nesmith
10:18.0,,,5-5,+2,A. Nesmith makes 2-pt jump shot from 16 ft (assist by A. Nembhard)
10:03.0,D. Jones misses 2-pt layup from 3 ft,,5-5,,
10:01.0,Offensive rebound by D. Jones,,5-5,,
9:55.0,D. Garland makes 3-pt jump shot from 30 ft (assist by B. Lopez),+3,8-5,,
9:42.0,,,8-5,,P. Siakam misses 2-pt layup from 1 ft
9:41.0,Defensive rebound by B. Lopez,,8-5,,
9:30.0,D. Garland misses 3-pt jump shot from 29 ft,,8-5,,
9:26.0,,,8-5,,Defensive rebound by J. Huff
9:21.0,,,8-5,,A. Nembhard misses 2-pt layup from 1 ft (block by D. Jones)
9:21.0,,,8-5,,Offensive rebound by Team
9:19.0,,,8-8,+3,A. Nesmith makes 3-pt jump shot from 23 ft (assist by A. Nembhard)
9:05.0,B. Lopez makes 3-pt jump shot from 28 ft (assist by D. Jones),+3,11-8,,
8:57.0,,,11-11,+3,J. Huff makes 3-pt jump shot from 24 ft (assist by J. Walker)
8:46.0,K. Leonard misses 2-pt jump shot from 11 ft,,11-11,,
8:45.0,,,11-11,,Defensive rebound by P. Siakam
8:39.0,,,11-11,,J. Huff misses 2-pt layup from 1 ft
8:37.0,Defensive rebound by K. Leonard,,11-11,,
8:30.0,B. Lopez misses 3-pt jump shot from 28 ft,,11-11,,
8:26.0,,,11-11,,Defensive rebound by J. Walker
8:18.0,,,11-14,+3,J. Walker makes 3-pt jump shot from 28 ft (assist by A. Nesmith)
7:56.0,J. Collins misses 2-pt jump shot from 18 ft,,11-14,,
7:53.0,,,11-14,,Defensive rebound by J. Huff
7:48.0,,,11-14,,J. Walker misses 2-pt layup from 5 ft
7:46.0,Defensive rebound by B. Lopez,,11-14,,
7:46.0,,,11-14,,Q. Jackson enters the game for A. Nembhard
7:41.0,Turnover by D. Garland (bad pass; steal by P. Siakam),,11-14,,
7:37.0,,,11-16,+2,J. Walker makes 2-pt dunk from 1 ft (assist by Q. Jackson)
7:37.0,,,11-16,,Shooting foul by J. Collins (drawn by J. Walker)
7:37.0,,,11-16,,K. Brown enters the game for J. Walker
7:37.0,,,11-17,+1,A. Nesmith makes free throw 1 of 1
7:17.0,D. Jones misses 3-pt jump shot from 28 ft,,11-17,,
7:15.0,Offensive rebound by K. Leonard,,11-17,,
7:04.0,D. Jones misses 2-pt jump shot from 10 ft,,11-17,,
7:01.0,,,11-17,,Defensive rebound by P. Siakam
6:44.0,,,11-17,,Turnover by J. Huff (bad pass; steal by J. Collins)
6:39.0,K. Leonard misses 2-pt layup from 1 ft (block by J. Huff),,11-17,,
6:39.0,Offensive rebound by Team,,11-17,,
6:39.0,,,11-17,,Indiana full timeout
6:39.0,,,11-17,,O. Toppin enters the game for P. Siakam
6:37.0,Turnover by D. Garland (bad pass; steal by A. Nesmith),,11-17,,
6:27.0,,,11-19,+2,A. Nesmith makes 2-pt layup from 1 ft (assist by Q. Jackson)
6:17.0,Turnover by D. Garland (bad pass),,11-19,,
5:57.0,,,11-19,,A. Nesmith misses 2-pt layup from 1 ft
5:55.0,,,11-19,,Offensive rebound by K. Brown
5:55.0,,,11-21,+2,K. Brown makes 2-pt layup at rim
5:44.0,K. Leonard makes 3-pt jump shot from 27 ft (assist by D. Garland),+3,14-21,,
5:32.0,,,14-23,+2,Q. Jackson makes 2-pt layup from 1 ft (assist by J. Huff)
5:15.0,K. Leonard misses 3-pt jump shot from 27 ft,,14-23,,
5:12.0,Offensive rebound by B. Lopez,,14-23,,
5:12.0,B. Lopez misses 2-pt layup at rim,,14-23,,
5:12.0,Offensive rebound by Team,,14-23,,
5:12.0,,,14-23,,Loose ball foul by A. Nesmith (drawn by B. Lopez)
5:12.0,B. Mathurin enters the game for K. Leonard,,14-23,,
5:12.0,,,14-23,,A. Nembhard enters the game for A. Nesmith
5:04.0,D. Garland misses 3-pt jump shot from 31 ft,,14-23,,
5:01.0,,,14-23,,Defensive rebound by O. Toppin
4:50.0,,,14-23,,Q. Jackson misses 2-pt jump shot from 12 ft
4:49.0,Defensive rebound by J. Collins,,14-23,,
4:42.0,Turnover by B. Mathurin (lost ball; steal by A. Nembhard),,14-23,,
4:37.0,,,14-26,+3,Q. Jackson makes 3-pt jump shot from 24 ft (assist by O. Toppin)
4:23.0,Personal foul by O. Toppin (drawn by J. Collins),,14-26,,
4:23.0,,,14-26,,M. Potter enters the game for J. Huff
4:16.0,Offensive foul by D. Jones (drawn by K. Brown),,14-26,,
4:16.0,Turnover by D. Jones (offensive foul),,14-26,,
4:08.0,,,14-29,+3,M. Potter makes 3-pt jump shot from 27 ft (assist by A. Nembhard)
4:05.0,LA Clippers full timeout,,14-29,,
4:05.0,K. Dunn enters the game for J. Collins,,14-29,,
3:53.0,B. Lopez makes 2-pt layup from 2 ft (assist by D. Jones),+2,16-29,,
3:39.0,,,16-29,,A. Nembhard misses 3-pt jump shot from 28 ft
3:37.0,Defensive rebound by B. Lopez,,16-29,,
3:30.0,B. Mathurin misses 3-pt jump shot from 26 ft,,16-29,,
3:26.0,,,16-29,,Defensive rebound by M. Potter
3:10.0,,,16-32,+3,O. Toppin makes 3-pt jump shot from 27 ft (assist by K. Brown)
2:44.0,D. Garland misses 2-pt jump shot from 21 ft,,16-32,,
2:41.0,Offensive rebound by B. Mathurin,,16-32,,
2:41.0,B. Mathurin misses 2-pt layup from 1 ft,,16-32,,
2:41.0,Offensive rebound by Team,,16-32,,
2:41.0,N. Batum enters the game for D. Garland,,16-32,,
2:41.0,I. Jackson enters the game for D. Jones,,16-32,,
2:41.0,J. Miller enters the game for B. Lopez,,16-32,,
2:38.0,J. Miller misses 2-pt layup from 3 ft,,16-32,,
2:36.0,Offensive rebound by J. Miller,,16-32,,
2:36.0,J. Miller makes 2-pt layup at rim,+2,18-32,,
2:28.0,,,18-32,,Turnover by Q. Jackson (bad pass; steal by K. Dunn)
2:28.0,,,18-32,,T. McConnell enters the game for Q. Jackson
2:14.0,K. Dunn misses 2-pt jump shot from 5 ft,,18-32,,
2:12.0,,,18-32,,Defensive rebound by M. Potter
2:00.0,,,18-34,+2,A. Nembhard makes 2-pt jump shot from 18 ft (assist by O. Toppin)
2:00.0,,,18-34,,Shooting foul by B. Mathurin (drawn by A. Nembhard)
2:00.0,,,18-35,+1,A. Nembhard makes free throw 1 of 1
1:48.0,Turnover by I. Jackson (bad pass; steal by K. Brown),,18-35,,
1:46.0,,,18-37,+2,K. Brown makes 2-pt dunk at rim
1:32.0,N. Batum makes 3-pt jump shot from 28 ft (assist by J. Miller),+3,21-37,,
1:09.0,,,21-37,,K. Brown misses 2-pt jump shot from 21 ft
1:04.0,,,21-37,,Offensive rebound by A. Nembhard
1:02.0,,,21-40,+3,O. Toppin makes 3-pt jump shot from 28 ft (assist by T. McConnell)
0:46.0,Offensive foul by I. Jackson (drawn by K. Brown),,21-40,,
0:46.0,Turnover by I. Jackson (offensive foul),,21-40,,
0:30.0,,,21-42,+2,M. Potter makes 2-pt jump shot from 19 ft (assist by K. Brown)
0:21.0,Turnover by J. Miller (traveling),,21-42,,
0:00.0,,,21-42,,O. Toppin misses 3-pt jump shot from 26 ft
0:00.0,,,21-42,,Offensive rebound by Team
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,LA Clippers,,Score,,Indiana
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:40.0,,,21-42,,M. Potter misses 2-pt jump shot from 19 ft
11:36.0,Defensive rebound by B. Mathurin,,21-42,,
11:27.0,K. Dunn misses 2-pt jump shot from 6 ft,,21-42,,
11:26.0,,,21-42,,Defensive rebound by T. McConnell
11:15.0,,,21-42,,K. Brown misses 3-pt jump shot from 26 ft
11:12.0,Defensive rebound by K. Dunn,,21-42,,
10:58.0,B. Mathurin misses 2-pt jump shot from 19 ft,,21-42,,
10:54.0,,,21-42,,Defensive rebound by M. Potter
10:46.0,,,21-44,+2,P. Siakam makes 2-pt jump shot from 14 ft
10:32.0,J. Miller misses 2-pt jump shot from 10 ft,,21-44,,
10:31.0,,,21-44,,Defensive rebound by P. Siakam
10:10.0,,,21-44,,Turnover by P. Siakam (lost ball; steal by K. Dunn)
10:04.0,J. Miller misses 2-pt jump shot from 5 ft (block by M. Potter),,21-44,,
10:02.0,,,21-44,,Defensive rebound by T. McConnell
9:55.0,,,21-44,,Shooting foul by J. Miller (drawn by M. Potter)
9:55.0,,,21-45,+1,M. Potter makes free throw 1 of 2
9:55.0,K. Leonard enters the game for J. Miller,,21-45,,
9:55.0,,,21-45,,M. Potter misses free throw 2 of 2
9:53.0,Defensive rebound by N. Batum,,21-45,,
9:40.0,N. Batum misses 3-pt jump shot from 26 ft,,21-45,,
9:37.0,Offensive rebound by I. Jackson,,21-45,,
9:36.0,I. Jackson makes 2-pt dunk from 1 ft,+2,23-45,,
9:13.0,Jump ball: N. Batum vs. P. Siakam (I. Jackson gains possession),Jump ball: N. Batum vs. P. Siakam (I. Jackson gains possession),Jump ball: N. Batum vs. P. Siakam (I. Jackson gains possession),Jump ball: N. Batum vs. P. Siakam (I. Jackson gains possession),Jump ball: N. Batum vs. P. Siakam (I. Jackson gains possession)
9:13.0,,,23-45,,Turnover by P. Siakam (lost ball; steal by N. Batum)
9:03.0,K. Leonard makes 2-pt jump shot from 11 ft,+2,25-45,,
8:48.0,,,25-45,,M. Potter misses 3-pt jump shot from 23 ft
8:47.0,Defensive rebound by N. Batum,,25-45,,
8:35.0,Shooting foul by A. Nembhard (drawn by B. Mathurin),,25-45,,
8:35.0,B. Mathurin makes free throw 1 of 2,+1,26-45,,
8:35.0,,,26-45,,A. Nesmith enters the game for K. Brown
8:35.0,B. Mathurin makes free throw 2 of 2,+1,27-45,,
