style,tip
top:278px;left:368px;,"1st quarter, 11:14.0 remaining<br>Andrew Nembhard made 3-pointer from 28 ft<br>Indiana now tied 3-3"
top:308px;left:397px;,"1st quarter, 10:39.0 remaining<br>Andrew Nembhard missed 3-pointer from 32 ft<br>Indiana trails 3-5"
top:78px;left:390px;,"1st quarter, 10:18.0 remaining<br>Aaron Nesmith made 2-pointer from 16 ft<br>Indiana now tied 5-5"
top:31px;left:247px;,"1st quarter, 9:42.0 remaining<br>Pascal Siakam missed 2-pointer from 1 ft<br>Indiana trails 5-8"
top:37px;left:237px;,"1st quarter, 9:21.0 remaining<br>Andrew Nembhard missed 2-pointer from 1 ft<br>Indiana trails 5-8"
top:2px;left:8px;,"1st quarter, 9:19.0 remaining<br>Aaron Nesmith made 3-pointer from 23 ft<br>Indiana now tied 8-8"
top:68px;left:475px;,"1st quarter, 8:57.0 remaining<br>Jay Huff made 3-pointer from 24 ft<br>Indiana now tied 11-11"
top:33px;left:251px;,"1st quarter, 8:39.0 remaining<br>Jay Huff missed 2-pointer from 1 ft<br>Indiana tied 11-11"
top:311px;left:277px;,"1st quarter, 8:18.0 remaining<br>Jarace Walker made 3-pointer from 28 ft<br>Indiana now leads 14-11"
top:80px;left:243px;,"1st quarter, 7:48.0 remaining<br>Jarace Walker missed 2-pointer from 5 ft<br>Indiana leads 14-11"
top:17px;left:246px;,"1st quarter, 7:37.0 remaining<br>Jarace Walker made 2-pointer from 1 ft<br>Indiana now leads 16-11"
top:29px;left:233px;,"1st quarter, 6:27.0 remaining<br>Aaron Nesmith made 2-pointer from 1 ft<br>Indiana now leads 19-11"
top:22px;left:230px;,"1st quarter, 5:57.0 remaining<br>Aaron Nesmith missed 2-pointer from 1 ft<br>Indiana leads 19-11"
top:31px;left:240px;,"1st quarter, 5:55.0 remaining<br>Kobe Brown made 2-pointer from 0 ft<br>Indiana now leads 21-11"
top:23px;left:233px;,"1st quarter, 5:32.0 remaining<br>Quenton Jackson made 2-pointer from 1 ft<br>Indiana now leads 23-14"
top:49px;left:356px;,"1st quarter, 4:50.0 remaining<br>Quenton Jackson missed 2-pointer from 12 ft<br>Indiana leads 23-14"
