style,tip
top:62px;left:252px;,"1st quarter, 11:39.0 remaining<br>Brook Lopez missed 2-pointer from 3 ft<br>LA Clippers tied 0-0"
top:30px;left:240px;,"1st quarter, 11:36.0 remaining<br>Derrick Jones Jr. missed 2-pointer from 0 ft<br>LA Clippers tied 0-0"
top:284px;left:222px;,"1st quarter, 11:32.0 remaining<br>Darius Garland made 3-pointer from 25 ft<br>LA Clippers now leads 3-0"
top:83px;left:78px;,"1st quarter, 10:57.0 remaining<br>John Collins made 2-pointer from 17 ft<br>LA Clippers now leads 5-3"
top:73px;left:249px;,"1st quarter, 10:26.0 remaining<br>Kawhi Leonard missed 2-pointer from 4 ft<br>LA Clippers leads 5-3"
top:53px;left:252px;,"1st quarter, 10:03.0 remaining<br>Derrick Jones Jr. missed 2-pointer from 3 ft<br>LA Clippers tied 5-5"
top:280px;left:72px;,"1st quarter, 9:55.0 remaining<br>Darius Garland made 3-pointer from 30 ft<br>LA Clippers now leads 8-5"
top:321px;left:202px;,"1st quarter, 9:30.0 remaining<br>Darius Garland missed 3-pointer from 29 ft<br>LA Clippers leads 8-5"
top:249px;left:69px;,"1st quarter, 9:05.0 remaining<br>Brook Lopez made 3-pointer from 28 ft<br>LA Clippers now leads 11-8"
top:84px;left:335px;,"1st quarter, 8:46.0 remaining<br>Kawhi Leonard missed 2-pointer from 11 ft<br>LA Clippers tied 11-11"
top:223px;left:38px;,"1st quarter, 8:30.0 remaining<br>Brook Lopez missed 3-pointer from 28 ft<br>LA Clippers tied 11-11"
top:144px;left:106px;,"1st quarter, 7:56.0 remaining<br>John Collins missed 2-pointer from 18 ft<br>LA Clippers trails 11-14"
top:284px;left:124px;,"1st quarter, 7:17.0 remaining<br>Derrick Jones Jr. missed 3-pointer from 28 ft<br>LA Clippers trails 11-17"
top:108px;left:182px;,"1st quarter, 7:04.0 remaining<br>Derrick Jones Jr. missed 2-pointer from 10 ft<br>LA Clippers trails 11-17"
top:37px;left:238px;,"1st quarter, 6:39.0 remaining<br>Kawhi Leonard missed 2-pointer from 1 ft<br>LA Clippers trails 11-17"
top:298px;left:243px;,"1st quarter, 5:44.0 remaining<br>Kawhi Leonard made 3-pointer from 27 ft<br>LA Clippers now trails 14-21"
top:294px;left:302px;,"1st quarter, 5:15.0 remaining<br>Kawhi Leonard missed 3-pointer from 27 ft<br>LA Clippers trails 14-23"
top:30px;left:240px;,"1st quarter, 5:12.0 remaining<br>Brook Lopez missed 2-pointer from 0 ft<br>LA Clippers trails 14-23"
top:280px;left:64px;,"1st quarter, 5:04.0 remaining<br>Darius Garland missed 3-pointer from 31 ft<br>LA Clippers trails 14-23"
top:49px;left:254px;,"1st quarter, 3:53.0 remaining<br>Brook Lopez made 2-pointer from 2 ft<br>LA Clippers now trails 16-29"
top:241px;left:92px;,"1st quarter, 3:30.0 remaining<br>Bennedict Mathurin missed 3-pointer from 26 ft<br>LA Clippers trails 16-29"
top:203px;left:115px;,"1st quarter, 2:44.0 remaining<br>Darius Garland missed 2-pointer from 21 ft<br>LA Clippers trails 16-32"
top:16px;left:237px;,"1st quarter, 2:41.0 remaining<br>Bennedict Mathurin missed 2-pointer from 1 ft<br>LA Clippers trails 16-32"
top:55px;left:247px;,"1st quarter, 2:38.0 remaining<br>Jordan Miller missed 2-pointer from 3 ft<br>LA Clippers trails 16-32"
top:30px;left:240px;,"1st quarter, 2:36.0 remaining<br>Jordan Miller made 2-pointer from 0 ft<br>LA Clippers now trails 18-32"
top:51px;left:280px;,"1st quarter, 2:14.0 remaining<br>Kris Dunn missed 2-pointer from 5 ft<br>LA Clippers trails 18-32"
top:200px;left:21px;,"1st quarter, 1:32.0 remaining<br>Nicolas Batum made 3-pointer from 28 ft<br>LA Clippers now trails 21-37"
top:93px;left:238px;,"2nd quarter, 11:27.0 remaining<br>Kris Dunn missed 2-pointer from 6 ft<br>LA Clippers trails 21-42"
top:220px;left:260px;,"2nd quarter, 10:58.0 remaining<br>Bennedict Mathurin missed 2-pointer from 19 ft<br>LA Clippers trails 21-42"
top:52px;left:141px;,"2nd quarter, 10:32.0 remaining<br>Jordan Miller missed 2-pointer from 10 ft<br>LA Clippers trails 21-44"
top:43px;left:197px;,"2nd quarter, 10:04.0 remaining<br>Jordan Miller missed 2-pointer from 5 ft<br>LA Clippers trails 21-44"
top:293px;left:237px;,"2nd quarter, 9:40.0 remaining<br>Nicolas Batum missed 3-pointer from 26 ft<br>LA Clippers trails 21-45"
top:36px;left:233px;,"2nd quarter, 9:36.0 remaining<br>Isaiah Jackson made 2-pointer from 1 ft<br>LA Clippers now trails 23-45"
top:136px;left:224px;,"2nd quarter, 9:03.0 remaining<br>Kawhi Leonard made 2-pointer from 11 ft<br>LA Clippers now trails 25-45"
top:295px;left:268px;,"2nd quarter, 8:06.0 remaining<br>Kawhi Leonard missed 3-pointer from 27 ft<br>LA Clippers trails 27-45"
top:149px;left:218px;,"2nd quarter, 7:37.0 remaining<br>Kawhi Leonard missed 2-pointer from 12 ft<br>LA Clippers trails 27-47"
top:26px;left:221px;,"2nd quarter, 7:32.0 remaining<br>Kris Dunn missed 2-pointer from 2 ft<br>LA Clippers trails 27-47"
top:93px;left:483px;,"2nd quarter, 7:08.0 remaining<br>Kris Dunn missed 3-pointer from 25 ft<br>LA Clippers trails 27-49"
top:43px;left:232px;,"2nd quarter, 6:58.0 remaining<br>Isaiah Jackson made 2-pointer from 2 ft<br>LA Clippers now trails 29-49"
top:243px;left:23px;,"2nd quarter, 6:18.0 remaining<br>Darius Garland missed 3-pointer from 30 ft<br>LA Clippers trails 29-49"
top:95px;left:282px;,"2nd quarter, 5:51.0 remaining<br>Darius Garland made 2-pointer from 8 ft<br>LA Clippers now trails 31-50"
top:311px;left:159px;,"2nd quarter, 5:35.0 remaining<br>Darius Garland missed 3-pointer from 29 ft<br>LA Clippers trails 31-50"
top:30px;left:240px;,"2nd quarter, 5:33.0 remaining<br>Brook Lopez made 2-pointer from 0 ft<br>LA Clippers now trails 33-50"
top:48px;left:239px;,"2nd quarter, 5:07.0 remaining<br>Derrick Jones Jr. made 2-pointer from 2 ft<br>LA Clippers now trails 36-50"
top:200px;left:283px;,"2nd quarter, 4:31.0 remaining<br>Kawhi Leonard made 2-pointer from 18 ft<br>LA Clippers now trails 38-52"
top:32px;left:237px;,"2nd quarter, 3:45.0 remaining<br>Kawhi Leonard made 2-pointer from 0 ft<br>LA Clippers now trails 40-52"
top:84px;left:364px;,"2nd quarter, 3:19.0 remaining<br>Kawhi Leonard missed 2-pointer from 14 ft<br>LA Clippers trails 40-55"
top:47px;left:234px;,"2nd quarter, 3:00.0 remaining<br>Derrick Jones Jr. made 2-pointer from 2 ft<br>LA Clippers now trails 42-55"
top:72px;left:291px;,"2nd quarter, 2:03.0 remaining<br>John Collins missed 2-pointer from 7 ft<br>LA Clippers trails 42-58"
top:39px;left:234px;,"2nd quarter, 0:43.0 remaining<br>Kawhi Leonard made 2-pointer from 1 ft<br>LA Clippers now trails 48-60"
top:78px;left:483px;,"3rd quarter, 11:28.0 remaining<br>Darius Garland made 3-pointer from 25 ft<br>LA Clippers now trails 53-60"
top:48px;left:233px;,"3rd quarter, 11:02.0 remaining<br>Kawhi Leonard made 2-pointer from 2 ft<br>LA Clippers now trails 55-60"
top:290px;left:251px;,"3rd quarter, 10:43.0 remaining<br>Kawhi Leonard missed 3-pointer from 26 ft<br>LA Clippers trails 55-60"
top:265px;left:150px;,"3rd quarter, 10:39.0 remaining<br>Kawhi Leonard missed 3-pointer from 25 ft<br>LA Clippers trails 55-60"
top:280px;left:383px;,"3rd quarter, 9:59.0 remaining<br>Brook Lopez made 3-pointer from 29 ft<br>LA Clippers now trails 58-62"
top:313px;left:321px;,"3rd quarter, 9:17.0 remaining<br>Kawhi Leonard missed 3-pointer from 29 ft<br>LA Clippers trails 58-65"
top:293px;left:269px;,"3rd quarter, 8:51.0 remaining<br>John Collins made 3-pointer from 26 ft<br>LA Clippers now trails 61-65"
top:47px;left:236px;,"3rd quarter, 7:52.0 remaining<br>Darius Garland made 2-pointer from 2 ft<br>LA Clippers now trails 63-68"
