Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Austin Reaves,40:04,.729,.692,.538,.846,0.0,17.7,11.0,20.2,1.2,0.0,10.1,23.0,140,102,4.8
Luka DonÄiÄ,38:41,.742,.700,.400,.240,7.5,13.8,11.4,19.2,3.8,2.2,15.3,39.1,128,96,10.5
LeBron James,37:29,.497,.455,.091,.636,0.0,14.2,8.8,32.4,1.3,0.0,6.6,18.7,120,103,-0.5
Deandre Ayton,21:56,.945,1.000,.000,1.333,6.6,24.3,17.6,0.0,2.2,11.5,29.6,14.3,132,90,4.3
Jake LaRavia,17:57,.000,.000,1.000,.000,8.1,5.0,6.1,0.0,2.7,0.0,50.0,10.3,23,102,-15.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Rui Hachimura,26:04,.515,.500,.333,.667,0.0,10.2,6.3,0.0,1.9,0.0,0.0,13.8,106,103,-4.2
Jaxson Hayes,26:04,.676,.667,.000,3.333,11.2,20.5,16.9,5.4,0.0,16.2,11.9,14.9,137,93,4.4
Luke Kennard,17:18,.625,.625,.500,.000,0.0,20.6,12.8,8.6,2.8,0.0,0.0,10.7,134,98,1.4
Jarred Vanderbilt,10:01,.000,.000,.000,.000,0.0,17.7,11.0,0.0,0.0,0.0,0.0,4.6,0,105,-8.6
Bronny James,4:26,.750,.750,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,141,111,4.2
Kobe Bufkin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Maxi Kleber,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dalton Knecht,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Drew Timme,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.656,.621,.357,.600,18.2,77.8,55.2,47.4,9.1,15.8,14.5,100.0,117.0,99.9,
