Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Austin Reaves,40:04,7,13,.538,4,7,.571,8,11,.727,0,8,8,5,1,0,2,2,26,22.6,+26
Luka DonÄiÄ,38:41,15,25,.600,5,10,.500,6,6,1.000,2,6,8,3,3,1,5,5,41,31.5,+19
LeBron James,37:29,5,11,.455,0,1,.000,4,7,.571,0,6,6,8,1,0,1,0,14,14.5,+19
Deandre Ayton,21:56,3,3,1.000,0,0,,3,4,.750,1,6,7,0,1,3,2,2,9,10.5,+5
Jake LaRavia,17:57,0,2,.000,0,2,.000,0,0,,1,1,2,0,1,0,2,4,0,-3.0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jaxson Hayes,26:04,2,3,.667,0,0,,6,10,.600,2,6,8,1,0,5,1,2,10,12.7,+12
Rui Hachimura,26:04,3,6,.500,0,2,.000,2,4,.500,0,3,3,0,1,0,0,0,8,6.1,+7
Luke Kennard,17:18,2,4,.500,1,2,.500,0,0,,0,4,4,1,1,0,0,1,5,5.5,-6
Jarred Vanderbilt,10:01,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+6
Bronny James,4:26,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.0,-5
Kobe Bufkin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Maxi Kleber,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dalton Knecht,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Drew Timme,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,70,.543,11,25,.440,29,42,.690,6,42,48,18,9,9,15,16,116,,
