Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Amen Thompson,39:30,.551,.500,.133,.200,13.2,7.3,10.1,10.3,2.6,2.3,10.9,18.8,127,118,-0.6
Jabari Smith Jr.,37:11,.538,.500,.438,.500,14.0,28.4,21.5,14.8,0.0,2.4,20.4,26.7,107,115,-3.9
Kevin Durant,34:37,.732,.679,.500,.500,0.0,16.6,8.7,42.1,1.5,0.0,14.9,23.5,147,118,11.7
Alperen ÅengÃ¼n,32:51,.474,.462,.000,.308,12.7,11.7,12.2,29.0,1.6,5.4,6.3,19.4,129,116,2.2
Reed Sheppard,28:02,.500,.500,.467,.000,11.2,6.8,8.9,25.4,7.3,3.2,6.3,23.1,130,107,10.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tari Eason,29:02,.508,.464,.429,.286,10.8,13.2,12.1,4.9,1.8,0.0,0.0,22.0,132,119,-4.3
Clint Capela,14:48,1.000,1.000,.000,.000,7.1,25.9,16.9,0.0,0.0,12.0,50.0,5.5,92,110,-3.3
Aaron Holiday,14:45,1.000,1.000,1.000,.000,0.0,6.5,3.4,0.0,0.0,0.0,0.0,8.2,205,125,0.0
Jae'Sean Tate,9:14,.500,.500,.500,.000,0.0,10.4,5.4,0.0,0.0,0.0,33.3,13.2,65,124,-14.5
Isaiah Crawford,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dorian Finney-Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeff Green,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh Okogie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.570,.538,.355,.280,45.7,72.0,59.4,68.2,9.6,13.0,11.8,100.0,127.0,116.3,
