Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
GG Jackson II,30:12,.470,.429,.500,.143,6.4,6.9,6.6,0.0,0.0,2.6,16.8,25.9,85,134,-12.0
Taylor Hendricks,29:54,.210,.182,.455,.182,6.4,17.4,11.7,4.4,3.4,0.0,14.4,20.3,54,122,-16.0
Olivier-Maxence Prosper,28:43,.950,.933,.333,.200,6.7,18.2,12.2,16.8,3.6,0.0,0.0,24.8,190,121,24.6
Cedric Coward,25:20,.672,.643,.286,.143,3.8,12.4,7.9,11.7,2.0,0.0,0.0,12.8,149,128,1.3
Javon Small,25:12,.778,.778,.333,.000,3.8,8.3,6.0,33.3,2.0,0.0,18.2,19.1,133,129,4.5
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Cam Spencer,28:52,.786,.786,.571,.000,0.0,10.8,5.2,49.9,5.3,2.8,12.5,12.1,160,120,15.1
Tyler Burton,25:09,.250,.250,.700,.000,3.8,4.1,4.0,5.3,2.0,0.0,0.0,17.4,69,132,-14.7
Walter Clayton,22:48,.329,.125,.250,.750,4.2,4.6,4.4,5.6,0.0,3.5,8.6,22.3,80,135,-15.4
DeJon Jarreau,15:08,.250,.250,.250,.000,25.4,13.8,19.8,28.3,0.0,0.0,11.1,26.0,88,130,-14.7
Taj Gibson,8:42,1.064,1.000,.000,2.000,0.0,12.0,5.7,57.1,5.9,0.0,21.0,23.9,177,118,23.9
Ty Jerome,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Jaylen Wells,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.551,.511,.407,.198,28.0,54.3,40.6,70.0,11.7,5.0,10.0,100.0,116.3,127.0,
