Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Amen Thompson,39:30,7,15,.467,1,2,.500,3,3,1.000,5,3,8,3,2,1,2,2,18,16.7,+3
Jabari Smith Jr.,37:11,7,16,.438,2,7,.286,5,8,.625,5,11,16,4,0,1,5,2,21,15.9,+8
Kevin Durant,34:37,8,14,.571,3,7,.429,6,7,.857,0,6,6,10,1,0,3,0,25,24.8,+8
Alperen ÅengÃ¼n,32:51,6,13,.462,0,0,,2,4,.500,4,4,8,7,1,2,1,4,14,15.2,-1
Reed Sheppard,28:02,6,15,.400,3,7,.429,0,0,,3,2,5,5,4,1,1,1,15,16.4,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Tari Eason,29:02,6,14,.429,1,6,.167,3,4,.750,3,4,7,1,1,0,0,3,16,12.0,+11
Clint Capela,14:48,1,1,1.000,0,0,,0,0,,1,4,5,0,0,2,1,1,2,3.6,+9
Aaron Holiday,14:45,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,0,1,6,4.6,+4
Jae'Sean Tate,9:14,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,1,0,2,0.3,+3
Isaiah Crawford,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Dorian Finney-Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeff Green,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh Okogie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,93,.473,12,33,.364,19,26,.731,21,36,57,30,9,7,14,14,119,,
