style,tip
top:280px;left:358px;,"1st quarter, 11:25.0 remaining<br>Reed Sheppard missed 3-pointer from 28 ft<br>Houston tied 0-0"
top:274px;left:217px;,"1st quarter, 10:58.0 remaining<br>Jabari Smith Jr. made 3-pointer from 25 ft<br>Houston now leads 3-2"
top:37px;left:243px;,"1st quarter, 10:13.0 remaining<br>Alperen ÅengÃ¼n made 2-pointer from 1 ft<br>Houston now tied 5-5"
top:24px;left:9px;,"1st quarter, 9:44.0 remaining<br>Kevin Durant missed 3-pointer from 23 ft<br>Houston trails 5-8"
top:60px;left:296px;,"1st quarter, 9:30.0 remaining<br>Amen Thompson missed 2-pointer from 6 ft<br>Houston trails 5-8"
top:32px;left:230px;,"1st quarter, 9:16.0 remaining<br>Reed Sheppard made 2-pointer from 1 ft<br>Houston now trails 7-8"
top:65px;left:471px;,"1st quarter, 8:49.0 remaining<br>Jabari Smith Jr. missed 3-pointer from 23 ft<br>Houston trails 7-10"
top:28px;left:15px;,"1st quarter, 8:21.0 remaining<br>Amen Thompson missed 3-pointer from 23 ft<br>Houston trails 7-10"
top:78px;left:327px;,"1st quarter, 8:15.0 remaining<br>Reed Sheppard missed 2-pointer from 10 ft<br>Houston trails 7-10"
top:201px;left:59px;,"1st quarter, 8:10.0 remaining<br>Jabari Smith Jr. missed 3-pointer from 25 ft<br>Houston trails 7-10"
top:277px;left:173px;,"1st quarter, 7:45.0 remaining<br>Reed Sheppard missed 3-pointer from 26 ft<br>Houston trails 7-12"
top:139px;left:273px;,"1st quarter, 7:32.0 remaining<br>Kevin Durant made 2-pointer from 11 ft<br>Houston now trails 9-12"
top:108px;left:231px;,"1st quarter, 6:52.0 remaining<br>Jabari Smith Jr. missed 2-pointer from 8 ft<br>Houston trails 9-12"
top:165px;left:283px;,"1st quarter, 6:25.0 remaining<br>Kevin Durant made 2-pointer from 14 ft<br>Houston now trails 11-15"
top:111px;left:258px;,"1st quarter, 5:35.0 remaining<br>Reed Sheppard missed 2-pointer from 8 ft<br>Houston trails 11-15"
top:278px;left:314px;,"1st quarter, 5:04.0 remaining<br>Reed Sheppard missed 3-pointer from 26 ft<br>Houston trails 11-15"
top:1px;left:9px;,"1st quarter, 4:31.0 remaining<br>Aaron Holiday made 3-pointer from 23 ft<br>Houston now trails 14-18"
top:273px;left:366px;,"1st quarter, 4:01.0 remaining<br>Aaron Holiday made 3-pointer from 27 ft<br>Houston now trails 17-20"
top:252px;left:133px;,"1st quarter, 3:38.0 remaining<br>Reed Sheppard made 3-pointer from 25 ft<br>Houston now tied 20-20"
top:36px;left:237px;,"1st quarter, 2:44.0 remaining<br>Tari Eason made 2-pointer from 1 ft<br>Houston now leads 24-22"
top:34px;left:251px;,"1st quarter, 2:19.0 remaining<br>Alperen ÅengÃ¼n made 2-pointer from 1 ft<br>Houston now leads 26-22"
top:183px;left:314px;,"1st quarter, 1:39.0 remaining<br>Tari Eason missed 2-pointer from 17 ft<br>Houston leads 26-22"
top:32px;left:251px;,"1st quarter, 1:34.0 remaining<br>Alperen ÅengÃ¼n made 2-pointer from 1 ft<br>Houston now leads 28-22"
top:36px;left:237px;,"1st quarter, 0:34.0 remaining<br>Amen Thompson made 2-pointer from 1 ft<br>Houston now leads 32-27"
top:247px;left:84px;,"2nd quarter, 11:43.0 remaining<br>Aaron Holiday missed 3-pointer from 27 ft<br>Houston leads 32-30"
top:234px;left:132px;,"2nd quarter, 11:05.0 remaining<br>Amen Thompson missed 2-pointer from 23 ft<br>Houston leads 32-30"
top:83px;left:220px;,"2nd quarter, 10:41.0 remaining<br>Alperen ÅengÃ¼n made 2-pointer from 6 ft<br>Houston now leads 34-30"
top:248px;left:365px;,"2nd quarter, 10:13.0 remaining<br>Jabari Smith Jr. made 3-pointer from 25 ft<br>Houston now leads 37-32"
top:38px;left:225px;,"2nd quarter, 9:35.0 remaining<br>Jae'Sean Tate made 2-pointer from 2 ft<br>Houston now leads 39-34"
top:26px;left:236px;,"2nd quarter, 9:07.0 remaining<br>Alperen ÅengÃ¼n made 2-pointer from 1 ft<br>Houston now leads 41-34"
top:238px;left:384px;,"2nd quarter, 8:30.0 remaining<br>Jae'Sean Tate missed 3-pointer from 25 ft<br>Houston leads 41-34"
top:268px;left:160px;,"2nd quarter, 7:43.0 remaining<br>Tari Eason missed 3-pointer from 25 ft<br>Houston leads 41-34"
top:268px;left:324px;,"2nd quarter, 6:36.0 remaining<br>Jabari Smith Jr. missed 3-pointer from 25 ft<br>Houston leads 41-38"
top:50px;left:17px;,"2nd quarter, 6:32.0 remaining<br>Tari Eason missed 3-pointer from 22 ft<br>Houston leads 41-38"
top:42px;left:283px;,"2nd quarter, 6:13.0 remaining<br>Jabari Smith Jr. missed 2-pointer from 4 ft<br>Houston leads 41-38"
top:31px;left:264px;,"2nd quarter, 6:09.0 remaining<br>Jabari Smith Jr. missed 2-pointer from 2 ft<br>Houston leads 41-38"
top:263px;left:145px;,"2nd quarter, 5:27.0 remaining<br>Reed Sheppard made 3-pointer from 25 ft<br>Houston now leads 44-38"
top:12px;left:473px;,"2nd quarter, 4:58.0 remaining<br>Tari Eason missed 3-pointer from 23 ft<br>Houston leads 44-38"
top:182px;left:339px;,"2nd quarter, 4:47.0 remaining<br>Reed Sheppard made 2-pointer from 18 ft<br>Houston now leads 46-38"
top:106px;left:175px;,"2nd quarter, 4:15.0 remaining<br>Jabari Smith Jr. made 2-pointer from 10 ft<br>Houston now leads 48-40"
top:121px;left:274px;,"2nd quarter, 3:28.0 remaining<br>Amen Thompson missed 2-pointer from 10 ft<br>Houston leads 48-43"
top:68px;left:157px;,"2nd quarter, 3:19.0 remaining<br>Kevin Durant missed 2-pointer from 9 ft<br>Houston leads 49-43"
top:264px;left:330px;,"2nd quarter, 2:47.0 remaining<br>Kevin Durant missed 3-pointer from 25 ft<br>Houston leads 49-43"
top:43px;left:280px;,"2nd quarter, 2:32.0 remaining<br>Reed Sheppard missed 2-pointer from 4 ft<br>Houston leads 49-43"
top:260px;left:350px;,"2nd quarter, 2:27.0 remaining<br>Kevin Durant missed 3-pointer from 26 ft<br>Houston leads 49-43"
top:139px;left:285px;,"2nd quarter, 2:12.0 remaining<br>Kevin Durant made 2-pointer from 12 ft<br>Houston now leads 51-43"
top:47px;left:307px;,"2nd quarter, 1:33.0 remaining<br>Amen Thompson made 2-pointer from 7 ft<br>Houston now leads 53-45"
top:96px;left:246px;,"2nd quarter, 0:41.0 remaining<br>Alperen ÅengÃ¼n missed 2-pointer from 7 ft<br>Houston leads 54-49"
top:31px;left:240px;,"2nd quarter, 0:37.0 remaining<br>Alperen ÅengÃ¼n missed 2-pointer from 0 ft<br>Houston leads 54-49"
top:33px;left:236px;,"2nd quarter, 0:03.0 remaining<br>Amen Thompson made 2-pointer from 1 ft<br>Houston now leads 56-49"
