Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Matas Buzelis,34:22,.540,.500,.538,.154,0.0,24.2,12.0,0.0,0.0,2.5,6.7,17.4,99,121,-3.9
Josh Giddey,32:53,.196,.091,.727,.364,2.8,16.8,9.7,40.6,0.0,0.0,28.2,21.7,65,125,-11.0
Isaac Okoro,31:13,.698,.654,.385,.231,8.7,3.0,5.9,0.0,0.0,2.7,0.0,18.5,144,128,4.6
Tre Jones,26:16,.763,.708,.250,.333,0.0,24.6,12.2,62.3,1.7,3.3,12.7,24.2,147,116,16.2
Guerschon Yabusele,22:22,.500,.500,.833,.000,4.0,12.4,8.2,5.8,2.0,3.8,0.0,10.8,113,119,-0.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Collin Sexton,29:58,.739,.750,.500,.143,0.0,9.2,4.6,17.0,0.0,2.9,0.0,20.0,146,125,9.2
Leonard Miller,25:38,.419,.412,.412,.118,7.1,18.0,12.5,0.0,1.8,0.0,14.4,32.8,75,120,-10.5
Patrick Williams,18:13,.225,.188,.500,.250,9.9,15.2,12.5,6.9,0.0,0.0,0.0,19.6,69,125,-10.2
Rob Dillingham,16:19,.333,.333,.333,.000,0.0,0.0,0.0,0.0,2.8,0.0,25.0,9.9,49,124,-13.5
Lachlan Olbrich,2:46,.798,1.000,.000,2.000,32.7,0.0,16.5,0.0,0.0,0.0,0.0,27.4,168,131,14.4
Nick Richards,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Anfernee Simons,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.527,.495,.480,.214,18.9,71.2,44.8,61.0,3.7,8.9,10.1,100.0,105.8,122.6,
