Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Matas Buzelis,34:22,6,13,.462,1,7,.143,2,2,1.000,0,9,9,0,0,1,1,2,15,9.9,-9
Josh Giddey,32:53,1,11,.091,0,8,.000,3,4,.750,1,6,7,11,0,0,5,1,5,2.1,-20
Isaac Okoro,31:13,7,13,.538,3,5,.600,3,3,1.000,3,1,4,0,0,1,0,3,20,15.6,-14
Tre Jones,26:16,8,12,.667,1,3,.333,4,4,1.000,0,7,7,9,1,1,2,1,21,23.5,-13
Guerschon Yabusele,22:22,2,6,.333,2,5,.400,0,0,,1,3,4,1,1,1,0,4,6,5.0,-16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Collin Sexton,29:58,8,14,.571,5,7,.714,1,2,.500,0,3,3,3,0,1,0,3,22,17.5,0
Leonard Miller,25:38,6,17,.353,2,7,.286,1,2,.500,2,5,7,0,1,0,3,3,15,4.8,-2
Patrick Williams,18:13,1,8,.125,1,4,.250,1,2,.500,2,3,5,1,0,0,0,0,4,1.4,-12
Rob Dillingham,16:19,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,0,1,4,2,-1.3,-8
Lachlan Olbrich,2:46,1,1,1.000,0,0,,1,2,.500,1,0,1,0,0,0,0,0,3,3.0,+4
Nick Richards,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Anfernee Simons,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,41,98,.418,15,47,.319,16,21,.762,10,37,47,25,4,5,12,21,113,,
