Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Cason Wallace,30:40,8,11,.727,5,7,.714,0,0,,1,4,5,2,3,1,1,1,21,22.1,+21
Shai Gilgeous-Alexander,29:29,8,24,.333,0,10,.000,9,12,.750,0,2,2,5,0,3,1,1,25,15.0,+10
Jalen Williams,26:44,8,16,.500,0,2,.000,2,4,.500,3,3,6,8,1,0,2,3,18,15.6,+12
Isaiah Hartenstein,24:14,2,5,.400,0,0,,2,3,.667,5,11,16,3,2,0,3,2,6,10.0,+13
Luguentz Dort,18:05,1,4,.250,1,3,.333,0,0,,1,1,2,1,0,1,0,1,3,2.6,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Ajay Mitchell,25:14,6,10,.600,1,3,.333,2,2,1.000,1,2,3,5,0,2,2,5,15,12.6,+14
Jaylin Williams,18:59,4,6,.667,2,4,.500,2,2,1.000,0,10,10,0,2,2,0,1,12,15.4,+6
Isaiah Joe,18:14,5,11,.455,4,9,.444,1,1,1.000,1,2,3,1,1,0,0,1,15,11.9,+9
Alex Caruso,15:15,2,3,.667,0,1,.000,2,3,.667,0,5,5,2,0,0,0,1,6,6.8,+8
Jared McCain,12:52,0,4,.000,0,2,.000,0,0,,1,0,1,1,0,0,0,0,0,-1.4,+10
Aaron Wiggins,11:01,3,4,.750,1,2,.500,2,2,1.000,1,1,2,0,0,0,0,0,9,8.4,-2
Kenrich Williams,4:15,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0,0.3,-4
Branden Carlson,2:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-4
Payton Sandfort,2:12,0,2,.000,0,2,.000,1,2,.500,0,1,1,0,0,0,0,2,1,-1.3,-1
Team Totals,240,47,101,.465,14,45,.311,23,31,.742,15,43,58,29,9,9,10,19,131,,
