1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Chicago,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Oklahoma City
12:00.0,Jump ball: M. Buzelis vs. I. Hartenstein (T. Jones gains possession),Jump ball: M. Buzelis vs. I. Hartenstein (T. Jones gains possession),Jump ball: M. Buzelis vs. I. Hartenstein (T. Jones gains possession),Jump ball: M. Buzelis vs. I. Hartenstein (T. Jones gains possession),Jump ball: M. Buzelis vs. I. Hartenstein (T. Jones gains possession)
11:43.0,I. Okoro makes 2-pt layup from 1 ft (assist by J. Giddey),+2,2-0,,
11:28.0,,,2-3,+3,C. Wallace makes 3-pt jump shot from 27 ft (assist by J. Williams)
11:17.0,I. Okoro makes 3-pt jump shot from 22 ft (assist by T. Jones),+3,5-3,,
11:05.0,,,5-3,,C. Wallace misses 3-pt jump shot from 26 ft
11:02.0,Defensive rebound by J. Giddey,,5-3,,
10:45.0,J. Giddey misses 3-pt jump shot from 27 ft,,5-3,,
10:41.0,,,5-3,,Defensive rebound by C. Wallace
10:32.0,,,5-3,,Personal foul by J. Giddey (drawn by L. Dort)
10:25.0,,,5-3,,Shooting foul by T. Jones (drawn by I. Hartenstein)
10:25.0,,,5-3,,I. Hartenstein misses free throw 1 of 2
10:25.0,,,5-3,,Offensive rebound by Team
10:25.0,,,5-4,+1,I. Hartenstein makes free throw 2 of 2
10:14.0,M. Buzelis makes 3-pt jump shot from 25 ft (assist by T. Jones),+3,8-4,,
10:01.0,,,8-4,,J. Williams misses 2-pt jump shot from 6 ft
9:59.0,,,8-4,,Offensive rebound by I. Hartenstein
9:57.0,,,8-7,+3,L. Dort makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander)
9:42.0,Turnover by M. Buzelis (lost ball; steal by C. Wallace),,8-7,,
9:38.0,,,8-9,+2,S. Gilgeous-Alexander makes 2-pt jump shot from 15 ft
9:22.0,I. Okoro makes 3-pt jump shot from 23 ft (assist by T. Jones),+3,11-9,,
9:10.0,,,11-9,,J. Williams misses 2-pt jump shot from 6 ft
9:09.0,,,11-9,,Offensive rebound by I. Hartenstein
9:01.0,,,11-9,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft
8:56.0,Defensive rebound by T. Jones,,11-9,,
8:40.0,M. Buzelis misses 3-pt jump shot from 24 ft,,11-9,,
8:37.0,,,11-9,,Defensive rebound by S. Gilgeous-Alexander
8:25.0,,,11-11,+2,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft
8:17.0,Turnover by T. Jones (out of bounds lost ball),,11-11,,
8:04.0,,,11-11,,L. Dort misses 3-pt jump shot from 23 ft
8:01.0,Defensive rebound by G. Yabusele,,11-11,,
7:56.0,T. Jones makes 3-pt jump shot from 25 ft (assist by G. Yabusele),+3,14-11,,
7:44.0,,,14-13,+2,C. Wallace makes 2-pt layup from 2 ft
7:37.0,I. Okoro misses 2-pt layup from 1 ft,,14-13,,
7:34.0,,,14-13,,Defensive rebound by L. Dort
