style,tip
top:28px;left:228px;,"1st quarter, 11:43.0 remaining<br>Isaac Okoro made 2-pointer from 1 ft<br>Chicago now leads 2-0"
top:5px;left:17px;,"1st quarter, 11:17.0 remaining<br>Isaac Okoro made 3-pointer from 22 ft<br>Chicago now leads 5-3"
top:295px;left:221px;,"1st quarter, 10:45.0 remaining<br>Josh Giddey missed 3-pointer from 27 ft<br>Chicago leads 5-3"
top:253px;left:116px;,"1st quarter, 10:14.0 remaining<br>Matas Buzelis made 3-pointer from 25 ft<br>Chicago now leads 8-4"
top:11px;left:12px;,"1st quarter, 9:22.0 remaining<br>Isaac Okoro made 3-pointer from 23 ft<br>Chicago now leads 11-9"
top:123px;left:17px;,"1st quarter, 8:40.0 remaining<br>Matas Buzelis missed 3-pointer from 24 ft<br>Chicago leads 11-9"
top:137px;left:464px;,"1st quarter, 7:56.0 remaining<br>Tre Jones made 3-pointer from 25 ft<br>Chicago now leads 14-11"
top:33px;left:244px;,"1st quarter, 7:37.0 remaining<br>Isaac Okoro missed 2-pointer from 1 ft<br>Chicago leads 14-13"
top:262px;left:137px;,"1st quarter, 6:46.0 remaining<br>Leonard Miller missed 3-pointer from 25 ft<br>Chicago trails 14-15"
top:22px;left:7px;,"1st quarter, 6:36.0 remaining<br>Matas Buzelis missed 3-pointer from 23 ft<br>Chicago trails 14-15"
top:33px;left:209px;,"1st quarter, 6:32.0 remaining<br>Matas Buzelis missed 2-pointer from 3 ft<br>Chicago trails 14-15"
top:6px;left:12px;,"1st quarter, 6:08.0 remaining<br>Collin Sexton made 3-pointer from 23 ft<br>Chicago now tied 17-17"
top:58px;left:241px;,"1st quarter, 4:58.0 remaining<br>Leonard Miller missed 2-pointer from 3 ft<br>Chicago tied 17-17"
top:270px;left:139px;,"1st quarter, 4:14.0 remaining<br>Patrick Williams made 3-pointer from 26 ft<br>Chicago now leads 20-17"
top:34px;left:94px;,"1st quarter, 3:49.0 remaining<br>Collin Sexton made 2-pointer from 15 ft<br>Chicago now leads 22-19"
top:31px;left:261px;,"1st quarter, 3:23.0 remaining<br>Patrick Williams missed 2-pointer from 2 ft<br>Chicago leads 22-19"
top:284px;left:248px;,"1st quarter, 2:56.0 remaining<br>Leonard Miller missed 3-pointer from 25 ft<br>Chicago tied 22-22"
top:169px;left:231px;,"1st quarter, 2:31.0 remaining<br>Leonard Miller missed 2-pointer from 14 ft<br>Chicago trails 22-24"
top:257px;left:119px;,"1st quarter, 2:08.0 remaining<br>Guerschon Yabusele missed 3-pointer from 26 ft<br>Chicago trails 22-25"
top:31px;left:251px;,"1st quarter, 1:47.0 remaining<br>Collin Sexton made 2-pointer from 1 ft<br>Chicago now trails 24-25"
top:28px;left:217px;,"1st quarter, 1:18.0 remaining<br>Matas Buzelis made 2-pointer from 2 ft<br>Chicago now leads 26-25"
top:264px;left:133px;,"1st quarter, 0:47.0 remaining<br>Collin Sexton made 3-pointer from 26 ft<br>Chicago now leads 29-27"
top:270px;left:334px;,"1st quarter, 0:19.0 remaining<br>Guerschon Yabusele made 3-pointer from 26 ft<br>Chicago now leads 32-29"
top:279px;left:189px;,"2nd quarter, 11:33.0 remaining<br>Guerschon Yabusele made 3-pointer from 25 ft<br>Chicago now leads 35-31"
top:227px;left:77px;,"2nd quarter, 11:04.0 remaining<br>Guerschon Yabusele missed 3-pointer from 26 ft<br>Chicago leads 35-31"
top:160px;left:270px;,"2nd quarter, 10:29.0 remaining<br>Patrick Williams missed 2-pointer from 13 ft<br>Chicago leads 35-31"
top:48px;left:306px;,"2nd quarter, 10:07.0 remaining<br>Tre Jones missed 2-pointer from 7 ft<br>Chicago leads 35-31"
top:31px;left:217px;,"2nd quarter, 9:48.0 remaining<br>Matas Buzelis made 2-pointer from 2 ft<br>Chicago now leads 37-33"
top:280px;left:242px;,"2nd quarter, 8:56.0 remaining<br>Matas Buzelis missed 3-pointer from 25 ft<br>Chicago leads 37-36"
top:26px;left:236px;,"2nd quarter, 8:25.0 remaining<br>Isaac Okoro made 2-pointer from 1 ft<br>Chicago now leads 40-38"
top:81px;left:272px;,"2nd quarter, 8:00.0 remaining<br>Josh Giddey made 2-pointer from 6 ft<br>Chicago now leads 42-38"
top:37px;left:256px;,"2nd quarter, 7:34.0 remaining<br>Isaac Okoro made 2-pointer from 2 ft<br>Chicago now leads 44-38"
top:113px;left:318px;,"2nd quarter, 7:12.0 remaining<br>Josh Giddey missed 2-pointer from 11 ft<br>Chicago leads 45-38"
top:-8px;left:9px;,"2nd quarter, 6:39.0 remaining<br>Collin Sexton made 3-pointer from 23 ft<br>Chicago now leads 48-41"
top:54px;left:256px;,"2nd quarter, 6:18.0 remaining<br>Leonard Miller made 2-pointer from 3 ft<br>Chicago now leads 50-44"
top:282px;left:275px;,"2nd quarter, 5:56.0 remaining<br>Leonard Miller made 3-pointer from 25 ft<br>Chicago now leads 53-46"
top:36px;left:238px;,"2nd quarter, 5:29.0 remaining<br>Leonard Miller made 2-pointer from 1 ft<br>Chicago now leads 55-49"
top:42px;left:237px;,"2nd quarter, 4:50.0 remaining<br>Matas Buzelis made 2-pointer from 1 ft<br>Chicago now leads 57-51"
top:273px;left:330px;,"2nd quarter, 4:25.0 remaining<br>Matas Buzelis missed 3-pointer from 26 ft<br>Chicago leads 57-51"
top:29px;left:236px;,"2nd quarter, 4:04.0 remaining<br>Leonard Miller made 2-pointer from 0 ft<br>Chicago now leads 59-51"
top:295px;left:324px;,"2nd quarter, 3:09.0 remaining<br>Leonard Miller missed 3-pointer from 28 ft<br>Chicago leads 59-53"
top:283px;left:168px;,"2nd quarter, 2:33.0 remaining<br>Collin Sexton made 3-pointer from 26 ft<br>Chicago now leads 62-53"
top:211px;left:69px;,"2nd quarter, 1:29.0 remaining<br>Josh Giddey missed 3-pointer from 25 ft<br>Chicago leads 64-58"
top:28px;left:230px;,"2nd quarter, 0:55.0 remaining<br>Isaac Okoro made 2-pointer from 1 ft<br>Chicago now leads 67-58"
top:47px;left:470px;,"2nd quarter, 0:09.0 remaining<br>Matas Buzelis missed 3-pointer from 23 ft<br>Chicago leads 67-60"
top:32px;left:192px;,"3rd quarter, 11:23.0 remaining<br>Matas Buzelis made 2-pointer from 5 ft<br>Chicago now leads 69-65"
top:260px;left:245px;,"3rd quarter, 10:25.0 remaining<br>Guerschon Yabusele missed 2-pointer from 23 ft<br>Chicago leads 69-65"
top:55px;left:227px;,"3rd quarter, 9:46.0 remaining<br>Isaac Okoro missed 2-pointer from 3 ft<br>Chicago leads 69-68"
top:65px;left:231px;,"3rd quarter, 9:25.0 remaining<br>Tre Jones made 2-pointer from 4 ft<br>Chicago now leads 71-68"
top:52px;left:240px;,"3rd quarter, 8:54.0 remaining<br>Tre Jones made 2-pointer from 2 ft<br>Chicago now leads 74-68"
top:47px;left:240px;,"3rd quarter, 8:12.0 remaining<br>Matas Buzelis made 2-pointer from 2 ft<br>Chicago now leads 76-70"
top:232px;left:401px;,"3rd quarter, 7:26.0 remaining<br>Collin Sexton made 3-pointer from 26 ft<br>Chicago now leads 79-72"
top:285px;left:173px;,"3rd quarter, 6:50.0 remaining<br>Josh Giddey missed 3-pointer from 26 ft<br>Chicago leads 79-74"
top:1px;left:468px;,"3rd quarter, 6:44.0 remaining<br>Leonard Miller missed 3-pointer from 23 ft<br>Chicago leads 79-74"
top:283px;left:152px;,"3rd quarter, 6:02.0 remaining<br>Josh Giddey missed 3-pointer from 27 ft<br>Chicago leads 79-74"
top:259px;left:90px;,"3rd quarter, 5:40.0 remaining<br>Josh Giddey missed 3-pointer from 27 ft<br>Chicago leads 79-76"
top:47px;left:229px;,"3rd quarter, 5:35.0 remaining<br>Isaac Okoro missed 2-pointer from 2 ft<br>Chicago leads 79-76"
top:64px;left:223px;,"3rd quarter, 5:15.0 remaining<br>Leonard Miller missed 2-pointer from 4 ft<br>Chicago leads 79-76"
top:59px;left:4px;,"3rd quarter, 4:53.0 remaining<br>Leonard Miller made 3-pointer from 24 ft<br>Chicago now leads 82-78"
top:100px;left:11px;,"3rd quarter, 4:34.0 remaining<br>Isaac Okoro missed 3-pointer from 24 ft<br>Chicago leads 82-78"
top:287px;left:303px;,"3rd quarter, 4:23.0 remaining<br>Isaac Okoro made 3-pointer from 26 ft<br>Chicago now leads 85-78"
top:43px;left:253px;,"3rd quarter, 3:57.0 remaining<br>Tre Jones made 2-pointer from 2 ft<br>Chicago now leads 87-80"
top:252px;left:386px;,"3rd quarter, 3:38.0 remaining<br>Collin Sexton missed 3-pointer from 27 ft<br>Chicago leads 88-80"
top:42px;left:228px;,"3rd quarter, 3:09.0 remaining<br>Isaac Okoro missed 2-pointer from 2 ft<br>Chicago leads 88-82"
top:77px;left:322px;,"3rd quarter, 3:03.0 remaining<br>Collin Sexton missed 2-pointer from 9 ft<br>Chicago leads 88-82"
top:273px;left:141px;,"3rd quarter, 2:35.0 remaining<br>Patrick Williams missed 3-pointer from 26 ft<br>Chicago leads 88-84"
top:53px;left:473px;,"3rd quarter, 2:13.0 remaining<br>Isaac Okoro missed 3-pointer from 23 ft<br>Chicago leads 88-86"
top:34px;left:216px;,"3rd quarter, 1:45.0 remaining<br>Tre Jones missed 2-pointer from 2 ft<br>Chicago leads 88-86"
top:-2px;left:312px;,"3rd quarter, 1:22.0 remaining<br>Collin Sexton missed 2-pointer from 8 ft<br>Chicago trails 88-89"
top:158px;left:460px;,"3rd quarter, 1:00.0 remaining<br>Patrick Williams missed 3-pointer from 25 ft<br>Chicago trails 88-91"
top:77px;left:226px;,"3rd quarter, 0:30.0 remaining<br>Collin Sexton missed 2-pointer from 5 ft<br>Chicago trails 88-93"
top:30px;left:240px;,"3rd quarter, 0:28.0 remaining<br>Patrick Williams missed 2-pointer from 0 ft<br>Chicago trails 88-93"
top:108px;left:9px;,"3rd quarter, 0:27.0 remaining<br>Collin Sexton missed 3-pointer from 24 ft<br>Chicago trails 88-93"
top:59px;left:356px;,"3rd quarter, 0:01.0 remaining<br>Leonard Miller missed 2-pointer from 12 ft<br>Chicago trails 88-95"
top:185px;left:25px;,"4th quarter, 11:41.0 remaining<br>Josh Giddey missed 3-pointer from 27 ft<br>Chicago trails 88-95"
top:19px;left:474px;,"4th quarter, 11:34.0 remaining<br>Josh Giddey missed 3-pointer from 23 ft<br>Chicago trails 88-95"
top:13px;left:465px;,"4th quarter, 10:57.0 remaining<br>Leonard Miller missed 3-pointer from 23 ft<br>Chicago trails 88-97"
top:179px;left:205px;,"4th quarter, 9:57.0 remaining<br>Leonard Miller missed 2-pointer from 15 ft<br>Chicago trails 88-100"
top:258px;left:369px;,"4th quarter, 8:43.0 remaining<br>Guerschon Yabusele missed 3-pointer from 26 ft<br>Chicago trails 90-105"
top:44px;left:219px;,"4th quarter, 8:18.0 remaining<br>Tre Jones made 2-pointer from 3 ft<br>Chicago now trails 92-107"
top:113px;left:5px;,"4th quarter, 8:00.0 remaining<br>Tre Jones missed 3-pointer from 25 ft<br>Chicago trails 92-109"
top:44px;left:252px;,"4th quarter, 7:42.0 remaining<br>Tre Jones made 2-pointer from 2 ft<br>Chicago now trails 94-112"
top:48px;left:254px;,"4th quarter, 7:13.0 remaining<br>Rob Dillingham missed 2-pointer from 2 ft<br>Chicago trails 94-114"
top:44px;left:233px;,"4th quarter, 7:11.0 remaining<br>Tre Jones made 2-pointer from 2 ft<br>Chicago now trails 96-114"
top:43px;left:223px;,"4th quarter, 6:45.0 remaining<br>Collin Sexton missed 2-pointer from 2 ft<br>Chicago trails 96-116"
top:38px;left:252px;,"4th quarter, 6:27.0 remaining<br>Collin Sexton made 2-pointer from 1 ft<br>Chicago now trails 98-116"
top:31px;left:5px;,"4th quarter, 5:54.0 remaining<br>Tre Jones missed 3-pointer from 24 ft<br>Chicago trails 98-119"
top:295px;left:177px;,"4th quarter, 5:49.0 remaining<br>Josh Giddey missed 3-pointer from 27 ft<br>Chicago trails 98-119"
top:47px;left:219px;,"4th quarter, 5:14.0 remaining<br>Tre Jones made 2-pointer from 3 ft<br>Chicago now trails 102-119"
top:68px;left:222px;,"4th quarter, 4:41.0 remaining<br>Josh Giddey missed 2-pointer from 4 ft<br>Chicago trails 102-122"
top:55px;left:250px;,"4th quarter, 4:05.0 remaining<br>Leonard Miller missed 2-pointer from 3 ft<br>Chicago trails 102-124"
top:47px;left:238px;,"4th quarter, 3:43.0 remaining<br>Rob Dillingham made 2-pointer from 2 ft<br>Chicago now trails 104-126"
top:157px;left:12px;,"4th quarter, 2:55.0 remaining<br>Matas Buzelis missed 3-pointer from 26 ft<br>Chicago trails 106-126"
top:44px;left:223px;,"4th quarter, 2:32.0 remaining<br>Leonard Miller made 2-pointer from 2 ft<br>Chicago now trails 108-128"
top:82px;left:244px;,"4th quarter, 1:36.0 remaining<br>Lachlan Olbrich made 2-pointer from 5 ft<br>Chicago now trails 111-130"
top:244px;left:88px;,"4th quarter, 1:14.0 remaining<br>Rob Dillingham missed 3-pointer from 26 ft<br>Chicago trails 111-130"
top:198px;left:434px;,"4th quarter, 1:07.0 remaining<br>Patrick Williams missed 3-pointer from 26 ft<br>Chicago trails 111-130"
top:98px;left:167px;,"4th quarter, 0:26.0 remaining<br>Patrick Williams missed 2-pointer from 10 ft<br>Chicago trails 113-131"
