style,tip
top:303px;left:249px;,"1st quarter, 11:28.0 remaining<br>Cason Wallace made 3-pointer from 27 ft<br>Oklahoma City now leads 3-2"
top:195px;left:39px;,"1st quarter, 11:05.0 remaining<br>Cason Wallace missed 3-pointer from 26 ft<br>Oklahoma City trails 3-5"
top:15px;left:180px;,"1st quarter, 10:01.0 remaining<br>Jalen Williams missed 2-pointer from 6 ft<br>Oklahoma City trails 4-8"
top:231px;left:398px;,"1st quarter, 9:57.0 remaining<br>Luguentz Dort made 3-pointer from 26 ft<br>Oklahoma City now trails 7-8"
top:100px;left:103px;,"1st quarter, 9:38.0 remaining<br>Shai Gilgeous-Alexander made 2-pointer from 15 ft<br>Oklahoma City now leads 9-8"
top:55px;left:292px;,"1st quarter, 9:10.0 remaining<br>Jalen Williams missed 2-pointer from 6 ft<br>Oklahoma City trails 9-11"
top:237px;left:82px;,"1st quarter, 9:01.0 remaining<br>Shai Gilgeous-Alexander missed 3-pointer from 26 ft<br>Oklahoma City trails 9-11"
top:19px;left:101px;,"1st quarter, 8:25.0 remaining<br>Shai Gilgeous-Alexander made 2-pointer from 14 ft<br>Oklahoma City now tied 11-11"
top:49px;left:468px;,"1st quarter, 8:04.0 remaining<br>Luguentz Dort missed 3-pointer from 23 ft<br>Oklahoma City tied 11-11"
top:39px;left:219px;,"1st quarter, 7:44.0 remaining<br>Cason Wallace made 2-pointer from 2 ft<br>Oklahoma City now trails 13-14"
top:19px;left:122px;,"1st quarter, 7:14.0 remaining<br>Shai Gilgeous-Alexander missed 2-pointer from 12 ft<br>Oklahoma City trails 13-14"
top:39px;left:244px;,"1st quarter, 7:00.0 remaining<br>Jalen Williams made 2-pointer from 1 ft<br>Oklahoma City now leads 15-14"
top:63px;left:263px;,"1st quarter, 6:24.0 remaining<br>Jalen Williams made 2-pointer from 4 ft<br>Oklahoma City now leads 17-14"
top:283px;left:135px;,"1st quarter, 5:53.0 remaining<br>Shai Gilgeous-Alexander missed 3-pointer from 27 ft<br>Oklahoma City tied 17-17"
top:184px;left:244px;,"1st quarter, 5:16.0 remaining<br>Shai Gilgeous-Alexander missed 2-pointer from 15 ft<br>Oklahoma City tied 17-17"
