Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Cooper Flagg,37:31,.611,.529,.059,.353,3.1,5.8,4.5,10.5,5.1,0.0,13.3,26.0,109,91,6.2
Naji Marshall,32:55,.556,.500,.143,.500,0.0,9.9,5.1,17.0,7.2,0.0,5.5,23.7,111,84,8.0
P.J. Washington,27:19,.417,.417,.333,.000,4.3,16.0,10.3,0.0,0.0,0.0,14.3,11.1,76,98,-6.6
Max Christie,25:20,.282,.188,.625,.250,0.0,12.9,6.7,11.1,1.9,7.7,18.4,18.5,57,91,-5.5
Dwight Powell,20:45,.515,.667,.000,.667,5.6,21.0,13.6,22.1,2.3,0.0,43.6,14.3,74,90,-3.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Marvin Bagley III,27:15,.825,.893,.357,.286,12.9,24.0,18.7,31.8,1.7,3.6,6.0,26.5,147,88,20.2
Brandon Williams,20:02,.525,.333,.167,1.333,0.0,5.4,2.8,38.4,0.0,4.9,17.4,24.8,105,99,-1.6
Klay Thompson,18:03,.335,.300,.800,.100,0.0,12.1,6.3,26.0,0.0,5.4,8.7,27.4,74,97,-3.4
Ryan Nembhard,11:59,.000,.000,.000,.000,0.0,27.3,14.1,22.3,0.0,0.0,66.7,10.8,31,93,-15.1
AJ Johnson,9:59,.000,.000,.000,.000,0.0,0.0,0.0,13.4,0.0,0.0,0.0,8.6,28,104,-9.6
Tyler Smith,8:52,,,,,13.2,24.6,19.1,0.0,0.0,0.0,100.0,4.9,53,94,-8.7
Khris Middleton,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.531,.488,.296,.370,17.1,68.2,43.5,66.7,11.8,10.2,15.3,100.0,98.7,91.8,
