Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Toumani Camara,38:39,.444,.444,.667,.000,2.8,12.1,7.3,13.7,1.2,2.2,10.0,10.5,103,100,-0.2
Deni Avdija,37:47,.527,.533,.200,.600,0.0,27.9,13.5,36.6,1.3,4.5,20.9,25.7,95,96,4.1
Jrue Holiday,35:04,.554,.500,.474,.211,3.1,10.0,6.4,20.5,1.4,0.0,16.2,28.6,105,103,3.7
Donovan Clingan,31:33,.279,.222,.111,.444,20.7,40.8,30.4,0.0,0.0,2.7,31.7,20.2,57,98,-12.8
Jerami Grant,29:02,.715,.625,.500,1.500,11.3,4.0,7.8,0.0,1.6,5.8,7.0,19.9,147,98,12.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Scoot Henderson,22:03,.379,.318,.455,.182,0.0,10.6,5.1,26.7,6.4,0.0,20.2,27.3,77,92,-0.6
Matisse Thybulle,15:35,.515,.333,.333,.667,0.0,0.0,0.0,11.0,3.0,0.0,34.0,15.3,79,101,-3.3
Kris Murray,11:52,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,6.8,0,106,-16.2
Robert Williams,10:50,.667,.667,.000,.000,20.1,32.4,26.1,0.0,0.0,7.8,0.0,11.2,150,95,4.0
Sidy Cissoko,7:35,.000,.000,.500,.000,14.4,15.4,14.9,0.0,0.0,0.0,33.3,16.0,17,103,-23.0
VÃ­t KrejÄÃ­,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Damian Lillard,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Caleb Love,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Shaedon Sharpe,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Blake Wesley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.497,.443,.380,.418,31.8,82.9,56.5,51.6,7.9,12.3,21.1,100.0,91.8,98.7,
