Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Cooper Flagg,37:31,9,17,.529,0,1,.000,6,6,1.000,1,2,3,2,4,0,3,0,24,19.4,+3
Naji Marshall,32:55,7,14,.500,0,2,.000,5,7,.714,0,3,3,3,5,0,1,3,19,17.0,+7
P.J. Washington,27:19,2,6,.333,1,2,.500,0,0,,1,4,5,0,0,0,1,1,5,2.1,-7
Max Christie,25:20,1,8,.125,1,5,.200,2,2,1.000,0,3,3,2,1,2,2,2,5,1.7,-4
Dwight Powell,20:45,2,3,.667,0,0,,0,2,.000,1,4,5,3,1,0,3,3,4,2.7,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Marvin Bagley III,27:15,11,14,.786,3,5,.600,1,4,.250,3,6,9,3,1,1,1,5,26,24.1,+6
Brandon Williams,20:02,2,6,.333,0,1,.000,6,8,.750,0,1,1,5,0,1,2,5,10,6.3,+7
Klay Thompson,18:03,2,10,.200,2,8,.250,1,1,1.000,0,2,2,3,0,1,1,1,7,2.8,+12
Ryan Nembhard,11:59,0,1,.000,0,0,,0,0,,0,3,3,2,0,0,2,1,0,-0.8,+8
AJ Johnson,9:59,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-0.7,-1
Tyler Smith,8:52,0,0,,0,0,,0,0,,1,2,3,0,0,0,1,1,0,-0.1,+3
Khris Middleton,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,36,81,.444,7,24,.292,21,30,.700,7,30,37,24,12,5,17,22,100,,
