Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Toumani Camara,38:39,3,9,.333,2,6,.333,0,0,,1,4,5,3,1,1,1,5,8,5.6,-2
Deni Avdija,37:47,8,15,.533,0,3,.000,4,9,.444,0,9,9,6,1,2,5,2,20,14.2,-8
Jrue Holiday,35:04,8,19,.421,3,9,.333,4,4,1.000,1,3,4,3,1,0,4,0,23,13.6,+5
Donovan Clingan,31:33,2,9,.222,0,1,.000,2,4,.500,6,11,17,0,0,1,5,4,6,1.3,-4
Jerami Grant,29:02,4,8,.500,2,4,.500,9,12,.750,3,1,4,0,1,2,1,2,19,16.8,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Scoot Henderson,22:03,3,11,.273,1,5,.200,2,2,1.000,0,2,2,3,3,0,3,2,9,4.4,-12
Matisse Thybulle,15:35,1,3,.333,0,1,.000,2,2,1.000,0,0,0,1,1,0,2,0,4,2.0,0
Kris Murray,11:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,3,0,-3.2,-3
Robert Williams,10:50,2,3,.667,0,0,,0,0,,2,3,5,0,0,1,0,2,4,4.9,-2
Sidy Cissoko,7:35,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,3,0,-2.6,-5
VÃ­t KrejÄÃ­,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Damian Lillard,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Caleb Love,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Shaedon Sharpe,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Blake Wesley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,31,79,.392,8,30,.267,23,33,.697,14,34,48,16,8,7,25,23,93,,
