1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Dallas,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Portland
12:00.0,Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession),Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession),Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession),Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession),Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession)
11:44.0,P. Washington misses 3-pt jump shot from 23 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by D. Avdija
11:34.0,,,0-0,,J. Grant misses 2-pt jump shot from 8 ft
11:33.0,Defensive rebound by D. Powell,,0-0,,
11:13.0,C. Flagg makes 2-pt layup from 1 ft (assist by D. Powell),+2,2-0,,
10:48.0,,,2-0,,Turnover by D. Clingan (out of bounds lost ball)
10:25.0,D. Powell makes 2-pt layup from 1 ft (assist by M. Christie),+2,4-0,,
10:19.0,,,4-0,,Shooting foul by M. Christie (drawn by J. Grant)
10:19.0,,,4-1,+1,J. Grant makes free throw 1 of 2
10:19.0,,,4-2,+1,J. Grant makes free throw 2 of 2
10:11.0,Turnover by D. Powell (bad pass),,4-2,,
10:04.0,,,4-2,,Shooting foul by D. Powell (drawn by D. Avdija)
10:04.0,,,4-2,,D. Avdija misses free throw 1 of 2
10:04.0,,,4-2,,Offensive rebound by Team
10:04.0,,,4-3,+1,D. Avdija makes free throw 2 of 2
9:52.0,C. Flagg makes 2-pt jump shot from 6 ft,+2,6-3,,
9:44.0,,,6-6,+3,J. Holiday makes 3-pt jump shot from 26 ft
9:30.0,C. Flagg misses 2-pt jump shot from 20 ft,,6-6,,
9:26.0,,,6-6,,Defensive rebound by D. Clingan
9:19.0,,,6-6,,D. Clingan misses 3-pt jump shot from 26 ft
9:16.0,Defensive rebound by M. Christie,,6-6,,
8:58.0,M. Christie misses 2-pt jump shot from 18 ft,,6-6,,
8:56.0,,,6-6,,Defensive rebound by D. Avdija
8:47.0,,,6-9,+3,J. Grant makes 3-pt jump shot from 23 ft (assist by D. Avdija)
8:25.0,N. Marshall misses 2-pt jump shot from 13 ft,,6-9,,
8:23.0,,,6-9,,Defensive rebound by J. Holiday
8:16.0,,,6-9,,Turnover by J. Grant (out of bounds lost ball)
8:08.0,C. Flagg makes 2-pt dunk from 1 ft (assist by N. Marshall),+2,8-9,,
7:48.0,,,8-9,,J. Holiday misses 3-pt jump shot from 26 ft (block by M. Christie)
7:46.0,Defensive rebound by P. Washington,,8-9,,
7:35.0,D. Powell misses 2-pt layup from 3 ft,,8-9,,
7:33.0,,,8-9,,Defensive rebound by D. Clingan
7:28.0,,,8-9,,D. Avdija misses 2-pt jump shot from 4 ft
7:27.0,Defensive rebound by D. Powell,,8-9,,
7:18.0,N. Marshall makes 2-pt layup from 2 ft,+2,10-9,,
7:02.0,,,10-9,,D. Avdija misses 3-pt jump shot from 26 ft
7:00.0,,,10-9,,Offensive rebound by D. Clingan
6:56.0,,,10-12,+3,T. Camara makes 3-pt jump shot from 23 ft (assist by J. Holiday)
6:31.0,Shooting foul by D. Avdija (drawn by N. Marshall),,10-12,,
6:31.0,,,10-12,,Portland full timeout
6:31.0,M. Bagley enters the game for D. Powell,,10-12,,
6:31.0,,,10-12,,S. Henderson enters the game for J. Holiday
6:31.0,N. Marshall makes free throw 1 of 2,+1,11-12,,
6:31.0,N. Marshall makes free throw 2 of 2,+1,12-12,,
6:20.0,,,12-14,+2,D. Avdija makes 2-pt layup from 1 ft (assist by S. Henderson)
6:05.0,M. Bagley misses 3-pt jump shot from 26 ft,,12-14,,
6:00.0,,,12-14,,Defensive rebound by T. Camara
5:53.0,,,12-14,,T. Camara misses 3-pt jump shot from 29 ft
5:51.0,Defensive rebound by N. Marshall,,12-14,,
5:39.0,C. Flagg makes 2-pt layup from 1 ft (assist by N. Marshall),+2,14-14,,
