style,tip
top:42px;left:8px;,"1st quarter, 11:44.0 remaining<br>P.J. Washington missed 3-pointer from 23 ft<br>Dallas tied 0-0"
top:29px;left:252px;,"1st quarter, 11:13.0 remaining<br>Cooper Flagg made 2-pointer from 1 ft<br>Dallas now leads 2-0"
top:39px;left:248px;,"1st quarter, 10:25.0 remaining<br>Dwight Powell made 2-pointer from 1 ft<br>Dallas now leads 4-0"
top:88px;left:236px;,"1st quarter, 9:52.0 remaining<br>Cooper Flagg made 2-pointer from 6 ft<br>Dallas now leads 6-3"
top:215px;left:328px;,"1st quarter, 9:30.0 remaining<br>Cooper Flagg missed 2-pointer from 20 ft<br>Dallas tied 6-6"
top:67px;left:416px;,"1st quarter, 8:58.0 remaining<br>Max Christie missed 2-pointer from 18 ft<br>Dallas tied 6-6"
top:123px;left:152px;,"1st quarter, 8:25.0 remaining<br>Naji Marshall missed 2-pointer from 13 ft<br>Dallas trails 6-9"
top:38px;left:231px;,"1st quarter, 8:08.0 remaining<br>Cooper Flagg made 2-pointer from 1 ft<br>Dallas now trails 8-9"
top:36px;left:207px;,"1st quarter, 7:35.0 remaining<br>Dwight Powell missed 2-pointer from 3 ft<br>Dallas trails 8-9"
top:48px;left:256px;,"1st quarter, 7:18.0 remaining<br>Naji Marshall made 2-pointer from 2 ft<br>Dallas now leads 10-9"
top:288px;left:269px;,"1st quarter, 6:05.0 remaining<br>Marvin Bagley III missed 3-pointer from 26 ft<br>Dallas trails 12-14"
top:29px;left:249px;,"1st quarter, 5:39.0 remaining<br>Cooper Flagg made 2-pointer from 1 ft<br>Dallas now tied 14-14"
top:129px;left:293px;,"1st quarter, 5:06.0 remaining<br>P.J. Washington missed 2-pointer from 11 ft<br>Dallas tied 14-14"
top:68px;left:257px;,"1st quarter, 4:53.0 remaining<br>Marvin Bagley III made 2-pointer from 4 ft<br>Dallas now leads 16-14"
top:278px;left:351px;,"1st quarter, 4:21.0 remaining<br>Max Christie missed 3-pointer from 27 ft<br>Dallas tied 16-16"
top:36px;left:248px;,"1st quarter, 4:18.0 remaining<br>Marvin Bagley III made 2-pointer from 1 ft<br>Dallas now leads 18-16"
top:49px;left:469px;,"1st quarter, 3:55.0 remaining<br>Max Christie made 3-pointer from 23 ft<br>Dallas now leads 21-16"
top:147px;left:253px;,"1st quarter, 3:29.0 remaining<br>Marvin Bagley III made 2-pointer from 12 ft<br>Dallas now leads 23-16"
top:37px;left:473px;,"1st quarter, 3:09.0 remaining<br>Klay Thompson made 3-pointer from 23 ft<br>Dallas now leads 26-16"
top:34px;left:243px;,"1st quarter, 2:45.0 remaining<br>AJ Johnson missed 2-pointer from 1 ft<br>Dallas leads 26-16"
top:38px;left:217px;,"1st quarter, 1:55.0 remaining<br>Marvin Bagley III missed 2-pointer from 2 ft<br>Dallas leads 27-19"
top:49px;left:12px;,"1st quarter, 1:53.0 remaining<br>Klay Thompson missed 3-pointer from 23 ft<br>Dallas leads 27-19"
top:43px;left:17px;,"1st quarter, 1:25.0 remaining<br>Marvin Bagley III made 3-pointer from 22 ft<br>Dallas now leads 30-22"
