style,tip
top:113px;left:252px;,"1st quarter, 11:34.0 remaining<br>Jerami Grant missed 2-pointer from 8 ft<br>Portland tied 0-0"
top:248px;left:96px;,"1st quarter, 9:44.0 remaining<br>Jrue Holiday made 3-pointer from 26 ft<br>Portland now tied 6-6"
top:288px;left:212px;,"1st quarter, 9:19.0 remaining<br>Donovan Clingan missed 3-pointer from 26 ft<br>Portland tied 6-6"
top:39px;left:468px;,"1st quarter, 8:47.0 remaining<br>Jerami Grant made 3-pointer from 23 ft<br>Portland now leads 9-6"
top:187px;left:448px;,"1st quarter, 7:48.0 remaining<br>Jrue Holiday missed 3-pointer from 26 ft<br>Portland leads 9-8"
top:69px;left:254px;,"1st quarter, 7:28.0 remaining<br>Deni Avdija missed 2-pointer from 4 ft<br>Portland leads 9-8"
top:228px;left:69px;,"1st quarter, 7:02.0 remaining<br>Deni Avdija missed 3-pointer from 26 ft<br>Portland trails 9-10"
top:22px;left:7px;,"1st quarter, 6:56.0 remaining<br>Toumani Camara made 3-pointer from 23 ft<br>Portland now leads 12-10"
top:38px;left:243px;,"1st quarter, 6:20.0 remaining<br>Deni Avdija made 2-pointer from 1 ft<br>Portland now leads 14-12"
top:263px;left:67px;,"1st quarter, 5:53.0 remaining<br>Toumani Camara missed 3-pointer from 29 ft<br>Portland leads 14-12"
top:63px;left:224px;,"1st quarter, 5:18.0 remaining<br>Scoot Henderson missed 2-pointer from 4 ft<br>Portland tied 14-14"
top:30px;left:240px;,"1st quarter, 5:16.0 remaining<br>Donovan Clingan missed 2-pointer from 0 ft<br>Portland tied 14-14"
top:23px;left:252px;,"1st quarter, 4:47.0 remaining<br>Jerami Grant missed 2-pointer from 1 ft<br>Portland trails 14-16"
top:121px;left:385px;,"1st quarter, 4:39.0 remaining<br>Scoot Henderson made 2-pointer from 17 ft<br>Portland now tied 16-16"
top:136px;left:463px;,"1st quarter, 2:37.0 remaining<br>Toumani Camara made 3-pointer from 25 ft<br>Portland now trails 19-26"
top:95px;left:276px;,"1st quarter, 2:08.0 remaining<br>Jrue Holiday missed 2-pointer from 7 ft<br>Portland trails 19-27"
top:275px;left:323px;,"1st quarter, 1:40.0 remaining<br>Jrue Holiday made 3-pointer from 26 ft<br>Portland now trails 22-27"
top:285px;left:252px;,"1st quarter, 1:12.0 remaining<br>Scoot Henderson missed 3-pointer from 26 ft<br>Portland trails 22-30"
top:58px;left:238px;,"1st quarter, 0:32.0 remaining<br>Jrue Holiday missed 2-pointer from 3 ft<br>Portland trails 22-32"
top:179px;left:447px;,"1st quarter, 0:01.0 remaining<br>Toumani Camara missed 3-pointer from 25 ft<br>Portland trails 22-32"
top:164px;left:315px;,"2nd quarter, 11:47.0 remaining<br>Jrue Holiday made 2-pointer from 15 ft<br>Portland now trails 24-32"
top:105px;left:233px;,"2nd quarter, 11:17.0 remaining<br>Jrue Holiday made 2-pointer from 8 ft<br>Portland now trails 26-33"
top:223px;left:54px;,"2nd quarter, 10:39.0 remaining<br>Jrue Holiday missed 3-pointer from 27 ft<br>Portland trails 26-33"
top:96px;left:243px;,"2nd quarter, 9:46.0 remaining<br>Jerami Grant made 2-pointer from 7 ft<br>Portland now trails 28-33"
top:36px;left:255px;,"2nd quarter, 9:17.0 remaining<br>Scoot Henderson missed 2-pointer from 2 ft<br>Portland trails 28-33"
top:60px;left:244px;,"2nd quarter, 9:15.0 remaining<br>Robert Williams missed 2-pointer from 3 ft<br>Portland trails 28-33"
top:37px;left:232px;,"2nd quarter, 8:38.0 remaining<br>Jerami Grant made 2-pointer from 1 ft<br>Portland now trails 30-38"
top:72px;left:229px;,"2nd quarter, 8:03.0 remaining<br>Jrue Holiday missed 2-pointer from 4 ft<br>Portland trails 30-40"
top:36px;left:231px;,"2nd quarter, 6:41.0 remaining<br>Donovan Clingan missed 2-pointer from 1 ft<br>Portland trails 32-45"
top:98px;left:197px;,"2nd quarter, 6:15.0 remaining<br>Deni Avdija made 2-pointer from 8 ft<br>Portland now trails 34-47"
top:134px;left:176px;,"2nd quarter, 5:13.0 remaining<br>Donovan Clingan missed 2-pointer from 12 ft<br>Portland trails 36-50"
top:265px;left:81px;,"2nd quarter, 4:55.0 remaining<br>Toumani Camara missed 3-pointer from 28 ft<br>Portland trails 36-50"
top:142px;left:281px;,"2nd quarter, 3:19.0 remaining<br>Deni Avdija made 2-pointer from 12 ft<br>Portland now trails 42-54"
top:42px;left:468px;,"2nd quarter, 2:35.0 remaining<br>Deni Avdija missed 3-pointer from 23 ft<br>Portland trails 43-54"
top:36px;left:223px;,"2nd quarter, 2:05.0 remaining<br>Robert Williams made 2-pointer from 2 ft<br>Portland now trails 45-54"
