Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Zion Williamson,30:41,.745,.692,.000,.308,3.3,22.9,12.3,25.1,0.0,0.0,11.9,22.2,140,123,5.7
Saddiq Bey,30:08,.690,.625,.500,.333,6.6,3.9,5.4,10.8,0.0,2.5,12.7,21.3,132,126,3.9
Jeremiah Fears,27:34,.363,.292,.417,.333,3.6,12.7,7.8,15.5,0.0,2.7,6.8,21.8,90,124,-8.5
Herbert Jones,27:24,.125,.125,.500,.000,3.6,4.3,3.9,9.4,5.3,5.4,11.1,13.4,46,113,-6.1
Yves Missi,18:48,.595,.600,.000,.400,5.3,6.2,5.7,8.1,0.0,3.9,14.5,14.9,111,125,-3.3
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jordan Poole,23:24,.436,.333,.667,.333,0.0,10.0,4.6,37.5,0.0,0.0,12.7,27.4,100,126,-5.0
Derik Queen,22:32,.492,.455,.000,.455,8.9,31.2,19.1,0.0,2.2,3.3,13.2,27.4,95,113,-5.3
Jordan Hawkins,21:27,.313,.313,.500,.000,0.0,5.5,2.5,19.4,2.3,0.0,0.0,15.2,89,123,-4.6
DeAndre Jordan,19:07,.680,.600,.000,.400,20.9,18.4,19.7,0.0,0.0,3.9,0.0,12.5,160,121,0.8
Karlo MatkoviÄ,16:42,.500,.500,.250,.000,12.0,28.0,19.4,0.0,0.0,4.4,33.3,14.6,78,118,-10.1
Micah Peavy,2:13,.667,.667,.000,.000,45.1,0.0,24.3,0.0,43.8,0.0,0.0,55.1,153,34,78.5
Kevon Looney,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.510,.457,.301,.269,31.3,68.3,48.3,53.8,7.1,12.3,11.9,100.0,107.1,120.3,
