Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Scottie Barnes,36:29,.751,.714,.000,.214,3.2,13.7,8.9,45.3,2.7,6.1,20.7,22.1,136,103,14.6
Ja'Kobe Walter,33:52,.571,.571,.714,.286,0.0,3.0,1.6,14.4,0.0,0.0,6.0,20.7,119,117,-2.4
RJ Barrett,31:11,.605,.571,.429,.143,11.3,9.6,10.4,16.5,0.0,0.0,11.8,22.6,123,114,-2.4
Brandon Ingram,30:33,.454,.423,.231,.231,0.0,19.6,10.6,7.8,1.6,2.4,6.5,20.9,97,105,-5.3
Jakob Poeltl,29:33,.818,.818,.000,.000,15.8,23.7,20.1,14.6,1.6,2.5,8.3,17.0,157,103,7.5
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jamal Shead,24:52,.000,.000,.750,.000,0.0,0.0,0.0,32.2,3.9,0.0,20.0,8.4,83,110,-6.3
Sandro Mamukelashvili,21:25,.605,.607,.357,.143,10.9,32.7,22.7,13.9,2.3,3.4,0.0,29.0,132,98,11.5
Collin Murray-Boyles,12:11,.666,.600,.000,.800,9.6,8.2,8.9,0.0,0.0,6.1,0.0,23.2,145,111,2.0
A.J. Lawson,5:19,,,,,0.0,37.6,20.3,0.0,0.0,0.0,,0.0,0,103,-6.4
Jamison Battle,4:03,,,,,0.0,24.7,13.3,0.0,12.0,18.2,,0.0,0,71,4.7
Jonathan Mogbo,3:53,.000,.000,.000,.000,30.1,0.0,13.9,25.8,0.0,0.0,0.0,10.8,103,118,-9.3
Gradey Dick,2:13,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,37.7,0,118,-49.3
Markelle Fultz,2:13,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,56.5,59,118,-40.1
Alijah Martin,2:13,,,,,52.8,0.0,24.3,0.0,0.0,0.0,100.0,18.8,53,118,-20.2
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.590,.570,.301,.194,31.7,68.8,51.7,75.0,8.1,12.3,12.2,100.0,120.3,107.1,
