Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Zion Williamson,30:41,9,13,.692,0,0,,4,4,1.000,1,6,7,4,0,0,2,2,22,19.0,-7
Saddiq Bey,30:08,6,12,.500,3,6,.500,4,4,1.000,2,1,3,2,0,1,2,1,19,14.4,-9
Jeremiah Fears,27:34,3,12,.250,1,5,.200,3,4,.750,1,3,4,3,0,1,1,3,10,4.6,-6
Herbert Jones,27:24,1,8,.125,0,4,.000,0,0,,1,1,2,2,3,2,1,2,2,1.8,-8
Yves Missi,18:48,3,5,.600,0,0,,1,2,.500,1,1,2,1,0,1,1,1,7,5.3,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jordan Poole,23:24,3,12,.250,2,8,.250,4,4,1.000,0,2,2,6,0,0,2,3,12,6.4,-15
Derik Queen,22:32,5,11,.455,0,0,,3,5,.600,2,6,8,0,1,1,2,3,13,8.2,-6
Jordan Hawkins,21:27,2,8,.250,1,4,.250,0,0,,0,1,1,3,1,0,0,1,5,3.2,-2
DeAndre Jordan,19:07,3,5,.600,0,0,,2,2,1.000,4,3,7,0,0,1,0,1,8,9.7,-4
Karlo MatkoviÄ,16:42,2,4,.500,0,1,.000,0,0,,2,4,6,0,0,1,2,1,4,2.9,-9
Micah Peavy,2:13,2,3,.667,0,0,,0,0,,1,0,1,0,2,0,0,0,4,5.4,+7
Kevon Looney,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,93,.419,7,28,.250,21,25,.840,15,28,43,21,7,8,14,18,106,,
