Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Scottie Barnes,36:29,10,14,.714,0,0,,3,3,1.000,1,5,6,12,2,3,4,3,23,26.7,+16
Ja'Kobe Walter,33:52,6,14,.429,4,10,.400,2,4,.500,0,1,1,4,0,0,1,2,18,11.1,+22
RJ Barrett,31:11,7,14,.500,2,6,.333,2,2,1.000,3,3,6,4,0,0,2,5,18,12.8,+26
Brandon Ingram,30:33,5,13,.385,1,3,.333,2,3,.667,0,6,6,2,1,1,1,1,13,9.0,+10
Jakob Poeltl,29:33,9,11,.818,0,0,,0,0,,4,7,11,3,1,1,1,4,18,20.0,+15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jamal Shead,24:52,0,4,.000,0,3,.000,0,0,,0,0,0,8,2,0,1,2,0,3.0,+13
Sandro Mamukelashvili,21:25,7,14,.500,3,5,.600,1,2,.500,2,7,9,2,1,1,0,1,18,16.8,+9
Collin Murray-Boyles,12:11,3,5,.600,0,0,,3,4,.750,1,1,2,0,0,1,0,1,9,7.6,+2
A.J. Lawson,5:19,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,-8
Jamison Battle,4:03,0,0,,0,0,,0,0,,0,1,1,0,1,1,0,3,0,0.8,-9
Jonathan Mogbo,3:53,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0,0.3,-10
Markelle Fultz,2:13,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-0.4,-7
Gradey Dick,2:13,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-7
Alijah Martin,2:13,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-0.3,-7
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,48,93,.516,10,28,.357,13,18,.722,13,33,46,36,8,8,14,24,119,,
