1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,New Orleans,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Toronto
12:00.0,Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession),Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession),Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession),Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession),Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession)
11:45.0,,,0-0,,Turnover by R. Barrett (lost ball; steal by H. Jones)
11:33.0,Z. Williamson makes 2-pt layup from 1 ft,+2,2-0,,
11:25.0,,,2-2,+2,B. Ingram makes 2-pt jump shot from 16 ft
11:05.0,Z. Williamson misses 2-pt jump shot from 5 ft (block by S. Barnes),,2-2,,
10:59.0,Offensive rebound by Y. Missi,,2-2,,
10:58.0,J. Fears misses 3-pt jump shot from 25 ft,,2-2,,
10:58.0,,,2-2,,Defensive rebound by R. Barrett
10:50.0,,,2-4,+2,J. Poeltl makes 2-pt layup from 2 ft (assist by R. Barrett)
10:40.0,S. Bey misses 2-pt jump shot from 11 ft,,2-4,,
10:40.0,,,2-4,,Defensive rebound by J. Poeltl
10:28.0,,,2-6,+2,S. Barnes makes 2-pt jump shot from 16 ft
10:00.0,S. Bey makes 3-pt jump shot from 28 ft (assist by Y. Missi),+3,5-6,,
9:42.0,,,5-6,,Shooting foul by J. Fears (drawn by J. Walter)
9:42.0,,,5-7,+1,J. Walter makes free throw 1 of 2
9:42.0,,,5-7,,J. Walter misses free throw 2 of 2
9:40.0,Defensive rebound by Z. Williamson,,5-7,,
9:17.0,J. Fears makes 2-pt jump shot from 13 ft (assist by S. Bey),+2,7-7,,
8:59.0,,,7-9,+2,S. Barnes makes 2-pt dunk at rim (assist by J. Walter)
8:46.0,H. Jones misses 2-pt jump shot from 5 ft (block by S. Barnes),,7-9,,
8:44.0,,,7-9,,Defensive rebound by B. Ingram
8:33.0,,,7-12,+3,J. Walter makes 3-pt jump shot from 24 ft (assist by R. Barrett)
8:18.0,S. Bey misses 3-pt jump shot from 28 ft,,7-12,,
8:14.0,,,7-12,,Defensive rebound by S. Barnes
8:06.0,,,7-12,,R. Barrett misses 2-pt jump shot from 6 ft (block by S. Bey)
8:03.0,,,7-12,,Offensive rebound by R. Barrett
7:59.0,,,7-12,,J. Walter misses 3-pt jump shot from 25 ft
7:56.0,,,7-12,,Offensive rebound by R. Barrett
7:54.0,,,7-14,+2,R. Barrett makes 2-pt dunk from 1 ft
7:54.0,New Orleans full timeout,,7-14,,
7:36.0,Z. Williamson misses 2-pt layup from 3 ft,,7-14,,
7:31.0,,,7-14,,Defensive rebound by J. Poeltl
7:16.0,,,7-14,,B. Ingram misses 2-pt jump shot from 9 ft
7:14.0,Defensive rebound by Z. Williamson,,7-14,,
7:06.0,Shooting foul by J. Poeltl (drawn by Y. Missi),,7-14,,
7:06.0,Y. Missi makes free throw 1 of 2,+1,8-14,,
7:06.0,J. Hawkins enters the game for S. Bey,,8-14,,
7:06.0,Y. Missi misses free throw 2 of 2,,8-14,,
7:04.0,,,8-14,,Defensive rebound by S. Barnes
6:58.0,,,8-16,+2,R. Barrett makes 2-pt dunk from 1 ft (assist by S. Barnes)
6:30.0,H. Jones makes 2-pt jump shot from 8 ft,+2,10-16,,
6:19.0,,,10-18,+2,J. Poeltl makes 2-pt layup from 1 ft (assist by R. Barrett)
6:09.0,Offensive foul by Y. Missi (drawn by S. Barnes),,10-18,,
6:09.0,Turnover by Y. Missi (offensive foul),,10-18,,
6:09.0,,,10-18,,C. Murray-Boyles enters the game for S. Barnes
6:09.0,,,10-18,,J. Shead enters the game for J. Walter
5:49.0,,,10-18,,R. Barrett misses 3-pt jump shot from 26 ft
5:46.0,Defensive rebound by Z. Williamson,,10-18,,
5:42.0,H. Jones misses 3-pt jump shot from 24 ft,,10-18,,
5:39.0,,,10-18,,Defensive rebound by R. Barrett
5:35.0,,,10-20,+2,C. Murray-Boyles makes 2-pt dunk from 1 ft (assist by J. Shead)
5:35.0,New Orleans full timeout,,10-20,,
5:35.0,D. Jordan enters the game for Y. Missi,,10-20,,
5:18.0,J. Hawkins misses 3-pt jump shot from 26 ft,,10-20,,
5:16.0,,,10-20,,Defensive rebound by Team
5:06.0,,,10-22,+2,B. Ingram makes 2-pt jump shot from 23 ft (assist by J. Poeltl)
4:45.0,J. Fears misses 3-pt jump shot from 29 ft,,10-22,,
4:42.0,,,10-22,,Defensive rebound by J. Poeltl
4:35.0,,,10-22,,Shooting foul by D. Jordan (drawn by C. Murray-Boyles)
4:35.0,,,10-22,,C. Murray-Boyles misses free throw 1 of 2
4:35.0,,,10-22,,Offensive rebound by Team
4:35.0,J. Poole enters the game for J. Fears,,10-22,,
4:35.0,,,10-22,,J. Battle enters the game for R. Barrett
4:35.0,,,10-22,,S. Mamukelashvili enters the game for J. Poeltl
4:35.0,,,10-23,+1,C. Murray-Boyles makes free throw 2 of 2
