style,tip
top:29px;left:254px;,"1st quarter, 11:33.0 remaining<br>Zion Williamson made 2-pointer from 1 ft<br>New Orleans now leads 2-0"
top:83px;left:228px;,"1st quarter, 11:05.0 remaining<br>Zion Williamson missed 2-pointer from 5 ft<br>New Orleans tied 2-2"
top:213px;left:68px;,"1st quarter, 10:58.0 remaining<br>Jeremiah Fears missed 3-pointer from 25 ft<br>New Orleans tied 2-2"
top:65px;left:133px;,"1st quarter, 10:40.0 remaining<br>Saddiq Bey missed 2-pointer from 11 ft<br>New Orleans trails 2-4"
top:278px;left:105px;,"1st quarter, 10:00.0 remaining<br>Saddiq Bey made 3-pointer from 28 ft<br>New Orleans now trails 5-6"
top:153px;left:296px;,"1st quarter, 9:17.0 remaining<br>Jeremiah Fears made 2-pointer from 13 ft<br>New Orleans now tied 7-7"
top:43px;left:191px;,"1st quarter, 8:46.0 remaining<br>Herbert Jones missed 2-pointer from 5 ft<br>New Orleans trails 7-9"
top:253px;left:71px;,"1st quarter, 8:18.0 remaining<br>Saddiq Bey missed 3-pointer from 28 ft<br>New Orleans trails 7-12"
top:39px;left:212px;,"1st quarter, 7:36.0 remaining<br>Zion Williamson missed 2-pointer from 3 ft<br>New Orleans trails 7-14"
top:96px;left:277px;,"1st quarter, 6:30.0 remaining<br>Herbert Jones made 2-pointer from 8 ft<br>New Orleans now trails 10-16"
top:63px;left:3px;,"1st quarter, 5:42.0 remaining<br>Herbert Jones missed 3-pointer from 24 ft<br>New Orleans trails 10-18"
top:293px;left:273px;,"1st quarter, 5:18.0 remaining<br>Jordan Hawkins missed 3-pointer from 26 ft<br>New Orleans trails 10-20"
top:277px;left:85px;,"1st quarter, 4:45.0 remaining<br>Jeremiah Fears missed 3-pointer from 29 ft<br>New Orleans trails 10-22"
top:62px;left:226px;,"1st quarter, 4:17.0 remaining<br>Herbert Jones missed 2-pointer from 3 ft<br>New Orleans trails 10-23"
top:31px;left:240px;,"1st quarter, 4:14.0 remaining<br>DeAndre Jordan made 2-pointer from 0 ft<br>New Orleans now trails 12-23"
top:44px;left:256px;,"1st quarter, 3:52.0 remaining<br>Zion Williamson made 2-pointer from 2 ft<br>New Orleans now trails 14-23"
top:279px;left:42px;,"1st quarter, 3:06.0 remaining<br>Jordan Poole made 3-pointer from 32 ft<br>New Orleans now trails 17-23"
top:38px;left:243px;,"1st quarter, 2:42.0 remaining<br>DeAndre Jordan made 2-pointer from 1 ft<br>New Orleans now trails 20-23"
top:328px;left:228px;,"1st quarter, 2:10.0 remaining<br>Jordan Poole missed 3-pointer from 30 ft<br>New Orleans trails 20-23"
top:41px;left:215px;,"1st quarter, 1:37.0 remaining<br>Zion Williamson made 2-pointer from 3 ft<br>New Orleans now trails 22-25"
top:144px;left:182px;,"1st quarter, 1:13.0 remaining<br>Derik Queen missed 2-pointer from 13 ft<br>New Orleans trails 22-27"
top:163px;left:24px;,"1st quarter, 1:08.0 remaining<br>Jordan Hawkins made 3-pointer from 25 ft<br>New Orleans now trails 25-27"
top:45px;left:267px;,"1st quarter, 0:52.0 remaining<br>Derik Queen missed 2-pointer from 3 ft<br>New Orleans trails 25-27"
top:31px;left:240px;,"1st quarter, 0:46.0 remaining<br>DeAndre Jordan missed 2-pointer from 0 ft<br>New Orleans trails 25-27"
top:201px;left:348px;,"1st quarter, 0:35.0 remaining<br>Jordan Poole missed 2-pointer from 20 ft<br>New Orleans trails 25-29"
top:62px;left:411px;,"1st quarter, 0:01.0 remaining<br>Jordan Hawkins missed 2-pointer from 17 ft<br>New Orleans trails 25-29"
top:75px;left:200px;,"2nd quarter, 11:09.0 remaining<br>Derik Queen missed 2-pointer from 6 ft<br>New Orleans trails 27-31"
top:53px;left:199px;,"2nd quarter, 10:43.0 remaining<br>Saddiq Bey missed 2-pointer from 5 ft<br>New Orleans trails 27-33"
top:48px;left:256px;,"2nd quarter, 10:09.0 remaining<br>Jordan Poole made 2-pointer from 2 ft<br>New Orleans now trails 29-36"
top:259px;left:77px;,"2nd quarter, 9:30.0 remaining<br>Jordan Poole missed 3-pointer from 28 ft<br>New Orleans trails 29-38"
top:41px;left:212px;,"2nd quarter, 9:01.0 remaining<br>Karlo MatkoviÄ made 2-pointer from 3 ft<br>New Orleans now trails 31-38"
top:277px;left:135px;,"2nd quarter, 8:12.0 remaining<br>Jordan Hawkins missed 3-pointer from 27 ft<br>New Orleans trails 31-42"
top:62px;left:210px;,"2nd quarter, 7:50.0 remaining<br>Jordan Hawkins missed 2-pointer from 4 ft<br>New Orleans trails 31-42"
top:247px;left:72px;,"2nd quarter, 7:35.0 remaining<br>Saddiq Bey missed 3-pointer from 27 ft<br>New Orleans trails 31-42"
top:41px;left:262px;,"2nd quarter, 7:26.0 remaining<br>Derik Queen made 2-pointer from 2 ft<br>New Orleans now trails 33-42"
top:54px;left:473px;,"2nd quarter, 6:36.0 remaining<br>Herbert Jones missed 3-pointer from 23 ft<br>New Orleans trails 33-44"
top:83px;left:2px;,"2nd quarter, 6:01.0 remaining<br>Jordan Poole missed 3-pointer from 24 ft<br>New Orleans trails 33-46"
top:251px;left:111px;,"2nd quarter, 5:31.0 remaining<br>Herbert Jones missed 3-pointer from 26 ft<br>New Orleans trails 33-48"
top:42px;left:248px;,"2nd quarter, 5:11.0 remaining<br>Jeremiah Fears missed 2-pointer from 1 ft<br>New Orleans trails 33-48"
top:42px;left:3px;,"2nd quarter, 4:46.0 remaining<br>Jeremiah Fears missed 3-pointer from 24 ft<br>New Orleans trails 33-50"
top:41px;left:469px;,"2nd quarter, 4:14.0 remaining<br>Karlo MatkoviÄ missed 3-pointer from 23 ft<br>New Orleans trails 33-52"
top:73px;left:243px;,"2nd quarter, 3:34.0 remaining<br>Zion Williamson missed 2-pointer from 4 ft<br>New Orleans trails 33-52"
top:55px;left:267px;,"2nd quarter, 2:35.0 remaining<br>Jeremiah Fears missed 2-pointer from 4 ft<br>New Orleans trails 33-52"
top:38px;left:263px;,"2nd quarter, 2:01.0 remaining<br>Yves Missi made 2-pointer from 2 ft<br>New Orleans now trails 35-54"
