style,tip
top:163px;left:155px;,"1st quarter, 11:25.0 remaining<br>Brandon Ingram made 2-pointer from 16 ft<br>Toronto now tied 2-2"
top:26px;left:263px;,"1st quarter, 10:50.0 remaining<br>Jakob Poeltl made 2-pointer from 2 ft<br>Toronto now leads 4-2"
top:141px;left:353px;,"1st quarter, 10:28.0 remaining<br>Scottie Barnes made 2-pointer from 16 ft<br>Toronto now leads 6-2"
top:32px;left:238px;,"1st quarter, 8:59.0 remaining<br>Scottie Barnes made 2-pointer from 0 ft<br>Toronto now leads 9-7"
top:29px;left:482px;,"1st quarter, 8:33.0 remaining<br>Ja'Kobe Walter made 3-pointer from 24 ft<br>Toronto now leads 12-7"
top:67px;left:197px;,"1st quarter, 8:06.0 remaining<br>RJ Barrett missed 2-pointer from 6 ft<br>Toronto leads 12-7"
top:260px;left:348px;,"1st quarter, 7:59.0 remaining<br>Ja'Kobe Walter missed 3-pointer from 25 ft<br>Toronto leads 12-7"
top:29px;left:254px;,"1st quarter, 7:54.0 remaining<br>RJ Barrett made 2-pointer from 1 ft<br>Toronto now leads 14-7"
top:31px;left:146px;,"1st quarter, 7:16.0 remaining<br>Brandon Ingram missed 2-pointer from 9 ft<br>Toronto leads 14-7"
top:32px;left:245px;,"1st quarter, 6:58.0 remaining<br>RJ Barrett made 2-pointer from 1 ft<br>Toronto now leads 16-8"
top:31px;left:233px;,"1st quarter, 6:19.0 remaining<br>Jakob Poeltl made 2-pointer from 1 ft<br>Toronto now leads 18-10"
top:203px;left:46px;,"1st quarter, 5:49.0 remaining<br>RJ Barrett missed 3-pointer from 26 ft<br>Toronto leads 18-10"
top:36px;left:250px;,"1st quarter, 5:35.0 remaining<br>Collin Murray-Boyles made 2-pointer from 1 ft<br>Toronto now leads 20-10"
top:252px;left:294px;,"1st quarter, 5:06.0 remaining<br>Brandon Ingram made 2-pointer from 23 ft<br>Toronto now leads 22-10"
top:34px;left:322px;,"1st quarter, 4:04.0 remaining<br>Sandro Mamukelashvili missed 2-pointer from 8 ft<br>Toronto leads 23-12"
top:249px;left:115px;,"1st quarter, 3:21.0 remaining<br>Brandon Ingram missed 3-pointer from 25 ft<br>Toronto leads 23-14"
top:242px;left:97px;,"1st quarter, 2:53.0 remaining<br>Sandro Mamukelashvili missed 3-pointer from 26 ft<br>Toronto leads 23-18"
top:128px;left:13px;,"1st quarter, 2:24.0 remaining<br>Sandro Mamukelashvili missed 3-pointer from 25 ft<br>Toronto leads 23-20"
top:29px;left:245px;,"1st quarter, 1:53.0 remaining<br>Scottie Barnes made 2-pointer from 1 ft<br>Toronto now leads 25-20"
top:46px;left:254px;,"1st quarter, 0:46.0 remaining<br>RJ Barrett made 2-pointer from 2 ft<br>Toronto now leads 29-25"
top:53px;left:198px;,"2nd quarter, 11:30.0 remaining<br>RJ Barrett missed 2-pointer from 5 ft<br>Toronto leads 29-27"
top:31px;left:365px;,"2nd quarter, 11:26.0 remaining<br>Ja'Kobe Walter made 2-pointer from 13 ft<br>Toronto now leads 31-27"
top:34px;left:244px;,"2nd quarter, 11:04.0 remaining<br>Ja'Kobe Walter made 2-pointer from 1 ft<br>Toronto now leads 33-27"
top:182px;left:36px;,"2nd quarter, 10:25.0 remaining<br>Sandro Mamukelashvili made 3-pointer from 25 ft<br>Toronto now leads 36-27"
top:28px;left:90px;,"2nd quarter, 9:59.0 remaining<br>Scottie Barnes missed 2-pointer from 15 ft<br>Toronto leads 36-29"
top:30px;left:240px;,"2nd quarter, 9:54.0 remaining<br>Sandro Mamukelashvili made 2-pointer from 0 ft<br>Toronto now leads 38-29"
top:15px;left:245px;,"2nd quarter, 9:10.0 remaining<br>Sandro Mamukelashvili missed 2-pointer from 2 ft<br>Toronto leads 38-29"
top:36px;left:240px;,"2nd quarter, 8:54.0 remaining<br>Sandro Mamukelashvili made 2-pointer from 1 ft<br>Toronto now leads 40-31"
top:39px;left:224px;,"2nd quarter, 8:04.0 remaining<br>Collin Murray-Boyles missed 2-pointer from 2 ft<br>Toronto leads 42-31"
top:48px;left:286px;,"2nd quarter, 7:42.0 remaining<br>Ja'Kobe Walter missed 2-pointer from 5 ft<br>Toronto leads 42-31"
top:28px;left:482px;,"2nd quarter, 7:16.0 remaining<br>Ja'Kobe Walter missed 3-pointer from 24 ft<br>Toronto leads 42-33"
top:42px;left:228px;,"2nd quarter, 7:00.0 remaining<br>RJ Barrett made 2-pointer from 2 ft<br>Toronto now leads 44-33"
top:38px;left:213px;,"2nd quarter, 5:19.0 remaining<br>Brandon Ingram missed 2-pointer from 3 ft<br>Toronto leads 48-33"
top:30px;left:240px;,"2nd quarter, 5:14.0 remaining<br>Collin Murray-Boyles missed 2-pointer from 0 ft<br>Toronto leads 48-33"
top:46px;left:254px;,"2nd quarter, 5:08.0 remaining<br>Collin Murray-Boyles made 2-pointer from 2 ft<br>Toronto now leads 50-33"
top:37px;left:244px;,"2nd quarter, 4:31.0 remaining<br>Brandon Ingram made 2-pointer from 1 ft<br>Toronto now leads 52-33"
top:279px;left:158px;,"2nd quarter, 4:04.0 remaining<br>Jamal Shead missed 3-pointer from 26 ft<br>Toronto leads 52-33"
top:118px;left:283px;,"2nd quarter, 3:49.0 remaining<br>Jamal Shead missed 2-pointer from 10 ft<br>Toronto leads 52-33"
top:203px;left:314px;,"2nd quarter, 3:18.0 remaining<br>Brandon Ingram missed 2-pointer from 19 ft<br>Toronto leads 52-33"
top:43px;left:245px;,"2nd quarter, 2:22.0 remaining<br>Brandon Ingram missed 2-pointer from 1 ft<br>Toronto leads 52-33"
top:23px;left:253px;,"2nd quarter, 2:14.0 remaining<br>Jakob Poeltl made 2-pointer from 1 ft<br>Toronto now leads 54-33"
