Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Johnson,36:59,.619,.619,.524,.000,0.0,15.1,7.9,42.2,1.4,0.0,16.0,29.1,121,121,3.8
Nickeil Alexander-Walker,36:10,.752,.643,.643,.643,3.4,12.3,8.1,29.7,5.6,0.0,10.0,23.7,156,113,12.7
Jock Landale,34:15,.720,.727,.273,.455,21.6,22.8,22.2,15.9,0.0,4.6,7.0,17.8,155,119,3.9
Mouhamed Gueye,31:37,.625,.625,.375,.000,11.7,14.1,13.0,7.8,0.0,0.0,0.0,10.9,152,125,-4.5
CJ McCollum,30:06,.586,.588,.412,.235,8.2,7.4,7.8,26.0,1.7,0.0,5.1,28.2,130,124,0.3
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Gabe Vincent,25:00,.333,.333,.333,.000,0.0,13.4,7.0,13.4,4.1,0.0,50.0,10.3,61,116,-10.5
Zaccharie Risacher,19:08,.742,.714,.571,.571,6.4,5.8,6.1,0.0,0.0,0.0,0.0,19.7,156,128,-1.2
Corey Kispert,15:45,.333,.333,.500,.000,0.0,7.1,3.7,0.0,3.2,0.0,25.0,21.8,51,120,-21.8
Christian Koloko,11:00,.000,.000,.000,.000,0.0,0.0,0.0,19.4,4.6,7.2,0.0,7.8,72,116,-2.2
Buddy Hield,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Caleb Houstan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Asa Newell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.623,.596,.461,.247,33.3,62.8,48.8,75.6,10.6,4.9,11.6,100.0,130.0,119.5,
