Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Maxime Raynaud,30:18,.781,.750,.250,1.000,11.1,28.4,19.3,0.0,1.7,0.0,8.0,17.4,155,125,3.3
DeMar DeRozan,30:00,.569,.528,.111,.167,7.4,8.2,7.8,15.7,0.0,0.0,13.4,31.4,114,135,-5.1
Malik Monk,27:24,.455,.455,.273,.000,0.0,9.0,4.3,33.8,1.9,0.0,8.3,18.5,118,131,-4.2
Precious Achiuwa,20:11,.727,.727,.091,.000,27.7,6.1,17.4,18.3,5.0,0.0,8.3,25.1,148,125,11.3
Devin Carter,17:43,.250,.250,.500,.000,0.0,13.9,6.6,6.4,0.0,0.0,33.3,14.3,47,134,-19.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Daeqwon Plowden,28:27,.778,.778,.889,.000,3.9,8.7,6.2,0.0,1.8,0.0,18.2,16.3,124,131,-2.8
DaQuan Jeffries,26:32,.794,.778,.333,.111,8.4,4.6,6.6,5.3,0.0,0.0,0.0,15.0,173,137,3.8
Nique Clifford,23:24,.136,.136,.545,.000,0.0,21.0,10.0,23.9,0.0,4.3,15.4,23.4,56,130,-16.1
Dylan Cardwell,18:59,.338,.250,.000,.250,17.6,25.9,21.6,23.8,2.7,0.0,18.4,12.1,115,124,-1.4
Killian Hayes,17:02,.625,.625,.625,.000,0.0,7.2,3.4,33.4,3.0,0.0,20.0,24.8,117,129,1.6
Drew Eubanks,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Doug McDermott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.572,.548,.344,.140,37.2,66.7,51.2,60.0,7.4,2.1,13.2,100.0,119.5,130.0,
