Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jalen Johnson,36:59,11,21,.524,4,11,.364,0,0,,0,5,5,10,1,0,4,0,26,21.2,+25
Nickeil Alexander-Walker,36:10,7,14,.500,4,9,.444,9,9,1.000,1,4,5,8,4,0,2,1,27,29.1,+25
Jock Landale,34:15,7,11,.636,2,3,.667,3,5,.600,6,7,13,4,0,2,1,4,19,21.2,+25
Mouhamed Gueye,31:37,4,8,.500,2,3,.667,0,0,,3,4,7,2,0,0,0,3,10,9.5,+21
CJ McCollum,30:06,9,17,.529,2,7,.286,2,4,.500,2,2,4,5,1,0,1,1,22,18.0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Gabe Vincent,25:00,1,3,.333,0,1,.000,0,0,,0,3,3,3,2,0,3,1,2,1.9,-8
Zaccharie Risacher,19:08,4,7,.571,2,4,.500,3,4,.750,1,1,2,0,0,0,0,1,13,9.9,-11
Corey Kispert,15:45,2,6,.333,0,3,.000,0,0,,0,1,1,0,1,0,2,1,4,-0.5,-13
Christian Koloko,11:00,0,2,.000,0,0,,0,0,,0,0,0,2,1,1,0,0,0,1.7,-15
Buddy Hield,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Caleb Houstan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Asa Newell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,89,.506,16,41,.390,17,22,.773,13,27,40,34,10,3,13,12,123,,
