Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Maxime Raynaud,30:18,5,8,.625,2,2,1.000,6,8,.750,3,7,10,0,1,0,1,1,18,17.4,-21
DeMar DeRozan,30:00,9,18,.500,1,2,.500,3,3,1.000,2,2,4,3,0,0,3,2,22,13.3,-7
Malik Monk,27:24,5,11,.455,0,3,.000,0,0,,0,2,2,7,1,0,1,3,10,8.6,-14
Precious Achiuwa,20:11,8,11,.727,0,1,.000,0,0,,5,1,6,2,2,0,1,1,16,17.3,-1
Devin Carter,17:43,1,4,.250,0,2,.000,0,0,,0,2,2,1,0,0,2,1,2,-1.5,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Daeqwon Plowden,28:27,5,9,.556,4,8,.500,0,0,,1,2,3,0,1,0,2,5,14,8.0,-6
DaQuan Jeffries,26:32,6,9,.667,2,3,.667,1,1,1.000,2,1,3,1,0,0,0,0,15,13.5,+8
Nique Clifford,23:24,1,11,.091,1,6,.167,0,0,,0,4,4,5,0,1,2,0,3,-0.9,-10
Dylan Cardwell,18:59,1,4,.250,0,0,,1,1,1.000,3,4,7,4,1,0,1,3,3,5.5,-6
Killian Hayes,17:02,4,8,.500,2,5,.400,0,0,,0,1,1,4,1,0,2,2,10,7.3,+7
Drew Eubanks,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Doug McDermott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,93,.484,12,32,.375,11,13,.846,16,26,42,27,7,1,15,18,113,,
