1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Sacramento,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Atlanta
12:00.0,Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession)
11:36.0,,,0-0,,M. Gueye misses 3-pt jump shot from 23 ft
11:34.0,Defensive rebound by M. Raynaud,,0-0,,
11:31.0,Turnover by D. DeRozan (bad pass),,0-0,,
11:24.0,,,0-2,+2,C. McCollum makes 2-pt jump shot from 10 ft
11:04.0,D. Carter misses 2-pt layup from 4 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by J. Johnson
10:53.0,,,0-2,,J. Johnson misses 2-pt jump shot from 16 ft
10:50.0,,,0-2,,Offensive rebound by M. Gueye
10:49.0,,,0-2,,M. Gueye misses 2-pt layup from 1 ft
10:47.0,Defensive rebound by D. DeRozan,,0-2,,
10:44.0,M. Monk makes 2-pt layup at rim (assist by P. Achiuwa),+2,2-2,,
10:26.0,,,2-4,+2,M. Gueye makes 2-pt dunk from 1 ft (assist by C. McCollum)
10:08.0,Shooting foul by J. Landale (drawn by M. Raynaud),,2-4,,
10:08.0,M. Raynaud makes free throw 1 of 2,+1,3-4,,
10:08.0,M. Raynaud makes free throw 2 of 2,+1,4-4,,
9:56.0,,,4-6,+2,J. Landale makes 2-pt layup from 1 ft (assist by J. Johnson)
9:39.0,P. Achiuwa misses 3-pt jump shot from 24 ft,,4-6,,
9:37.0,,,4-6,,Defensive rebound by M. Gueye
9:23.0,,,4-6,,J. Johnson misses 2-pt jump shot from 8 ft
9:20.0,Defensive rebound by M. Raynaud,,4-6,,
9:11.0,M. Monk misses 2-pt jump shot from 10 ft,,4-6,,
9:07.0,Offensive rebound by M. Raynaud,,4-6,,
9:07.0,M. Raynaud makes 2-pt layup at rim,+2,6-6,,
8:49.0,,,6-6,,J. Johnson misses 3-pt jump shot from 26 ft
8:47.0,,,6-6,,Offensive rebound by M. Gueye
8:47.0,,,6-6,,M. Gueye misses 2-pt layup at rim
8:46.0,,,6-6,,Offensive rebound by J. Landale
8:46.0,,,6-6,,J. Landale misses 2-pt layup at rim
8:44.0,Defensive rebound by P. Achiuwa,,6-6,,
8:36.0,M. Raynaud misses 2-pt hook shot from 6 ft,,6-6,,
8:33.0,Offensive rebound by P. Achiuwa,,6-6,,
8:31.0,P. Achiuwa makes 2-pt layup at rim,+2,8-6,,
8:15.0,,,8-6,,C. McCollum misses 3-pt jump shot from 26 ft
8:15.0,Defensive rebound by Team,,8-6,,
8:02.0,D. Carter misses 3-pt jump shot from 26 ft,,8-6,,
8:00.0,Offensive rebound by P. Achiuwa,,8-6,,
7:58.0,P. Achiuwa makes 2-pt jump shot from 4 ft,+2,10-6,,
7:40.0,Violation by Team (kicked ball),,10-6,,
7:33.0,,,10-9,+3,J. Landale makes 3-pt jump shot from 26 ft (assist by J. Johnson)
7:15.0,D. DeRozan makes 2-pt jump shot from 18 ft,+2,12-9,,
7:04.0,,,12-11,+2,J. Johnson makes 2-pt layup from 2 ft (assist by N. Alexander-Walker)
6:54.0,P. Achiuwa makes 2-pt jump shot from 6 ft,+2,14-11,,
6:47.0,,,14-14,+3,J. Johnson makes 3-pt jump shot from 26 ft (assist by N. Alexander-Walker)
6:34.0,M. Monk misses 2-pt jump shot from 3 ft,,14-14,,
6:33.0,Offensive rebound by Team,,14-14,,
6:33.0,Turnover by M. Raynaud (off goaltending),,14-14,,
6:33.0,Sacramento full timeout,,14-14,,
6:33.0,Instant Replay (Challenge: Ruling Stands),,14-14,,
6:33.0,N. Clifford enters the game for D. DeRozan,,14-14,,
6:33.0,,,14-14,,G. Vincent enters the game for C. McCollum
6:17.0,,,14-14,,N. Alexander-Walker misses 3-pt jump shot from 26 ft
6:14.0,Defensive rebound by M. Raynaud,,14-14,,
6:07.0,Turnover by P. Achiuwa (bad pass; steal by G. Vincent),,14-14,,
6:01.0,,,14-16,+2,J. Johnson makes 2-pt layup from 1 ft (assist by M. Gueye)
5:53.0,,,14-16,,Violation by Team (kicked ball)
5:53.0,D. Cardwell enters the game for P. Achiuwa,,14-16,,
5:53.0,,,14-16,,Z. Risacher enters the game for M. Gueye
5:44.0,Turnover by M. Monk (lost ball; steal by N. Alexander-Walker),,14-16,,
